date,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2019-09-24,42.183,-4947.6,42.0,4947.6,889.98,117.8,1771.677
2019-09-25,43.034,-4947.6,42.0,4947.6,889.98,117.8,1807.416
2019-09-26,44.42,-4947.6,42.0,4947.6,889.98,117.8,1865.642
2019-09-27,43.512,-4947.6,42.0,4947.6,889.98,117.8,1827.494
2019-09-30,44.439,-4947.6,42.0,4947.6,889.98,117.8,1866.445
2019-10-01,45.118,-4947.6,42.0,4947.6,889.98,117.8,1894.956
2019-10-02,44.391,-4947.6,42.0,4947.6,889.98,117.8,1864.437
2019-10-03,45.061,-4947.6,42.0,4947.6,889.98,117.8,1892.546
2019-10-04,45.338,-4947.6,42.0,4947.6,889.98,117.8,1904.191
2019-10-07,45.845,-4947.6,42.0,4947.6,889.98,117.8,1925.474
2019-10-08,45.759,-4947.6,42.0,4947.6,889.98,117.8,1921.86
2019-10-09,46.543,-4947.6,42.0,4947.6,889.98,117.8,1954.788
2019-10-10,46.782,-4947.6,42.0,4947.6,889.98,117.8,1964.827
2019-10-11,47.25,-4947.6,42.0,4947.6,889.98,117.8,1984.503
2019-10-14,47.719,-4947.6,42.0,4947.6,889.98,117.8,2004.18
2019-10-15,48.177,-4947.6,42.0,4947.6,889.98,117.8,2023.454
2019-10-16,47.929,-4947.6,42.0,4947.6,889.98,117.8,2013.014
2019-10-17,47.566,-4947.6,42.0,4947.6,889.98,117.8,1997.755
2019-10-18,47.116,-4947.6,42.0,4947.6,889.98,117.8,1978.881
2019-10-21,47.805,-4947.6,42.0,4947.6,889.98,117.8,2007.794
2019-10-22,48.417,-4947.6,42.0,4947.6,889.98,117.8,2033.493
2019-10-23,47.967,-4947.6,42.0,4947.6,889.98,117.8,2014.62
2019-10-24,48.713,-4947.6,42.0,4947.6,889.98,117.8,2045.942
2019-10-25,48.885,-4947.6,42.0,4947.6,889.98,117.8,2053.17
2019-10-28,49.057,-4947.6,42.0,4947.6,889.98,117.8,2060.398
2019-10-29,49.21,-4947.6,42.0,4947.6,889.98,117.8,2066.823
2019-10-30,49.631,-4947.6,42.0,4947.6,889.98,117.8,2084.491
2019-10-31,49.363,-4947.6,42.0,4947.6,889.98,117.8,2073.248
2019-11-01,49.812,-4947.6,42.0,4947.6,889.98,117.8,2092.121
2019-11-04,51.141,-4947.6,42.0,4947.6,889.98,117.8,2147.937
2019-11-05,51.199,-4947.6,42.0,4947.6,889.98,117.8,2150.347
2019-11-06,51.285,-4947.6,42.0,4947.6,889.98,117.8,2153.961
2019-11-07,51.313,-4947.6,42.0,4947.6,889.98,117.8,2155.166
2019-11-08,50.51,-4947.6,42.0,4947.6,889.98,117.8,2121.435
2019-11-11,50.29,-4947.6,42.0,4947.6,889.98,117.8,2112.199
2019-11-12,49.86,-4947.6,42.0,4947.6,889.98,117.8,2094.129
2019-11-13,50.558,-4947.6,42.0,4947.6,889.98,117.8,2123.443
2019-11-14,50.176,-4947.6,42.0,4947.6,889.98,117.8,2107.38
2019-11-15,50.95,-4947.6,42.0,4947.6,889.98,117.8,2139.907
2019-11-18,51.074,-4947.6,42.0,4947.6,889.98,117.8,2145.126
2019-11-19,51.4,-4947.6,42.0,4947.6,889.98,117.8,2158.78
2019-11-20,51.151,-4947.6,42.0,4947.6,889.98,117.8,2148.339
2019-11-21,50.654,-4947.6,42.0,4947.6,889.98,117.8,2127.458
2019-11-22,50.472,-4947.6,42.0,4947.6,889.98,117.8,2119.828
2019-11-25,51.4,-4947.6,42.0,4947.6,889.98,117.8,2158.78
2019-11-26,51.275,-4947.6,42.0,4947.6,889.98,117.8,2153.56
2019-11-27,51.524,-4947.6,42.0,4947.6,889.98,117.8,2164.0
2019-11-29,50.759,-4947.6,42.0,4947.6,889.98,117.8,2131.875
2019-12-02,50.654,-4947.6,42.0,4947.6,889.98,117.8,2127.458
2019-12-03,50.463,-4947.6,42.0,4947.6,889.98,117.8,2119.427
2019-12-04,50.845,-4947.6,42.0,4947.6,889.98,117.8,2135.489
2019-12-05,52.011,-4947.6,42.0,4947.6,889.98,117.8,2184.48
2019-12-06,52.528,-4947.6,42.0,4947.6,889.98,117.8,2206.164
2019-12-09,52.069,-4947.6,42.0,4947.6,889.98,117.8,2186.889
2019-12-10,52.126,-4947.6,42.0,4947.6,889.98,117.8,2189.298
2019-12-11,53.446,-4947.6,42.0,4947.6,889.98,117.8,2244.714
2019-12-12,56.037,-4947.6,42.0,4947.6,889.98,117.8,2353.536
2019-12-13,55.692,-4947.6,42.0,4947.6,889.98,117.8,2339.079
2019-12-16,55.97,-4947.6,42.0,4947.6,889.98,117.8,2350.725
2019-12-17,56.629,-4947.6,42.0,4947.6,889.98,117.8,2378.432
2019-12-18,56.505,-4947.6,42.0,4947.6,889.98,117.8,2373.212
2019-12-19,55.802,-4947.6,42.0,4947.6,889.98,117.8,2343.694
2019-12-20,55.773,-4947.6,42.0,4947.6,889.98,117.8,2342.481
2019-12-23,56.053,-4947.6,42.0,4947.6,889.98,117.8,2354.207
2019-12-24,55.61,-4947.6,42.0,4947.6,889.98,117.8,2335.606
2019-12-26,56.081,-4947.6,42.0,4947.6,889.98,117.8,2355.42
2019-12-27,56.284,-4947.6,42.0,4947.6,889.98,117.8,2363.912
2019-12-30,55.696,-4947.6,42.0,4947.6,889.98,117.8,2339.245
2019-12-31,55.937,-4947.6,42.0,4947.6,889.98,117.8,2349.354
2020-01-02,57.805,-4947.6,42.0,4947.6,889.98,117.8,2427.801
2020-01-03,55.899,-4947.6,42.0,4947.6,889.98,117.8,2347.737
2020-01-06,55.253,-4947.6,42.0,4947.6,889.98,117.8,2320.645
2020-01-07,56.149,-4947.6,42.0,4947.6,889.98,117.8,2358.251
2020-01-08,56.563,-4947.6,42.0,4947.6,889.98,117.8,2375.638
2020-01-09,57.025,-4947.6,42.0,4947.6,889.98,117.8,2395.048
2020-01-10,56.669,-4947.6,42.0,4947.6,889.98,117.8,2380.086
2020-01-13,57.824,-4947.6,42.0,4947.6,889.98,117.8,2428.61
2020-01-14,58.074,-4947.6,42.0,4947.6,889.98,117.8,2439.123
2020-01-15,56.216,-4947.6,42.0,4947.6,889.98,117.8,2361.081
2020-01-16,56.563,-4947.6,42.0,4947.6,889.98,117.8,2375.638
2020-01-17,56.399,-4947.6,42.0,4947.6,889.98,117.8,2368.764
2020-01-21,56.072,-4947.6,42.0,4947.6,889.98,117.8,2355.016
2020-01-22,56.178,-4947.6,42.0,4947.6,889.98,117.8,2359.464
2020-01-23,55.34,-4947.6,42.0,4947.6,889.98,117.8,2324.284
2020-01-24,55.581,-4947.6,42.0,4947.6,889.98,117.8,2334.393
2020-01-27,53.203,-4947.6,42.0,4947.6,889.98,117.8,2234.515
2020-01-28,54.965,-4947.6,42.0,4947.6,889.98,117.8,2308.514
2020-01-29,55.061,-4947.6,42.0,4947.6,889.98,117.8,2312.557
2020-01-30,53.723,-4947.6,42.0,4947.6,889.98,117.8,2256.351
2020-01-31,51.932,-4947.6,42.0,4947.6,889.98,117.8,2181.139
2020-02-03,52.731,-4947.6,42.0,4947.6,889.98,117.8,2214.701
2020-02-04,55.379,-4947.6,42.0,4947.6,889.98,117.8,2325.902
2020-02-05,55.764,-4947.6,42.0,4947.6,889.98,117.8,2342.076
2020-02-06,55.86,-4947.6,42.0,4947.6,889.98,117.8,2346.12
2020-02-07,54.108,-4947.6,42.0,4947.6,889.98,117.8,2272.525
2020-02-10,54.897,-4947.6,42.0,4947.6,889.98,117.8,2305.683
2020-02-11,56.476,-4947.6,42.0,4947.6,889.98,117.8,2371.999
2020-02-12,57.41,-4947.6,42.0,4947.6,889.98,117.8,2411.223
2020-02-13,57.121,-4947.6,42.0,4947.6,889.98,117.8,2399.092
2020-02-14,56.024,-4947.6,42.0,4947.6,889.98,117.8,2352.994
2020-02-18,54.088,-4947.6,42.0,4947.6,889.98,117.8,2271.717
2020-02-19,55.494,-4947.6,42.0,4947.6,889.98,117.8,2330.754
2020-02-20,54.377,-4947.6,42.0,4947.6,889.98,117.8,2283.848
2020-02-21,53.52,-4947.6,42.0,4947.6,889.98,117.8,2247.859
2020-02-24,52.105,-4947.6,42.0,4947.6,889.98,117.8,2188.418
2020-02-25,51.855,-4947.6,42.0,4947.6,889.98,117.8,2177.904
2020-02-26,52.981,-4947.6,42.0,4947.6,889.98,117.8,2225.215
2020-02-27,51.306,-4947.6,42.0,4947.6,889.98,117.8,2154.856
2020-02-28,51.836,-4947.6,42.0,4947.6,889.98,117.8,2177.096
2020-03-02,53.896,-4947.6,42.0,4947.6,889.98,117.8,2263.629
2020-03-03,52.837,-4947.6,42.0,4947.6,889.98,117.8,2219.149
2020-03-04,54.955,-4947.6,42.0,4947.6,889.98,117.8,2308.109
2020-03-05,53.655,-4947.6,42.0,4947.6,889.98,117.8,2253.521
2020-03-06,53.02,-4947.6,42.0,4947.6,889.98,117.8,2226.832
2020-03-09,49.9,-4947.6,42.0,4947.6,889.98,117.8,2095.818
2020-03-10,52.481,-4947.6,42.0,4947.6,889.98,117.8,2204.188
2020-03-11,50.295,-4947.6,42.0,4947.6,889.98,117.8,2112.397
2020-03-12,46.877,-4947.6,42.0,4947.6,889.98,117.8,1968.848
2020-03-13,50.286,-4947.6,42.0,4947.6,889.98,117.8,2111.993
2020-03-16,43.228,-4947.6,42.0,4947.6,889.98,117.8,1815.594
2020-03-17,46.733,-4947.6,42.0,4947.6,889.98,117.8,1962.783
2020-03-18,42.718,-4947.6,42.0,4947.6,889.98,117.8,1794.163
2020-03-19,42.657,-4947.6,42.0,4947.6,889.98,117.8,1791.591
2020-03-20,43.279,-4947.6,42.0,4947.6,889.98,117.8,1817.716
2020-03-23,43.988,-4947.6,42.0,4947.6,889.98,117.8,1847.515
2020-03-24,47.497,-4947.6,42.0,4947.6,889.98,117.8,1994.875
2020-03-25,47.623,-4947.6,42.0,4947.6,889.98,117.8,2000.182
2020-03-26,48.469,-4947.6,42.0,4947.6,889.98,117.8,2035.695
2020-03-27,45.592,-4947.6,42.0,4947.6,889.98,117.8,1914.868
2020-03-30,46.477,-4947.6,42.0,4947.6,889.98,117.8,1952.014
2020-03-31,46.447,-4947.6,42.0,4947.6,889.98,117.8,1950.789
2020-04-01,45.203,-4947.6,42.0,4947.6,889.98,117.8,1898.54
2020-04-02,46.778,-4947.6,42.0,4947.6,889.98,117.8,1964.668
2020-04-03,45.738,-4947.6,42.0,4947.6,889.98,117.8,1920.991
2020-04-06,48.566,-4947.6,42.0,4947.6,889.98,117.8,2039.777
2020-04-07,48.323,-4947.6,42.0,4947.6,889.98,117.8,2029.572
2020-04-08,48.858,-4947.6,42.0,4947.6,889.98,117.8,2052.023
2020-04-09,46.972,-4947.6,42.0,4947.6,889.98,117.8,1972.832
2020-04-13,47.38,-4947.6,42.0,4947.6,889.98,117.8,1989.977
2020-04-14,49.208,-4947.6,42.0,4947.6,889.98,117.8,2066.718
2020-04-15,48.265,-4947.6,42.0,4947.6,889.98,117.8,2027.123
2020-04-16,50.928,-4947.6,42.0,4947.6,889.98,117.8,2138.97
2020-04-17,52.182,-4947.6,42.0,4947.6,889.98,117.8,2191.628
2020-04-20,51.113,-4947.6,42.0,4947.6,889.98,117.8,2146.725
2020-04-21,49.927,-4947.6,42.0,4947.6,889.98,117.8,2096.925
2020-04-22,51.462,-4947.6,42.0,4947.6,889.98,117.8,2161.421
2020-04-23,51.161,-4947.6,42.0,4947.6,889.98,117.8,2148.766
2020-04-24,51.249,-4947.6,42.0,4947.6,889.98,117.8,2152.44
2020-04-27,52.007,-4947.6,42.0,4947.6,889.98,117.8,2184.28
2020-04-28,51.278,-4947.6,42.0,4947.6,889.98,117.8,2153.665
2020-04-29,52.949,-4947.6,42.0,4947.6,889.98,117.8,2223.875
2020-04-30,51.637,-4947.6,42.0,4947.6,889.98,117.8,2168.768
2020-05-01,49.664,-4947.6,42.0,4947.6,889.98,117.8,2085.904
2020-05-04,50.685,-4947.6,42.0,4947.6,889.98,117.8,2128.765
2020-05-05,50.257,-4947.6,42.0,4947.6,889.98,117.8,2110.804
2020-05-06,50.665,-4947.6,42.0,4947.6,889.98,117.8,2127.948
2020-05-07,50.86,-4947.6,42.0,4947.6,889.98,117.8,2136.112
2020-05-08,51.424,-4947.6,42.0,4947.6,889.98,117.8,2159.788
2020-05-11,50.928,-4947.6,42.0,4947.6,889.98,117.8,2138.97
2020-05-12,49.664,-4947.6,42.0,4947.6,889.98,117.8,2085.904
2020-05-13,49.489,-4947.6,42.0,4947.6,889.98,117.8,2078.556
2020-05-14,50.636,-4947.6,42.0,4947.6,889.98,117.8,2126.724
2020-05-15,48.401,-4947.6,42.0,4947.6,889.98,117.8,2032.838
2020-05-18,50.413,-4947.6,42.0,4947.6,889.98,117.8,2117.335
2020-05-19,49.383,-4947.6,42.0,4947.6,889.98,117.8,2074.066
2020-05-20,50.384,-4947.6,42.0,4947.6,889.98,117.8,2116.11
2020-05-21,49.324,-4947.6,42.0,4947.6,889.98,117.8,2071.617
