date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,SHG_adj_close,SHG_cashflow,SHG_cml_units,SHG_cml_cost,SHG_gain_loss,SHG_avg_price,SHG_mktvalue,WF_adj_close,WF_cashflow,WF_cml_units,WF_cml_cost,WF_gain_loss,WF_avg_price,WF_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue
2020-03-23,6.504,-4985.833,277.778,4985.833,0.0,17.949,1806.532,20.329,-4964.4,121.951,4964.4,0.0,40.708,2479.196,15.743,-4954.851,96.154,4954.851,0.0,51.53,1513.77,25.476,-4960.76,100.0,4960.76,0.0,49.608,2547.609,3.021,-4998.685,625.0,4998.685,0.0,7.998,1888.092,17.37,-4987.17,131.579,4987.17,0.0,37.902,2285.526,15.6,-4992.9,166.667,4992.9,0.0,29.957,2600.0,12.142,-4986.313,294.118,4986.313,0.0,16.953,3571.13,8.98,-4997.2,416.667,4997.2,0.0,11.993,3741.666
2020-03-24,7.076,-4985.833,277.778,4985.833,0.0,17.949,1965.486,23.07,-4964.4,121.951,4964.4,0.0,40.708,2813.43,16.446,-4954.851,96.154,4954.851,0.0,51.53,1581.373,28.884,-4960.76,100.0,4960.76,0.0,49.608,2888.371,3.148,-4998.685,625.0,4998.685,0.0,7.998,1967.233,20.72,-4987.17,131.579,4987.17,0.0,37.902,2726.316,17.68,-4992.9,166.667,4992.9,0.0,29.957,2946.667,13.166,-4986.313,294.118,4986.313,0.0,16.953,3872.444,9.84,-4997.2,416.667,4997.2,0.0,11.993,4100.0
2020-03-25,7.966,-4985.833,277.778,4985.833,0.0,17.949,2212.749,24.791,-4964.4,121.951,4964.4,0.0,40.708,3023.352,21.244,-4954.851,96.154,4954.851,0.0,51.53,2042.721,31.232,-4960.76,100.0,4960.76,0.0,49.608,3123.183,3.69,-4998.685,625.0,4998.685,0.0,7.998,2306.411,22.36,-4987.17,131.579,4987.17,0.0,37.902,2942.105,18.25,-4992.9,166.667,4992.9,0.0,29.957,3041.667,12.796,-4986.313,294.118,4986.313,0.0,16.953,3763.637,9.64,-4997.2,416.667,4997.2,0.0,11.993,4016.667
2020-03-26,9.156,-4985.833,277.778,4985.833,0.0,17.949,2543.274,26.494,-4964.4,121.951,4964.4,0.0,40.708,3230.929,24.931,-4954.851,96.154,4954.851,0.0,51.53,2397.183,31.232,-4960.76,100.0,4960.76,0.0,49.608,3123.183,4.269,-4998.685,625.0,4998.685,0.0,7.998,2668.201,23.65,-4987.17,131.579,4987.17,0.0,37.902,3111.842,18.92,-4992.9,166.667,4992.9,0.0,29.957,3153.333,13.043,-4986.313,294.118,4986.313,0.0,16.953,3836.175,9.87,-4997.2,416.667,4997.2,0.0,11.993,4112.5
2020-03-27,8.375,-4985.833,277.778,4985.833,0.0,17.949,2326.288,26.494,-4964.4,121.951,4964.4,0.0,40.708,3230.929,22.701,-4954.851,96.154,4954.851,0.0,51.53,2182.76,29.695,-4960.76,100.0,4960.76,0.0,49.608,2969.506,4.052,-4998.685,625.0,4998.685,0.0,7.998,2532.53,22.48,-4987.17,131.579,4987.17,0.0,37.902,2957.895,19.02,-4992.9,166.667,4992.9,0.0,29.957,3170.0,12.019,-4986.313,294.118,4986.313,0.0,16.953,3534.861,10.9,-4997.2,416.667,4997.2,0.0,11.993,4541.667
2020-03-30,8.266,-4985.833,277.778,4985.833,0.0,17.949,2296.011,26.696,-4964.4,121.951,4964.4,0.0,40.708,3255.557,23.318,-4954.851,96.154,4954.851,0.0,51.53,2242.155,30.902,-4960.76,100.0,4960.76,0.0,49.608,3090.243,3.934,-4998.685,625.0,4998.685,0.0,7.998,2459.042,22.91,-4987.17,131.579,4987.17,0.0,37.902,3014.474,18.48,-4992.9,166.667,4992.9,0.0,29.957,3080.0,13.034,-4986.313,294.118,4986.313,0.0,16.953,3833.386,11.13,-4997.2,416.667,4997.2,0.0,11.993,4637.5
2020-03-31,8.638,-4985.833,277.778,4985.833,0.0,17.949,2399.458,26.147,-4964.4,121.951,4964.4,0.0,40.708,3188.71,24.091,-4954.851,96.154,4954.851,0.0,51.53,2316.398,31.471,-4960.76,100.0,4960.76,0.0,49.608,3147.113,3.962,-4998.685,625.0,4998.685,0.0,7.998,2476.0,23.31,-4987.17,131.579,4987.17,0.0,37.902,3067.105,18.78,-4992.9,166.667,4992.9,0.0,29.957,3130.0,13.413,-4986.313,294.118,4986.313,0.0,16.953,3944.983,11.25,-4997.2,416.667,4997.2,0.0,11.993,4687.5
2020-04-01,8.184,-4985.833,277.778,4985.833,0.0,17.949,2273.303,23.868,-4964.4,121.951,4964.4,0.0,40.708,2910.768,22.797,-4954.851,96.154,4954.851,0.0,51.53,2192.04,29.967,-4960.76,100.0,4960.76,0.0,49.608,2996.745,3.735,-4998.685,625.0,4998.685,0.0,7.998,2334.676,21.71,-4987.17,131.579,4987.17,0.0,37.902,2856.579,17.31,-4992.9,166.667,4992.9,0.0,29.957,2885.0,11.933,-4986.313,294.118,4986.313,0.0,16.953,3509.752,10.39,-4997.2,416.667,4997.2,0.0,11.993,4329.167
2020-04-02,9.301,-4985.833,277.778,4985.833,0.0,17.949,2583.643,24.541,-4964.4,121.951,4964.4,0.0,40.708,2992.861,23.318,-4954.851,96.154,4954.851,0.0,51.53,2242.155,30.796,-4960.76,100.0,4960.76,0.0,49.608,3079.64,3.808,-4998.685,625.0,4998.685,0.0,7.998,2379.9,22.14,-4987.17,131.579,4987.17,0.0,37.902,2913.158,18.16,-4992.9,166.667,4992.9,0.0,29.957,3026.667,12.597,-4986.313,294.118,4986.313,0.0,16.953,3705.048,11.0,-4997.2,416.667,4997.2,0.0,11.993,4583.333
2020-04-03,10.137,-4985.833,277.778,4985.833,0.0,17.949,2815.767,23.926,-4964.4,121.951,4964.4,0.0,40.708,2917.804,23.511,-4954.851,96.154,4954.851,0.0,51.53,2260.716,30.131,-4960.76,100.0,4960.76,0.0,49.608,3013.131,3.998,-4998.685,625.0,4998.685,0.0,7.998,2498.613,21.63,-4987.17,131.579,4987.17,0.0,37.902,2846.053,18.05,-4992.9,166.667,4992.9,0.0,29.957,3008.333,12.654,-4986.313,294.118,4986.313,0.0,16.953,3721.788,10.79,-4997.2,416.667,4997.2,0.0,11.993,4495.833
