date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-10-29,176.89,-4934.52,36.496,4934.52,0.0,135.206,6455.839,42.04,-4989.16,192.308,4989.16,0.0,25.944,8084.616,21.338,-4996.94,312.5,4996.94,0.0,15.99,6668.232,26.103,-4996.557,263.158,4996.557,0.0,18.987,6869.257,3.74,-4999.02,2500.0,4999.02,0.0,2.0,9350.0,7.27,-4999.54,2500.0,4999.54,0.0,2.0,18175.0,9.013,-4998.737,1250.0,4998.737,0.0,3.999,11266.062,13.34,-4997.3,625.0,4997.3,0.0,7.996,8337.5,14.0,-4998.0,833.333,4998.0,0.0,5.998,11666.667
2019-10-30,177.53,-4934.52,36.496,4934.52,0.0,135.206,6479.197,42.91,-4989.16,192.308,4989.16,0.0,25.944,8251.923,21.563,-4996.94,312.5,4996.94,0.0,15.99,6738.455,26.332,-4996.557,263.158,4996.557,0.0,18.987,6929.459,3.59,-4999.02,2500.0,4999.02,0.0,2.0,8975.0,7.1,-4999.54,2500.0,4999.54,0.0,2.0,17750.0,9.47,-4998.737,1250.0,4998.737,0.0,3.999,11836.905,13.65,-4997.3,625.0,4997.3,0.0,7.996,8531.25,14.5,-4998.0,833.333,4998.0,0.0,5.998,12083.333
2019-10-31,176.67,-4934.52,36.496,4934.52,0.0,135.206,6447.81,42.81,-4989.16,192.308,4989.16,0.0,25.944,8232.693,21.168,-4996.94,312.5,4996.94,0.0,15.99,6614.863,26.513,-4996.557,263.158,4996.557,0.0,18.987,6977.205,3.52,-4999.02,2500.0,4999.02,0.0,2.0,8800.0,6.86,-4999.54,2500.0,4999.54,0.0,2.0,17150.0,9.366,-4998.737,1250.0,4998.737,0.0,3.999,11707.658,13.64,-4997.3,625.0,4997.3,0.0,7.996,8525.0,14.63,-4998.0,833.333,4998.0,0.0,5.998,12191.667
2019-11-01,176.46,-4934.52,36.496,4934.52,0.0,135.206,6440.146,42.75,-4989.16,192.308,4989.16,0.0,25.944,8221.154,22.048,-4996.94,312.5,4996.94,0.0,15.99,6890.132,26.718,-4996.557,263.158,4996.557,0.0,18.987,7031.178,3.59,-4999.02,2500.0,4999.02,0.0,2.0,8975.0,7.03,-4999.54,2500.0,4999.54,0.0,2.0,17575.001,9.719,-4998.737,1250.0,4998.737,0.0,3.999,12149.253,13.74,-4997.3,625.0,4997.3,0.0,7.996,8587.5,14.12,-4998.0,833.333,4998.0,0.0,5.998,11766.667
2019-11-04,179.69,-4934.52,36.496,4934.52,0.0,135.206,6558.029,43.07,-4989.16,192.308,4989.16,0.0,25.944,8282.692,22.093,-4996.94,312.5,4996.94,0.0,15.99,6904.176,26.683,-4996.557,263.158,4996.557,0.0,18.987,7021.817,3.47,-4999.02,2500.0,4999.02,0.0,2.0,8675.0,6.74,-4999.54,2500.0,4999.54,0.0,2.0,16849.999,9.133,-4998.737,1250.0,4998.737,0.0,3.999,11416.851,13.89,-4997.3,625.0,4997.3,0.0,7.996,8681.25,14.1,-4998.0,833.333,4998.0,0.0,5.998,11750.0
2019-11-05,182.0,-4934.52,36.496,4934.52,0.0,135.206,6642.336,43.33,-4989.16,192.308,4989.16,0.0,25.944,8332.693,21.626,-4996.94,312.5,4996.94,0.0,15.99,6758.115,26.093,-4996.557,263.158,4996.557,0.0,18.987,6866.485,3.49,-4999.02,2500.0,4999.02,0.0,2.0,8725.0,6.81,-4999.54,2500.0,4999.54,0.0,2.0,17025.0,9.021,-4998.737,1250.0,4998.737,0.0,3.999,11276.834,13.97,-4997.3,625.0,4997.3,0.0,7.996,8731.25,13.75,-4998.0,833.333,4998.0,0.0,5.998,11458.333
2019-11-06,184.16,-4934.52,36.496,4934.52,0.0,135.206,6721.168,43.68,-4989.16,192.308,4989.16,0.0,25.944,8400.0,21.734,-4996.94,312.5,4996.94,0.0,15.99,6791.822,26.521,-4996.557,263.158,4996.557,0.0,18.987,6979.26,3.52,-4999.02,2500.0,4999.02,0.0,2.0,8800.0,7.05,-4999.54,2500.0,4999.54,0.0,2.0,17625.0,8.927,-4998.737,1250.0,4998.737,0.0,3.999,11158.357,13.88,-4997.3,625.0,4997.3,0.0,7.996,8675.0,13.4,-4998.0,833.333,4998.0,0.0,5.998,11166.666
2019-11-07,186.66,-4934.52,36.496,4934.52,0.0,135.206,6812.409,44.0,-4989.16,192.308,4989.16,0.0,25.944,8461.538,21.563,-4996.94,312.5,4996.94,0.0,15.99,6738.455,26.206,-4996.557,263.158,4996.557,0.0,18.987,6896.275,3.47,-4999.02,2500.0,4999.02,0.0,2.0,8675.0,6.72,-4999.54,2500.0,4999.54,0.0,2.0,16799.999,9.065,-4998.737,1250.0,4998.737,0.0,3.999,11330.687,14.15,-4997.3,625.0,4997.3,0.0,7.996,8843.75,13.0,-4998.0,833.333,4998.0,0.0,5.998,10833.333
2019-11-08,187.16,-4934.52,36.496,4934.52,0.0,135.206,6830.657,44.59,-4989.16,192.308,4989.16,0.0,25.944,8575.0,21.824,-4996.94,312.5,4996.94,0.0,15.99,6819.91,25.745,-4996.557,263.158,4996.557,0.0,18.987,6774.99,3.4,-4999.02,2500.0,4999.02,0.0,2.0,8500.0,7.0,-4999.54,2500.0,4999.54,0.0,2.0,17500.0,9.556,-4998.737,1250.0,4998.737,0.0,3.999,11944.611,14.71,-4997.3,625.0,4997.3,0.0,7.996,9193.75,13.0,-4998.0,833.333,4998.0,0.0,5.998,10833.333
2019-11-11,186.71,-4934.52,36.496,4934.52,0.0,135.206,6814.234,44.33,-4989.16,192.308,4989.16,0.0,25.944,8525.0,22.093,-4996.94,312.5,4996.94,0.0,15.99,6904.176,25.68,-4996.557,263.158,4996.557,0.0,18.987,6757.968,3.76,-4999.02,2500.0,4999.02,0.0,2.0,9400.0,6.9,-4999.54,2500.0,4999.54,0.0,2.0,17250.0,9.59,-4998.737,1250.0,4998.737,0.0,3.999,11987.695,15.2,-4997.3,625.0,4997.3,0.0,7.996,9500.0,13.05,-4998.0,833.333,4998.0,0.0,5.998,10875.0
