date,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2020-07-01,3.61,-4999.308,2759.0,4999.308,2455.51,1.812,9959.99
2020-07-02,3.66,-4999.308,2759.0,4999.308,2455.51,1.812,10097.94
2020-07-06,3.65,-4999.308,2759.0,4999.308,2455.51,1.812,10070.35
2020-07-07,3.49,-4999.308,2759.0,4999.308,2455.51,1.812,9628.91
2020-07-08,3.47,-4999.308,2759.0,4999.308,2455.51,1.812,9573.73
2020-07-09,3.31,-4999.308,2759.0,4999.308,2455.51,1.812,9132.29
2020-07-10,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-07-13,3.1,-4999.308,2759.0,4999.308,2455.51,1.812,8552.9
2020-07-14,3.27,-4999.308,2759.0,4999.308,2455.51,1.812,9021.93
2020-07-15,3.45,-4999.308,2759.0,4999.308,2455.51,1.812,9518.55
2020-07-16,3.41,-4999.308,2759.0,4999.308,2455.51,1.812,9408.19
2020-07-17,3.46,-4999.308,2759.0,4999.308,2455.51,1.812,9546.14
2020-07-20,3.4,-4999.308,2759.0,4999.308,2455.51,1.812,9380.6
2020-07-21,3.4,-4999.308,2759.0,4999.308,2455.51,1.812,9380.6
2020-07-22,3.42,-4999.308,2759.0,4999.308,2455.51,1.812,9435.78
2020-07-23,3.47,-4999.308,2759.0,4999.308,2455.51,1.812,9573.73
2020-07-24,3.36,-4999.308,2759.0,4999.308,2455.51,1.812,9270.24
2020-07-27,3.39,-4999.308,2759.0,4999.308,2455.51,1.812,9353.01
2020-07-28,3.28,-4999.308,2759.0,4999.308,2455.51,1.812,9049.52
2020-07-29,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-07-30,3.18,-4999.308,2759.0,4999.308,2455.51,1.812,8773.62
2020-07-31,3.22,-4999.308,2759.0,4999.308,2455.51,1.812,8883.98
2020-08-03,3.27,-4999.308,2759.0,4999.308,2455.51,1.812,9021.93
2020-08-04,3.28,-4999.308,2759.0,4999.308,2455.51,1.812,9049.52
2020-08-05,3.3,-4999.308,2759.0,4999.308,2455.51,1.812,9104.7
2020-08-06,3.29,-4999.308,2759.0,4999.308,2455.51,1.812,9077.11
2020-08-07,3.19,-4999.308,2759.0,4999.308,2455.51,1.812,8801.21
2020-08-10,3.15,-4999.308,2759.0,4999.308,2455.51,1.812,8690.85
2020-08-11,3.02,-4999.308,2759.0,4999.308,2455.51,1.812,8332.18
2020-08-12,2.75,-4999.308,2759.0,4999.308,2455.51,1.812,7587.25
2020-08-13,2.56,-4999.308,2759.0,4999.308,2455.51,1.812,7063.04
2020-08-14,2.69,-4999.308,2759.0,4999.308,2455.51,1.812,7421.71
2020-08-17,2.76,-4999.308,2759.0,4999.308,2455.51,1.812,7614.84
