date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,DBP_adj_close,DBP_cashflow,DBP_cml_units,DBP_cml_cost,DBP_gain_loss,DBP_avg_price,DBP_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-05-15,16.423,-4995.215,384.615,4995.215,0.0,12.988,6316.508,38.5,-4995.62,121.951,4995.62,0.0,40.964,4695.122,50.08,-4999.54,92.593,4999.54,0.0,53.995,4637.037,35.588,-4990.601,142.857,4990.601,0.0,34.934,5083.958,8.1,-4998.737,1250.0,4998.737,0.0,3.999,10124.377
2019-05-16,16.6,-4995.215,384.615,4995.215,0.0,12.988,6384.574,38.94,-4995.62,121.951,4995.62,0.0,40.964,4748.78,49.6,-4999.54,92.593,4999.54,0.0,53.995,4592.592,35.292,-4990.601,142.857,4990.601,0.0,34.934,5041.65,7.962,-4998.737,1250.0,4998.737,0.0,3.999,9952.047
2019-05-17,16.396,-4995.215,384.615,4995.215,0.0,12.988,6306.298,38.53,-4995.62,121.951,4995.62,0.0,40.964,4698.78,49.03,-4999.54,92.593,4999.54,0.0,53.995,4539.815,35.015,-4990.601,142.857,4990.601,0.0,34.934,5002.164,7.824,-4998.737,1250.0,4998.737,0.0,3.999,9779.718
2019-05-20,16.131,-4995.215,384.615,4995.215,0.0,12.988,6204.199,38.7,-4995.62,121.951,4995.62,0.0,40.964,4719.512,48.5,-4999.54,92.593,4999.54,0.0,53.995,4490.741,35.025,-4990.601,142.857,4990.601,0.0,34.934,5003.574,7.712,-4998.737,1250.0,4998.737,0.0,3.999,9639.699
2019-05-21,16.37,-4995.215,384.615,4995.215,0.0,12.988,6296.088,39.11,-4995.62,121.951,4995.62,0.0,40.964,4769.512,48.91,-4999.54,92.593,4999.54,0.0,53.995,4528.704,34.956,-4990.601,142.857,4990.601,0.0,34.934,4993.702,7.919,-4998.737,1250.0,4998.737,0.0,3.999,9898.194
2019-05-22,16.122,-4995.215,384.615,4995.215,0.0,12.988,6200.796,38.61,-4995.62,121.951,4995.62,0.0,40.964,4708.537,48.38,-4999.54,92.593,4999.54,0.0,53.995,4479.63,34.936,-4990.601,142.857,4990.601,0.0,34.934,4990.882,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177
2019-05-23,15.45,-4995.215,384.615,4995.215,0.0,12.988,5942.145,38.31,-4995.62,121.951,4995.62,0.0,40.964,4671.951,47.46,-4999.54,92.593,4999.54,0.0,53.995,4394.444,35.232,-4990.601,142.857,4990.601,0.0,34.934,5033.189,7.686,-4998.737,1250.0,4998.737,0.0,3.999,9607.388
2019-05-24,15.812,-4995.215,384.615,4995.215,0.0,12.988,6081.682,38.74,-4995.62,121.951,4995.62,0.0,40.964,4724.39,47.98,-4999.54,92.593,4999.54,0.0,53.995,4442.593,35.222,-4990.601,142.857,4990.601,0.0,34.934,5031.779,7.763,-4998.737,1250.0,4998.737,0.0,3.999,9704.324
2019-05-28,14.697,-4995.215,384.615,4995.215,0.0,12.988,5652.866,38.49,-4995.62,121.951,4995.62,0.0,40.964,4693.903,48.7,-4999.54,92.593,4999.54,0.0,53.995,4509.259,35.015,-4990.601,142.857,4990.601,0.0,34.934,5002.164,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177
2019-05-29,15.087,-4995.215,384.615,4995.215,0.0,12.988,5802.61,37.97,-4995.62,121.951,4995.62,0.0,40.964,4630.488,49.05,-4999.54,92.593,4999.54,0.0,53.995,4541.667,35.035,-4990.601,142.857,4990.601,0.0,34.934,5004.984,7.557,-4998.737,1250.0,4998.737,0.0,3.999,9445.829
2019-05-30,14.812,-4995.215,384.615,4995.215,0.0,12.988,5697.109,37.44,-4995.62,121.951,4995.62,0.0,40.964,4565.853,49.82,-4999.54,92.593,4999.54,0.0,53.995,4612.963,35.292,-4990.601,142.857,4990.601,0.0,34.934,5041.65,7.824,-4998.737,1250.0,4998.737,0.0,3.999,9779.718
2019-05-31,14.503,-4995.215,384.615,4995.215,0.0,12.988,5577.994,36.92,-4995.62,121.951,4995.62,0.0,40.964,4502.439,49.73,-4999.54,92.593,4999.54,0.0,53.995,4604.63,35.706,-4990.601,142.857,4990.601,0.0,34.934,5100.881,6.204,-4998.737,1250.0,4998.737,0.0,3.999,7754.842
2019-06-03,14.883,-4995.215,384.615,4995.215,0.0,12.988,5724.335,37.64,-4995.62,121.951,4995.62,0.0,40.964,4590.244,50.99,-4999.54,92.593,4999.54,0.0,53.995,4721.296,36.2,-4990.601,142.857,4990.601,0.0,34.934,5171.394,6.497,-4998.737,1250.0,4998.737,0.0,3.999,8121.043
2019-06-04,15.175,-4995.215,384.615,4995.215,0.0,12.988,5836.644,38.63,-4995.62,121.951,4995.62,0.0,40.964,4710.976,51.15,-4999.54,92.593,4999.54,0.0,53.995,4736.111,36.259,-4990.601,142.857,4990.601,0.0,34.934,5179.855,6.135,-4998.737,1250.0,4998.737,0.0,3.999,7668.678
2019-06-05,14.795,-4995.215,384.615,4995.215,0.0,12.988,5690.302,37.82,-4995.62,121.951,4995.62,0.0,40.964,4612.195,49.8,-4999.54,92.593,4999.54,0.0,53.995,4611.111,36.289,-4990.601,142.857,4990.601,0.0,34.934,5184.086,6.126,-4998.737,1250.0,4998.737,0.0,3.999,7657.907
2019-06-06,14.928,-4995.215,384.615,4995.215,0.0,12.988,5741.352,37.81,-4995.62,121.951,4995.62,0.0,40.964,4610.976,50.13,-4999.54,92.593,4999.54,0.0,53.995,4641.667,36.387,-4990.601,142.857,4990.601,0.0,34.934,5198.189,6.583,-4998.737,1250.0,4998.737,0.0,3.999,8228.749
2019-06-07,15.476,-4995.215,384.615,4995.215,0.0,12.988,5952.355,37.79,-4995.62,121.951,4995.62,0.0,40.964,4608.537,49.64,-4999.54,92.593,4999.54,0.0,53.995,4596.296,36.634,-4990.601,142.857,4990.601,0.0,34.934,5233.445,6.721,-4998.737,1250.0,4998.737,0.0,3.999,8401.079
2019-06-10,15.361,-4995.215,384.615,4995.215,0.0,12.988,5908.114,37.71,-4995.62,121.951,4995.62,0.0,40.964,4598.78,50.41,-4999.54,92.593,4999.54,0.0,53.995,4667.593,36.21,-4990.601,142.857,4990.601,0.0,34.934,5172.804,6.195,-4998.737,1250.0,4998.737,0.0,3.999,7744.072
2019-06-11,15.202,-4995.215,384.615,4995.215,0.0,12.988,5846.854,38.0,-4995.62,121.951,4995.62,0.0,40.964,4634.146,50.96,-4999.54,92.593,4999.54,0.0,53.995,4718.518,36.19,-4990.601,142.857,4990.601,0.0,34.934,5169.983,6.118,-4998.737,1250.0,4998.737,0.0,3.999,7647.136
2019-06-12,14.697,-4995.215,384.615,4995.215,0.0,12.988,5652.866,38.04,-4995.62,121.951,4995.62,0.0,40.964,4639.025,51.23,-4999.54,92.593,4999.54,0.0,53.995,4743.518,36.338,-4990.601,142.857,4990.601,0.0,34.934,5191.138,6.144,-4998.737,1250.0,4998.737,0.0,3.999,7679.448
2019-06-13,15.034,-4995.215,384.615,4995.215,0.0,12.988,5782.191,37.68,-4995.62,121.951,4995.62,0.0,40.964,4595.122,51.36,-4999.54,92.593,4999.54,0.0,53.995,4755.556,36.575,-4990.601,142.857,4990.601,0.0,34.934,5224.983,6.023,-4998.737,1250.0,4998.737,0.0,3.999,7528.659
