date,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue
2020-05-21,3.856,-4998.685,625.0,4998.685,0.0,7.998,2410.274,22.656,-4954.851,96.154,4954.851,0.0,51.53,2178.507
2020-05-22,3.838,-4998.685,625.0,4998.685,0.0,7.998,2398.488,22.185,-4954.851,96.154,4954.851,0.0,51.53,2133.179
2020-05-26,3.988,-4998.685,625.0,4998.685,0.0,7.998,2492.777,23.349,-4954.851,96.154,4954.851,0.0,51.53,2245.111
2020-05-27,4.064,-4998.685,625.0,4998.685,0.0,7.998,2539.922,24.658,-4954.851,96.154,4954.851,0.0,51.53,2370.919
2020-05-28,4.139,-4998.685,625.0,4998.685,0.0,7.998,2587.067,24.792,-4954.851,96.154,4954.851,0.0,51.53,2383.87
2020-05-29,4.139,-4998.685,625.0,4998.685,0.0,7.998,2587.067,24.879,-4954.851,96.154,4954.851,0.0,51.53,2392.195
2020-06-01,4.309,-4998.685,625.0,4998.685,0.0,7.998,2693.142,25.976,-4954.851,96.154,4954.851,0.0,51.53,2497.652
2020-06-02,4.413,-4998.685,625.0,4998.685,0.0,7.998,2757.967,26.736,-4954.851,96.154,4954.851,0.0,51.53,2570.731
2020-06-03,4.545,-4998.685,625.0,4998.685,0.0,7.998,2840.47,28.65,-4954.851,96.154,4954.851,0.0,51.53,2754.817
2020-06-04,4.63,-4998.685,625.0,4998.685,0.0,7.998,2893.508,29.516,-4954.851,96.154,4954.851,0.0,51.53,2838.072
2020-06-05,4.903,-4998.685,625.0,4998.685,0.0,7.998,3064.407,31.527,-4954.851,96.154,4954.851,0.0,51.53,3031.409
2020-06-08,4.894,-4998.685,625.0,4998.685,0.0,7.998,3058.514,32.46,-4954.851,96.154,4954.851,0.0,51.53,3121.14
2020-06-09,4.724,-4998.685,625.0,4998.685,0.0,7.998,2952.439,30.382,-4954.851,96.154,4954.851,0.0,51.53,2921.327
2020-06-10,4.516,-4998.685,625.0,4998.685,0.0,7.998,2822.79,28.496,-4954.851,96.154,4954.851,0.0,51.53,2740.017
2020-06-11,4.234,-4998.685,625.0,4998.685,0.0,7.998,2645.998,26.13,-4954.851,96.154,4954.851,0.0,51.53,2512.452
2020-06-12,4.356,-4998.685,625.0,4998.685,0.0,7.998,2722.608,27.332,-4954.851,96.154,4954.851,0.0,51.53,2628.085
2020-06-15,4.356,-4998.685,625.0,4998.685,0.0,7.998,2722.608,27.929,-4954.851,96.154,4954.851,0.0,51.53,2685.438
