date,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,ZLAB_adj_close,ZLAB_cashflow,ZLAB_cml_units,ZLAB_cml_cost,ZLAB_gain_loss,ZLAB_avg_price,ZLAB_mktvalue,CBIO_adj_close,CBIO_cashflow,CBIO_cml_units,CBIO_cml_cost,CBIO_gain_loss,CBIO_avg_price,CBIO_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-04-18,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,29.38,-4992.3,217.391,4992.3,0.0,22.965,6386.956,8.7,-4994.37,714.286,4994.37,0.0,6.992,6214.286,5.95,-4999.54,2500.0,4999.54,0.0,2.0,14875.0,7.496,-4998.737,1250.0,4998.737,0.0,3.999,9370.434,8.7,-4998.0,833.333,4998.0,0.0,5.998,7250.0,2.7,-4998.96,5000.0,4998.96,0.0,1.0,13500.0
2019-04-22,1.25,-4999.04,5000.0,4999.04,0.0,1.0,6250.0,29.46,-4992.3,217.391,4992.3,0.0,22.965,6404.348,8.71,-4994.37,714.286,4994.37,0.0,6.992,6221.429,6.15,-4999.54,2500.0,4999.54,0.0,2.0,15375.0,7.858,-4998.737,1250.0,4998.737,0.0,3.999,9822.8,8.62,-4998.0,833.333,4998.0,0.0,5.998,7183.333,2.58,-4998.96,5000.0,4998.96,0.0,1.0,12900.0
2019-04-23,1.3,-4999.04,5000.0,4999.04,0.0,1.0,6500.0,30.26,-4992.3,217.391,4992.3,0.0,22.965,6578.261,8.59,-4994.37,714.286,4994.37,0.0,6.992,6135.714,6.6,-4999.54,2500.0,4999.54,0.0,2.0,16500.0,8.108,-4998.737,1250.0,4998.737,0.0,3.999,10135.148,9.1,-4998.0,833.333,4998.0,0.0,5.998,7583.334,2.53,-4998.96,5000.0,4998.96,0.0,1.0,12650.0
2019-04-24,1.26,-4999.04,5000.0,4999.04,0.0,1.0,6300.0,29.06,-4992.3,217.391,4992.3,0.0,22.965,6317.391,8.5,-4994.37,714.286,4994.37,0.0,6.992,6071.429,6.7,-4999.54,2500.0,4999.54,0.0,2.0,16750.0,7.919,-4998.737,1250.0,4998.737,0.0,3.999,9898.194,9.29,-4998.0,833.333,4998.0,0.0,5.998,7741.667,2.44,-4998.96,5000.0,4998.96,0.0,1.0,12200.0
2019-04-25,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,28.41,-4992.3,217.391,4992.3,0.0,22.965,6176.087,8.23,-4994.37,714.286,4994.37,0.0,6.992,5878.571,6.96,-4999.54,2500.0,4999.54,0.0,2.0,17400.0,8.186,-4998.737,1250.0,4998.737,0.0,3.999,10232.084,9.26,-4998.0,833.333,4998.0,0.0,5.998,7716.667,2.38,-4998.96,5000.0,4998.96,0.0,1.0,11900.001
2019-04-26,1.26,-4999.04,5000.0,4999.04,0.0,1.0,6300.0,28.18,-4992.3,217.391,4992.3,0.0,22.965,6126.087,8.38,-4994.37,714.286,4994.37,0.0,6.992,5985.714,6.68,-4999.54,2500.0,4999.54,0.0,2.0,16700.0,8.186,-4998.737,1250.0,4998.737,0.0,3.999,10232.084,9.29,-4998.0,833.333,4998.0,0.0,5.998,7741.667,2.44,-4998.96,5000.0,4998.96,0.0,1.0,12200.0
2019-04-29,1.25,-4999.04,5000.0,4999.04,0.0,1.0,6250.0,27.52,-4992.3,217.391,4992.3,0.0,22.965,5982.609,8.96,-4994.37,714.286,4994.37,0.0,6.992,6400.0,6.8,-4999.54,2500.0,4999.54,0.0,2.0,17000.0,8.125,-4998.737,1250.0,4998.737,0.0,3.999,10156.69,9.3,-4998.0,833.333,4998.0,0.0,5.998,7750.0,2.46,-4998.96,5000.0,4998.96,0.0,1.0,12300.0
2019-04-30,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,26.65,-4992.3,217.391,4992.3,0.0,22.965,5793.478,8.72,-4994.37,714.286,4994.37,0.0,6.992,6228.572,6.38,-4999.54,2500.0,4999.54,0.0,2.0,15950.0,7.677,-4998.737,1250.0,4998.737,0.0,3.999,9596.617,9.28,-4998.0,833.333,4998.0,0.0,5.998,7733.333,2.48,-4998.96,5000.0,4998.96,0.0,1.0,12400.0
2019-05-01,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,26.05,-4992.3,217.391,4992.3,0.0,22.965,5663.043,8.66,-4994.37,714.286,4994.37,0.0,6.992,6185.714,6.71,-4999.54,2500.0,4999.54,0.0,2.0,16775.0,7.539,-4998.737,1250.0,4998.737,0.0,3.999,9424.288,9.29,-4998.0,833.333,4998.0,0.0,5.998,7741.667,2.46,-4998.96,5000.0,4998.96,0.0,1.0,12300.0
2019-05-02,1.19,-4999.04,5000.0,4999.04,0.0,1.0,5950.0,25.73,-4992.3,217.391,4992.3,0.0,22.965,5593.478,8.2,-4994.37,714.286,4994.37,0.0,6.992,5857.143,6.63,-4999.54,2500.0,4999.54,0.0,2.0,16575.0,7.936,-4998.737,1250.0,4998.737,0.0,3.999,9919.736,9.29,-4998.0,833.333,4998.0,0.0,5.998,7741.667,2.48,-4998.96,5000.0,4998.96,0.0,1.0,12400.0
