date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2021-08-13,45.61,-4990.56,131.579,4990.56,0.0,37.928,6001.316,9.03,-4999.54,2500.0,4999.54,0.0,2.0,22574.999,15.96,-4998.737,1250.0,4998.737,0.0,3.999,19950.0,64.54,-4997.3,625.0,4997.3,0.0,7.996,40337.501,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-16,45.48,-4990.56,131.579,4990.56,0.0,37.928,5984.21,9.06,-4999.54,2500.0,4999.54,0.0,2.0,22650.001,16.03,-4998.737,1250.0,4998.737,0.0,3.999,20037.501,64.14,-4997.3,625.0,4997.3,0.0,7.996,40087.5,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-17,44.72,-4990.56,131.579,4990.56,0.0,37.928,5884.211,9.46,-4999.54,2500.0,4999.54,0.0,2.0,23650.0,16.08,-4998.737,1250.0,4998.737,0.0,3.999,20100.0,63.16,-4997.3,625.0,4997.3,0.0,7.996,39475.0,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-18,44.58,-4990.56,131.579,4990.56,0.0,37.928,5865.79,9.41,-4999.54,2500.0,4999.54,0.0,2.0,23525.0,15.65,-4998.737,1250.0,4998.737,0.0,3.999,19562.5,60.91,-4997.3,625.0,4997.3,0.0,7.996,38068.75,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-19,43.8,-4990.56,131.579,4990.56,0.0,37.928,5763.158,9.33,-4999.54,2500.0,4999.54,0.0,2.0,23325.0,15.29,-4998.737,1250.0,4998.737,0.0,3.999,19112.5,59.85,-4997.3,625.0,4997.3,0.0,7.996,37406.249,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-20,43.29,-4990.56,131.579,4990.56,0.0,37.928,5696.053,9.53,-4999.54,2500.0,4999.54,0.0,2.0,23824.999,15.56,-4998.737,1250.0,4998.737,0.0,3.999,19450.001,60.25,-4997.3,625.0,4997.3,0.0,7.996,37656.25,3.1,-4998.0,833.333,4998.0,0.0,5.998,2583.333
2021-08-23,43.96,-4990.56,131.579,4990.56,0.0,37.928,5784.21,9.82,-4999.54,2500.0,4999.54,0.0,2.0,24549.999,15.92,-4998.737,1250.0,4998.737,0.0,3.999,19900.0,63.15,-4997.3,625.0,4997.3,0.0,7.996,39468.751,2.5,-4998.0,833.333,4998.0,0.0,5.998,2083.333
2021-08-24,45.0,-4990.56,131.579,4990.56,0.0,37.928,5921.053,10.02,-4999.54,2500.0,4999.54,0.0,2.0,25050.001,15.9,-4998.737,1250.0,4998.737,0.0,3.999,19875.0,64.18,-4997.3,625.0,4997.3,0.0,7.996,40112.5,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-08-25,45.9,-4990.56,131.579,4990.56,0.0,37.928,6039.474,10.27,-4999.54,2500.0,4999.54,0.0,2.0,25675.001,15.82,-4998.737,1250.0,4998.737,0.0,3.999,19775.0,63.99,-4997.3,625.0,4997.3,0.0,7.996,39993.751,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
2021-08-26,45.76,-4990.56,131.579,4990.56,0.0,37.928,6021.052,10.18,-4999.54,2500.0,4999.54,0.0,2.0,25450.001,15.94,-4998.737,1250.0,4998.737,0.0,3.999,19924.999,63.35,-4997.3,625.0,4997.3,0.0,7.996,39593.749,2.57,-4998.0,833.333,4998.0,0.0,5.998,2141.667
