date,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue
2020-07-31,2.61,-4991.0,310.0,4991.0,446.4,16.1,809.1
2020-08-03,2.62,-4991.0,310.0,4991.0,446.4,16.1,812.2
2020-08-04,2.66,-4991.0,310.0,4991.0,446.4,16.1,824.6
2020-08-05,2.73,-4991.0,310.0,4991.0,446.4,16.1,846.3
2020-08-06,2.51,-4991.0,310.0,4991.0,446.4,16.1,778.1
2020-08-07,2.62,-4991.0,310.0,4991.0,446.4,16.1,812.2
2020-08-10,2.58,-4991.0,310.0,4991.0,446.4,16.1,799.8
2020-08-11,2.51,-4991.0,310.0,4991.0,446.4,16.1,778.1
2020-08-12,2.52,-4991.0,310.0,4991.0,446.4,16.1,781.2
2020-08-13,2.55,-4991.0,310.0,4991.0,446.4,16.1,790.5
2020-08-14,2.59,-4991.0,310.0,4991.0,446.4,16.1,802.9
2020-08-17,2.52,-4991.0,310.0,4991.0,446.4,16.1,781.2
2020-08-18,2.47,-4991.0,310.0,4991.0,446.4,16.1,765.7
2020-08-19,2.44,-4991.0,310.0,4991.0,446.4,16.1,756.4
2020-08-20,2.48,-4991.0,310.0,4991.0,446.4,16.1,768.8
2020-08-21,2.42,-4991.0,310.0,4991.0,446.4,16.1,750.2
2020-08-24,2.45,-4991.0,310.0,4991.0,446.4,16.1,759.5
2020-08-25,2.42,-4991.0,310.0,4991.0,446.4,16.1,750.2
2020-08-26,2.6,-4991.0,310.0,4991.0,446.4,16.1,806.0
2020-08-27,2.49,-4991.0,310.0,4991.0,446.4,16.1,771.9
2020-08-28,2.62,-4991.0,310.0,4991.0,446.4,16.1,812.2
2020-08-31,2.55,-4991.0,310.0,4991.0,446.4,16.1,790.5
2020-09-01,2.52,-4991.0,310.0,4991.0,446.4,16.1,781.2
2020-09-02,2.47,-4991.0,310.0,4991.0,446.4,16.1,765.7
2020-09-03,2.41,-4991.0,310.0,4991.0,446.4,16.1,747.1
2020-09-04,2.41,-4991.0,310.0,4991.0,446.4,16.1,747.1
2020-09-08,2.39,-4991.0,310.0,4991.0,446.4,16.1,740.9
2020-09-09,2.42,-4991.0,310.0,4991.0,446.4,16.1,750.2
2020-09-10,2.38,-4991.0,310.0,4991.0,446.4,16.1,737.8
2020-09-11,2.39,-4991.0,310.0,4991.0,446.4,16.1,740.9
2020-09-14,2.39,-4991.0,310.0,4991.0,446.4,16.1,740.9
2020-09-15,2.55,-4991.0,310.0,4991.0,446.4,16.1,790.5
2020-09-16,2.61,-4991.0,310.0,4991.0,446.4,16.1,809.1
2020-09-17,2.92,-4991.0,310.0,4991.0,446.4,16.1,905.2
2020-09-18,2.85,-4991.0,310.0,4991.0,446.4,16.1,883.5
2020-09-21,2.81,-4991.0,310.0,4991.0,446.4,16.1,871.1
2020-09-22,2.84,-4991.0,310.0,4991.0,446.4,16.1,880.4
2020-09-23,2.75,-4991.0,310.0,4991.0,446.4,16.1,852.5
2020-09-24,2.7,-4991.0,310.0,4991.0,446.4,16.1,837.0
2020-09-25,2.72,-4991.0,310.0,4991.0,446.4,16.1,843.2
2020-09-28,2.67,-4991.0,310.0,4991.0,446.4,16.1,827.7
2020-09-29,2.62,-4991.0,310.0,4991.0,446.4,16.1,812.2
2020-09-30,2.55,-4991.0,310.0,4991.0,446.4,16.1,790.5
2020-10-01,2.59,-4991.0,310.0,4991.0,446.4,16.1,802.9
2020-10-02,2.87,-4991.0,310.0,4991.0,446.4,16.1,889.7
2020-10-05,2.94,-4991.0,310.0,4991.0,446.4,16.1,911.4
2020-10-06,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2020-10-07,3.14,-4991.0,310.0,4991.0,446.4,16.1,973.4
2020-10-08,3.44,-4991.0,310.0,4991.0,446.4,16.1,1066.4
2020-10-09,3.45,-4991.0,310.0,4991.0,446.4,16.1,1069.5
2020-10-12,3.37,-4991.0,310.0,4991.0,446.4,16.1,1044.7
2020-10-13,3.35,-4991.0,310.0,4991.0,446.4,16.1,1038.5
2020-10-14,3.42,-4991.0,310.0,4991.0,446.4,16.1,1060.2
2020-10-15,3.49,-4991.0,310.0,4991.0,446.4,16.1,1081.9
2020-10-16,3.32,-4991.0,310.0,4991.0,446.4,16.1,1029.2
2020-10-19,3.42,-4991.0,310.0,4991.0,446.4,16.1,1060.2
2020-10-20,3.59,-4991.0,310.0,4991.0,446.4,16.1,1112.9
2020-10-21,3.59,-4991.0,310.0,4991.0,446.4,16.1,1112.9
2020-10-22,3.68,-4991.0,310.0,4991.0,446.4,16.1,1140.8
2020-10-23,3.71,-4991.0,310.0,4991.0,446.4,16.1,1150.1
2020-10-26,3.7,-4991.0,310.0,4991.0,446.4,16.1,1147.0
2020-10-27,3.72,-4991.0,310.0,4991.0,446.4,16.1,1153.2
2020-10-28,3.55,-4991.0,310.0,4991.0,446.4,16.1,1100.5
2020-10-29,3.47,-4991.0,310.0,4991.0,446.4,16.1,1075.7
2020-10-30,3.46,-4991.0,310.0,4991.0,446.4,16.1,1072.6
2020-11-02,3.44,-4991.0,310.0,4991.0,446.4,16.1,1066.4
2020-11-03,3.59,-4991.0,310.0,4991.0,446.4,16.1,1112.9
2020-11-04,3.6,-4991.0,310.0,4991.0,446.4,16.1,1116.0
2020-11-05,3.64,-4991.0,310.0,4991.0,446.4,16.1,1128.4
2020-11-06,3.12,-4991.0,310.0,4991.0,446.4,16.1,967.2
2020-11-09,3.28,-4991.0,310.0,4991.0,446.4,16.1,1016.8
2020-11-10,3.35,-4991.0,310.0,4991.0,446.4,16.1,1038.5
2020-11-11,3.24,-4991.0,310.0,4991.0,446.4,16.1,1004.4
2020-11-12,3.37,-4991.0,310.0,4991.0,446.4,16.1,1044.7
2020-11-13,3.48,-4991.0,310.0,4991.0,446.4,16.1,1078.8
2020-11-16,3.54,-4991.0,310.0,4991.0,446.4,16.1,1097.4
2020-11-17,3.37,-4991.0,310.0,4991.0,446.4,16.1,1044.7
2020-11-18,3.41,-4991.0,310.0,4991.0,446.4,16.1,1057.1
2020-11-19,3.52,-4991.0,310.0,4991.0,446.4,16.1,1091.2
2020-11-20,3.55,-4991.0,310.0,4991.0,446.4,16.1,1100.5
2020-11-23,3.58,-4991.0,310.0,4991.0,446.4,16.1,1109.8
2020-11-24,3.58,-4991.0,310.0,4991.0,446.4,16.1,1109.8
2020-11-25,3.62,-4991.0,310.0,4991.0,446.4,16.1,1122.2
2020-11-27,3.62,-4991.0,310.0,4991.0,446.4,16.1,1122.2
2020-11-30,3.63,-4991.0,310.0,4991.0,446.4,16.1,1125.3
2020-12-01,3.62,-4991.0,310.0,4991.0,446.4,16.1,1122.2
2020-12-02,3.65,-4991.0,310.0,4991.0,446.4,16.1,1131.5
2020-12-03,3.66,-4991.0,310.0,4991.0,446.4,16.1,1134.6
2020-12-04,3.77,-4991.0,310.0,4991.0,446.4,16.1,1168.7
2020-12-07,3.66,-4991.0,310.0,4991.0,446.4,16.1,1134.6
2020-12-08,3.76,-4991.0,310.0,4991.0,446.4,16.1,1165.6
2020-12-09,3.76,-4991.0,310.0,4991.0,446.4,16.1,1165.6
2020-12-10,3.81,-4991.0,310.0,4991.0,446.4,16.1,1181.1
2020-12-11,3.8,-4991.0,310.0,4991.0,446.4,16.1,1178.0
2020-12-14,3.83,-4991.0,310.0,4991.0,446.4,16.1,1187.3
2020-12-15,3.84,-4991.0,310.0,4991.0,446.4,16.1,1190.4
2020-12-16,3.83,-4991.0,310.0,4991.0,446.4,16.1,1187.3
2020-12-17,3.8,-4991.0,310.0,4991.0,446.4,16.1,1178.0
2020-12-18,3.79,-4991.0,310.0,4991.0,446.4,16.1,1174.9
2020-12-21,3.48,-4991.0,310.0,4991.0,446.4,16.1,1078.8
2020-12-22,3.53,-4991.0,310.0,4991.0,446.4,16.1,1094.3
2020-12-23,3.49,-4991.0,310.0,4991.0,446.4,16.1,1081.9
2020-12-24,3.48,-4991.0,310.0,4991.0,446.4,16.1,1078.8
2020-12-28,3.33,-4991.0,310.0,4991.0,446.4,16.1,1032.3
2020-12-29,3.11,-4991.0,310.0,4991.0,446.4,16.1,964.1
2020-12-30,3.11,-4991.0,310.0,4991.0,446.4,16.1,964.1
2020-12-31,3.13,-4991.0,310.0,4991.0,446.4,16.1,970.3
2021-01-04,3.03,-4991.0,310.0,4991.0,446.4,16.1,939.3
2021-01-05,3.16,-4991.0,310.0,4991.0,446.4,16.1,979.6
2021-01-06,3.28,-4991.0,310.0,4991.0,446.4,16.1,1016.8
2021-01-07,3.21,-4991.0,310.0,4991.0,446.4,16.1,995.1
2021-01-08,3.11,-4991.0,310.0,4991.0,446.4,16.1,964.1
2021-01-11,3.01,-4991.0,310.0,4991.0,446.4,16.1,933.1
2021-01-12,3.12,-4991.0,310.0,4991.0,446.4,16.1,967.2
2021-01-13,3.06,-4991.0,310.0,4991.0,446.4,16.1,948.6
2021-01-14,3.13,-4991.0,310.0,4991.0,446.4,16.1,970.3
2021-01-15,3.2,-4991.0,310.0,4991.0,446.4,16.1,992.0
2021-01-19,3.25,-4991.0,310.0,4991.0,446.4,16.1,1007.5
2021-01-20,3.48,-4991.0,310.0,4991.0,446.4,16.1,1078.8
2021-01-21,3.67,-4991.0,310.0,4991.0,446.4,16.1,1137.7
2021-01-22,3.62,-4991.0,310.0,4991.0,446.4,16.1,1122.2
2021-01-25,3.5,-4991.0,310.0,4991.0,446.4,16.1,1085.0
2021-01-26,3.4,-4991.0,310.0,4991.0,446.4,16.1,1054.0
2021-01-27,3.36,-4991.0,310.0,4991.0,446.4,16.1,1041.6
2021-01-28,3.27,-4991.0,310.0,4991.0,446.4,16.1,1013.7
2021-01-29,3.2,-4991.0,310.0,4991.0,446.4,16.1,992.0
2021-02-01,3.67,-4991.0,310.0,4991.0,446.4,16.1,1137.7
2021-02-02,3.75,-4991.0,310.0,4991.0,446.4,16.1,1162.5
2021-02-03,3.98,-4991.0,310.0,4991.0,446.4,16.1,1233.8
2021-02-04,3.74,-4991.0,310.0,4991.0,446.4,16.1,1159.4
2021-02-05,3.84,-4991.0,310.0,4991.0,446.4,16.1,1190.4
2021-02-08,3.84,-4991.0,310.0,4991.0,446.4,16.1,1190.4
2021-02-09,3.77,-4991.0,310.0,4991.0,446.4,16.1,1168.7
2021-02-10,3.84,-4991.0,310.0,4991.0,446.4,16.1,1190.4
2021-02-11,4.01,-4991.0,310.0,4991.0,446.4,16.1,1243.1
2021-02-12,4.12,-4991.0,310.0,4991.0,446.4,16.1,1277.2
2021-02-16,3.98,-4991.0,310.0,4991.0,446.4,16.1,1233.8
