date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,COOP_adj_close,COOP_cashflow,COOP_cml_units,COOP_cml_cost,COOP_gain_loss,COOP_avg_price,COOP_mktvalue,VRME_adj_close,VRME_cashflow,VRME_cml_units,VRME_cml_cost,VRME_gain_loss,VRME_avg_price,VRME_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,TMGI_adj_close,TMGI_cashflow,TMGI_cml_units,TMGI_cml_cost,TMGI_gain_loss,TMGI_avg_price,TMGI_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-01-30,37.24,-4973.336,138.889,4973.336,0.0,35.808,5172.175,5.558,-4998.737,1250.0,4998.737,0.0,3.999,6947.046,15.23,-4994.76,454.545,4994.76,0.0,10.988,6922.727,11.0,-4993.625,500.0,4993.625,0.0,9.987,5500.0,2.25,-4998.96,5000.0,4998.96,0.0,1.0,11250.0,20.0,-4973.8,131.579,4973.8,0.0,37.801,2631.579,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.35,-4998.96,5000.0,4998.96,0.0,1.0,11750.0
2019-01-31,36.933,-4973.336,138.889,4973.336,0.0,35.808,5129.561,5.687,-4998.737,1250.0,4998.737,0.0,3.999,7108.606,15.39,-4994.76,454.545,4994.76,0.0,10.988,6995.455,12.145,-4993.625,500.0,4993.625,0.0,9.987,6072.5,2.46,-4998.96,5000.0,4998.96,0.0,1.0,12300.0,18.0,-4973.8,131.579,4973.8,0.0,37.801,2368.421,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.54,-4998.96,5000.0,4998.96,0.0,1.0,12700.0
2019-02-01,36.565,-4973.336,138.889,4973.336,0.0,35.808,5078.424,5.764,-4998.737,1250.0,4998.737,0.0,3.999,7205.541,15.34,-4994.76,454.545,4994.76,0.0,10.988,6972.727,12.145,-4993.625,500.0,4993.625,0.0,9.987,6072.5,2.54,-4998.96,5000.0,4998.96,0.0,1.0,12700.0,19.2,-4973.8,131.579,4973.8,0.0,37.801,2526.316,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.63,-4998.96,5000.0,4998.96,0.0,1.0,13150.001
2019-02-04,36.793,-4973.336,138.889,4973.336,0.0,35.808,5110.08,6.238,-4998.737,1250.0,4998.737,0.0,3.999,7797.925,15.01,-4994.76,454.545,4994.76,0.0,10.988,6822.727,12.145,-4993.625,500.0,4993.625,0.0,9.987,6072.5,2.44,-4998.96,5000.0,4998.96,0.0,1.0,12200.0,20.0,-4973.8,131.579,4973.8,0.0,37.801,2631.579,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.52,-4998.96,5000.0,4998.96,0.0,1.0,12600.0
2019-02-05,37.117,-4973.336,138.889,4973.336,0.0,35.808,5155.13,7.255,-4998.737,1250.0,4998.737,0.0,3.999,9068.857,15.15,-4994.76,454.545,4994.76,0.0,10.988,6886.363,11.765,-4993.625,500.0,4993.625,0.0,9.987,5882.5,2.3,-4998.96,5000.0,4998.96,0.0,1.0,11500.0,20.48,-4973.8,131.579,4973.8,0.0,37.801,2694.737,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667,2.39,-4998.96,5000.0,4998.96,0.0,1.0,11950.001
2019-02-06,36.907,-4973.336,138.889,4973.336,0.0,35.808,5125.908,8.487,-4998.737,1250.0,4998.737,0.0,3.999,10609.056,15.4,-4994.76,454.545,4994.76,0.0,10.988,7000.0,11.765,-4993.625,500.0,4993.625,0.0,9.987,5882.5,2.33,-4998.96,5000.0,4998.96,0.0,1.0,11650.0,18.16,-4973.8,131.579,4973.8,0.0,37.801,2389.474,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667,2.39,-4998.96,5000.0,4998.96,0.0,1.0,11950.001
2019-02-07,36.661,-4973.336,138.889,4973.336,0.0,35.808,5091.817,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177,15.22,-4994.76,454.545,4994.76,0.0,10.988,6918.182,11.98,-4993.625,500.0,4993.625,0.0,9.987,5990.0,2.28,-4998.96,5000.0,4998.96,0.0,1.0,11400.0,12.0,-4973.8,131.579,4973.8,0.0,37.801,1578.947,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667,2.37,-4998.96,5000.0,4998.96,0.0,1.0,11849.999
2019-02-08,36.6,-4973.336,138.889,4973.336,0.0,35.808,5083.294,7.29,-4998.737,1250.0,4998.737,0.0,3.999,9111.94,15.19,-4994.76,454.545,4994.76,0.0,10.988,6904.545,11.38,-4993.625,500.0,4993.625,0.0,9.987,5690.0,2.33,-4998.96,5000.0,4998.96,0.0,1.0,11650.0,14.0,-4973.8,131.579,4973.8,0.0,37.801,1842.105,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667,2.43,-4998.96,5000.0,4998.96,0.0,1.0,12150.0
2019-02-11,36.538,-4973.336,138.889,4973.336,0.0,35.808,5074.772,7.453,-4998.737,1250.0,4998.737,0.0,3.999,9316.581,14.59,-4994.76,454.545,4994.76,0.0,10.988,6631.818,11.23,-4993.625,500.0,4993.625,0.0,9.987,5615.0,2.32,-4998.96,5000.0,4998.96,0.0,1.0,11600.0,11.992,-4973.8,131.579,4973.8,0.0,37.801,1577.895,8.5,-4998.0,833.333,4998.0,0.0,5.998,7083.333,2.42,-4998.96,5000.0,4998.96,0.0,1.0,12100.0
2019-02-12,36.907,-4973.336,138.889,4973.336,0.0,35.808,5125.908,7.238,-4998.737,1250.0,4998.737,0.0,3.999,9047.316,14.79,-4994.76,454.545,4994.76,0.0,10.988,6722.727,11.25,-4993.625,500.0,4993.625,0.0,9.987,5625.0,2.44,-4998.96,5000.0,4998.96,0.0,1.0,12200.0,12.0,-4973.8,131.579,4973.8,0.0,37.801,1578.947,8.6,-4998.0,833.333,4998.0,0.0,5.998,7166.667,2.55,-4998.96,5000.0,4998.96,0.0,1.0,12750.0
