date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-03-22,18.919,-4997.067,312.5,4997.067,0.0,15.991,5912.238,3.84,-4999.02,2500.0,4999.02,0.0,2.0,9600.0,6.925,-4998.036,1000.0,4998.036,0.0,4.998,6925.489,3.04,-4999.54,2500.0,4999.54,0.0,2.0,7600.0,9.426,-4998.737,1250.0,4998.737,0.0,3.999,11783.051,8.5,-4997.3,625.0,4997.3,0.0,7.996,5312.5,8.88,-4998.0,833.333,4998.0,0.0,5.998,7400.0
2019-03-25,18.928,-4997.067,312.5,4997.067,0.0,15.991,5914.938,3.68,-4999.02,2500.0,4999.02,0.0,2.0,9200.0,6.836,-4998.036,1000.0,4998.036,0.0,4.998,6836.128,3.02,-4999.54,2500.0,4999.54,0.0,2.0,7550.0,9.065,-4998.737,1250.0,4998.737,0.0,3.999,11330.687,8.67,-4997.3,625.0,4997.3,0.0,7.996,5418.75,8.9,-4998.0,833.333,4998.0,0.0,5.998,7416.666
2019-03-26,19.083,-4997.067,312.5,4997.067,0.0,15.991,5963.531,3.65,-4999.02,2500.0,4999.02,0.0,2.0,9125.0,6.872,-4998.036,1000.0,4998.036,0.0,4.998,6871.872,3.06,-4999.54,2500.0,4999.54,0.0,2.0,7650.0,9.392,-4998.737,1250.0,4998.737,0.0,3.999,11739.969,8.74,-4997.3,625.0,4997.3,0.0,7.996,5462.5,8.9,-4998.0,833.333,4998.0,0.0,5.998,7416.666
2019-03-27,18.971,-4997.067,312.5,4997.067,0.0,15.991,5928.437,3.69,-4999.02,2500.0,4999.02,0.0,2.0,9225.0,6.845,-4998.036,1000.0,4998.036,0.0,4.998,6845.064,2.99,-4999.54,2500.0,4999.54,0.0,2.0,7475.0,9.616,-4998.737,1250.0,4998.737,0.0,3.999,12020.005,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,8.9,-4998.0,833.333,4998.0,0.0,5.998,7416.666
2019-03-28,19.083,-4997.067,312.5,4997.067,0.0,15.991,5963.451,3.6,-4999.02,2500.0,4999.02,0.0,2.0,9000.0,6.845,-4998.036,1000.0,4998.036,0.0,4.998,6845.064,3.2,-4999.54,2500.0,4999.54,0.0,2.0,8000.0,9.289,-4998.737,1250.0,4998.737,0.0,3.999,11610.723,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,8.9,-4998.0,833.333,4998.0,0.0,5.998,7416.666
2019-03-29,19.153,-4997.067,312.5,4997.067,0.0,15.991,5985.335,3.56,-4999.02,2500.0,4999.02,0.0,2.0,8900.0,6.961,-4998.036,1000.0,4998.036,0.0,4.998,6961.233,3.54,-4999.54,2500.0,4999.54,0.0,2.0,8850.0,9.495,-4998.737,1250.0,4998.737,0.0,3.999,11869.217,8.67,-4997.3,625.0,4997.3,0.0,7.996,5418.75,8.9,-4998.0,833.333,4998.0,0.0,5.998,7416.666
2019-04-01,19.074,-4997.067,312.5,4997.067,0.0,15.991,5960.715,3.77,-4999.02,2500.0,4999.02,0.0,2.0,9425.0,6.988,-4998.036,1000.0,4998.036,0.0,4.998,6988.042,4.06,-4999.54,2500.0,4999.54,0.0,2.0,10150.0,9.711,-4998.737,1250.0,4998.737,0.0,3.999,12138.484,8.8,-4997.3,625.0,4997.3,0.0,7.996,5500.0,8.95,-4998.0,833.333,4998.0,0.0,5.998,7458.333
2019-04-02,19.074,-4997.067,312.5,4997.067,0.0,15.991,5960.715,3.69,-4999.02,2500.0,4999.02,0.0,2.0,9225.0,6.981,-4998.036,1000.0,4998.036,0.0,4.998,6980.863,4.35,-4999.54,2500.0,4999.54,0.0,2.0,10875.0,9.383,-4998.737,1250.0,4998.737,0.0,3.999,11729.2,8.4,-4997.3,625.0,4997.3,0.0,7.996,5250.0,7.9,-4998.0,833.333,4998.0,0.0,5.998,6583.333
2019-04-03,19.188,-4997.067,312.5,4997.067,0.0,15.991,5996.279,3.66,-4999.02,2500.0,4999.02,0.0,2.0,9150.0,6.999,-4998.036,1000.0,4998.036,0.0,4.998,6998.81,4.62,-4999.54,2500.0,4999.54,0.0,2.0,11550.0,9.444,-4998.737,1250.0,4998.737,0.0,3.999,11804.594,8.09,-4997.3,625.0,4997.3,0.0,7.996,5056.25,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-04-04,19.197,-4997.067,312.5,4997.067,0.0,15.991,5999.014,3.6,-4999.02,2500.0,4999.02,0.0,2.0,9000.0,7.089,-4998.036,1000.0,4998.036,0.0,4.998,7088.538,4.53,-4999.54,2500.0,4999.54,0.0,2.0,11325.001,8.866,-4998.737,1250.0,4998.737,0.0,3.999,11082.963,7.9,-4997.3,625.0,4997.3,0.0,7.996,4937.5,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
