date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2019-06-19,48.414,-4992.24,33.0,4992.24,1121.257,151.28,1597.649,36.223,-4947.6,42.0,4947.6,889.98,117.8,1521.364
2019-06-20,48.803,-4992.24,33.0,4992.24,1121.257,151.28,1610.487,37.243,-4947.6,42.0,4947.6,889.98,117.8,1564.225
2019-06-21,48.636,-4992.24,33.0,4992.24,1121.257,151.28,1604.997,37.253,-4947.6,42.0,4947.6,889.98,117.8,1564.611
2019-06-24,48.587,-4992.24,33.0,4992.24,1121.257,151.28,1603.382,37.951,-4947.6,42.0,4947.6,889.98,117.8,1593.954
2019-06-25,47.851,-4992.24,33.0,4992.24,1121.257,151.28,1579.079,36.945,-4947.6,42.0,4947.6,889.98,117.8,1551.693
2019-06-26,48.886,-4992.24,33.0,4992.24,1121.257,151.28,1613.233,37.097,-4947.6,42.0,4947.6,889.98,117.8,1558.072
2019-06-27,48.871,-4992.24,33.0,4992.24,1121.257,151.28,1612.748,37.581,-4947.6,42.0,4947.6,889.98,117.8,1578.405
2019-06-28,48.426,-4992.24,33.0,4992.24,1121.257,151.28,1598.053,37.182,-4947.6,42.0,4947.6,889.98,117.8,1561.661
2019-07-01,49.314,-4992.24,33.0,4992.24,1121.257,151.28,1627.363,39.28,-4947.6,42.0,4947.6,889.98,117.8,1649.771
2019-07-02,49.603,-4992.24,33.0,4992.24,1121.257,151.28,1636.89,38.73,-4947.6,42.0,4947.6,889.98,117.8,1626.647
2019-07-03,50.014,-4992.24,33.0,4992.24,1121.257,151.28,1650.455,38.284,-4947.6,42.0,4947.6,889.98,117.8,1607.908
2019-07-05,49.97,-4992.24,33.0,4992.24,1121.257,151.28,1649.001,37.904,-4947.6,42.0,4947.6,889.98,117.8,1591.961
2019-07-08,48.94,-4992.24,33.0,4992.24,1121.257,151.28,1615.009,37.325,-4947.6,42.0,4947.6,889.98,117.8,1567.641
2019-07-09,49.238,-4992.24,33.0,4992.24,1121.257,151.28,1624.86,37.657,-4947.6,42.0,4947.6,889.98,117.8,1581.595
2019-07-10,49.725,-4992.24,33.0,4992.24,1121.257,151.28,1640.927,38.644,-4947.6,42.0,4947.6,889.98,117.8,1623.059
2019-07-11,49.363,-4992.24,33.0,4992.24,1121.257,151.28,1628.977,38.825,-4947.6,42.0,4947.6,889.98,117.8,1630.634
2019-07-12,49.742,-4992.24,33.0,4992.24,1121.257,151.28,1641.492,39.138,-4947.6,42.0,4947.6,889.98,117.8,1643.79
2019-07-15,50.21,-4992.24,33.0,4992.24,1121.257,151.28,1656.914,39.698,-4947.6,42.0,4947.6,889.98,117.8,1667.313
2019-07-16,50.036,-4992.24,33.0,4992.24,1121.257,151.28,1651.181,39.65,-4947.6,42.0,4947.6,889.98,117.8,1665.319
2019-07-17,49.754,-4992.24,33.0,4992.24,1121.257,151.28,1641.896,39.518,-4947.6,42.0,4947.6,889.98,117.8,1659.738
2019-07-18,50.32,-4992.24,33.0,4992.24,1121.257,151.28,1660.548,40.998,-4947.6,42.0,4947.6,889.98,117.8,1721.933
2019-07-19,49.568,-4992.24,33.0,4992.24,1121.257,151.28,1635.76,41.606,-4947.6,42.0,4947.6,889.98,117.8,1747.449
2019-07-22,50.701,-4992.24,33.0,4992.24,1121.257,151.28,1673.143,42.337,-4947.6,42.0,4947.6,889.98,117.8,1778.148
2019-07-23,51.098,-4992.24,33.0,4992.24,1121.257,151.28,1686.224,42.166,-4947.6,42.0,4947.6,889.98,117.8,1770.972
2019-07-24,51.056,-4992.24,33.0,4992.24,1121.257,151.28,1684.851,42.28,-4947.6,42.0,4947.6,889.98,117.8,1775.756
2019-07-25,50.652,-4992.24,33.0,4992.24,1121.257,151.28,1671.529,41.407,-4947.6,42.0,4947.6,889.98,117.8,1739.077
2019-07-26,50.829,-4992.24,33.0,4992.24,1121.257,151.28,1677.342,41.255,-4947.6,42.0,4947.6,889.98,117.8,1732.698
2019-07-29,51.303,-4992.24,33.0,4992.24,1121.257,151.28,1693.006,41.71,-4947.6,42.0,4947.6,889.98,117.8,1751.835
2019-07-30,51.083,-4992.24,33.0,4992.24,1121.257,151.28,1685.739,40.922,-4947.6,42.0,4947.6,889.98,117.8,1718.744
