date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-11-27,45.2,-4989.16,192.308,4989.16,0.0,25.944,8692.308,7.232,-4997.449,1000.0,4997.449,0.0,4.997,7232.213,7.61,-4999.54,2500.0,4999.54,0.0,2.0,19025.0,10.18,-4998.737,1250.0,4998.737,0.0,3.999,12725.481
2019-11-29,44.26,-4989.16,192.308,4989.16,0.0,25.944,8511.538,7.399,-4997.449,1000.0,4997.449,0.0,4.997,7399.111,7.62,-4999.54,2500.0,4999.54,0.0,2.0,19050.0,9.9,-4998.737,1250.0,4998.737,0.0,3.999,12375.436
2019-12-02,44.69,-4989.16,192.308,4989.16,0.0,25.944,8594.231,7.399,-4997.449,1000.0,4997.449,0.0,4.997,7399.111,7.55,-4999.54,2500.0,4999.54,0.0,2.0,18875.0,9.478,-4998.737,1250.0,4998.737,0.0,3.999,11847.676
2019-12-03,44.85,-4989.16,192.308,4989.16,0.0,25.944,8625.0,7.51,-4997.449,1000.0,4997.449,0.0,4.997,7510.375,7.67,-4999.54,2500.0,4999.54,0.0,2.0,19175.0,9.401,-4998.737,1250.0,4998.737,0.0,3.999,11750.74
2019-12-04,44.24,-4989.16,192.308,4989.16,0.0,25.944,8507.693,7.464,-4997.449,1000.0,4997.449,0.0,4.997,7464.016,7.67,-4999.54,2500.0,4999.54,0.0,2.0,19175.0,9.762,-4998.737,1250.0,4998.737,0.0,3.999,12203.106
2019-12-05,45.37,-4989.16,192.308,4989.16,0.0,25.944,8725.0,7.51,-4997.449,1000.0,4997.449,0.0,4.997,7510.375,7.76,-4999.54,2500.0,4999.54,0.0,2.0,19400.001,9.495,-4998.737,1250.0,4998.737,0.0,3.999,11869.217
2019-12-06,46.11,-4989.16,192.308,4989.16,0.0,25.944,8867.308,7.649,-4997.449,1000.0,4997.449,0.0,4.997,7649.457,7.83,-4999.54,2500.0,4999.54,0.0,2.0,19575.0,9.582,-4998.737,1250.0,4998.737,0.0,3.999,11976.923
2019-12-09,45.47,-4989.16,192.308,4989.16,0.0,25.944,8744.231,7.64,-4997.449,1000.0,4997.449,0.0,4.997,7640.183,7.73,-4999.54,2500.0,4999.54,0.0,2.0,19325.0,16.802,-4998.737,1250.0,4998.737,0.0,3.999,21002.698
2019-12-10,45.27,-4989.16,192.308,4989.16,0.0,25.944,8705.769,7.649,-4997.449,1000.0,4997.449,0.0,4.997,7649.457,7.77,-4999.54,2500.0,4999.54,0.0,2.0,19425.0,16.281,-4998.737,1250.0,4998.737,0.0,3.999,20351.076
2019-12-11,45.34,-4989.16,192.308,4989.16,0.0,25.944,8719.231,7.705,-4997.449,1000.0,4997.449,0.0,4.997,7705.089,7.72,-4999.54,2500.0,4999.54,0.0,2.0,19299.999,16.699,-4998.737,1250.0,4998.737,0.0,3.999,20873.449
2019-12-12,45.4,-4989.16,192.308,4989.16,0.0,25.944,8730.77,7.77,-4997.449,1000.0,4997.449,0.0,4.997,7769.992,7.66,-4999.54,2500.0,4999.54,0.0,2.0,19150.0,17.035,-4998.737,1250.0,4998.737,0.0,3.999,21293.504
2019-12-13,45.52,-4989.16,192.308,4989.16,0.0,25.944,8753.846,7.77,-4997.449,1000.0,4997.449,0.0,4.997,7769.992,7.74,-4999.54,2500.0,4999.54,0.0,2.0,19349.999,17.112,-4998.737,1250.0,4998.737,0.0,3.999,21390.44
2019-12-16,46.0,-4989.16,192.308,4989.16,0.0,25.944,8846.154,7.779,-4997.449,1000.0,4997.449,0.0,4.997,7779.264,7.93,-4999.54,2500.0,4999.54,0.0,2.0,19825.0,16.785,-4998.737,1250.0,4998.737,0.0,3.999,20981.157
2019-12-17,46.64,-4989.16,192.308,4989.16,0.0,25.944,8969.231,7.807,-4997.449,1000.0,4997.449,0.0,4.997,7807.081,8.45,-4999.54,2500.0,4999.54,0.0,2.0,21125.0,17.138,-4998.737,1250.0,4998.737,0.0,3.999,21422.751
2019-12-18,47.72,-4989.16,192.308,4989.16,0.0,25.944,9176.923,7.881,-4997.449,1000.0,4997.449,0.0,4.997,7881.257,9.24,-4999.54,2500.0,4999.54,0.0,2.0,23099.999,16.906,-4998.737,1250.0,4998.737,0.0,3.999,21131.947
2019-12-19,47.2,-4989.16,192.308,4989.16,0.0,25.944,9076.923,7.974,-4997.449,1000.0,4997.449,0.0,4.997,7973.979,8.92,-4999.54,2500.0,4999.54,0.0,2.0,22300.0,16.776,-4998.737,1250.0,4998.737,0.0,3.999,20970.385
2019-12-20,47.31,-4989.16,192.308,4989.16,0.0,25.944,9098.077,7.974,-4997.449,1000.0,4997.449,0.0,4.997,7973.979,9.14,-4999.54,2500.0,4999.54,0.0,2.0,22850.001,17.121,-4998.737,1250.0,4998.737,0.0,3.999,21401.212
2019-12-23,47.54,-4989.16,192.308,4989.16,0.0,25.944,9142.308,8.122,-4997.449,1000.0,4997.449,0.0,4.997,8122.332,9.55,-4999.54,2500.0,4999.54,0.0,2.0,23875.0,17.164,-4998.737,1250.0,4998.737,0.0,3.999,21455.064
2019-12-24,47.58,-4989.16,192.308,4989.16,0.0,25.944,9150.0,8.076,-4997.449,1000.0,4997.449,0.0,4.997,8075.974,8.95,-4999.54,2500.0,4999.54,0.0,2.0,22375.0,17.19,-4998.737,1250.0,4998.737,0.0,3.999,21487.377
2019-12-26,48.49,-4989.16,192.308,4989.16,0.0,25.944,9325.0,8.132,-4997.449,1000.0,4997.449,0.0,4.997,8131.603,8.46,-4999.54,2500.0,4999.54,0.0,2.0,21150.0,16.621,-4998.737,1250.0,4998.737,0.0,3.999,20776.517
2019-12-27,48.38,-4989.16,192.308,4989.16,0.0,25.944,9303.846,8.085,-4997.449,1000.0,4997.449,0.0,4.997,8085.244,8.58,-4999.54,2500.0,4999.54,0.0,2.0,21450.0,16.552,-4998.737,1250.0,4998.737,0.0,3.999,20690.351
2019-12-30,48.32,-4989.16,192.308,4989.16,0.0,25.944,9292.308,8.048,-4997.449,1000.0,4997.449,0.0,4.997,8048.026,8.66,-4999.54,2500.0,4999.54,0.0,2.0,21650.0,16.716,-4998.737,1250.0,4998.737,0.0,3.999,20894.992
2019-12-31,48.2,-4989.16,192.308,4989.16,0.0,25.944,9269.231,8.113,-4997.449,1000.0,4997.449,0.0,4.997,8113.156,9.15,-4999.54,2500.0,4999.54,0.0,2.0,22874.999,16.083,-4998.737,1250.0,4998.737,0.0,3.999,20103.352
2020-01-02,49.43,-4989.16,192.308,4989.16,0.0,25.944,9505.769,8.188,-4997.449,1000.0,4997.449,0.0,4.997,8187.59,9.09,-4999.54,2500.0,4999.54,0.0,2.0,22725.0,16.561,-4998.737,1250.0,4998.737,0.0,3.999,20701.12
2020-01-03,49.06,-4989.16,192.308,4989.16,0.0,25.944,9434.616,8.197,-4997.449,1000.0,4997.449,0.0,4.997,8196.893,9.02,-4999.54,2500.0,4999.54,0.0,2.0,22550.001,16.165,-4998.737,1250.0,4998.737,0.0,3.999,20205.672
2020-01-06,50.12,-4989.16,192.308,4989.16,0.0,25.944,9638.461,8.225,-4997.449,1000.0,4997.449,0.0,4.997,8224.805,8.94,-4999.54,2500.0,4999.54,0.0,2.0,22349.999,16.001,-4998.737,1250.0,4998.737,0.0,3.999,20001.03
2020-01-07,51.31,-4989.16,192.308,4989.16,0.0,25.944,9867.308,8.15,-4997.449,1000.0,4997.449,0.0,4.997,8150.373,8.61,-4999.54,2500.0,4999.54,0.0,2.0,21524.999,15.768,-4998.737,1250.0,4998.737,0.0,3.999,19710.224
2020-01-08,51.67,-4989.16,192.308,4989.16,0.0,25.944,9936.538,8.243,-4997.449,1000.0,4997.449,0.0,4.997,8243.411,7.95,-4999.54,2500.0,4999.54,0.0,2.0,19875.0,15.57,-4998.737,1250.0,4998.737,0.0,3.999,19462.5
2020-01-09,53.61,-4989.16,192.308,4989.16,0.0,25.944,10309.616,8.234,-4997.449,1000.0,4997.449,0.0,4.997,8234.111,7.54,-4999.54,2500.0,4999.54,0.0,2.0,18850.0,15.742,-4998.737,1250.0,4998.737,0.0,3.999,19677.913
2020-01-10,53.9,-4989.16,192.308,4989.16,0.0,25.944,10365.385,8.225,-4997.449,1000.0,4997.449,0.0,4.997,8224.805,7.78,-4999.54,2500.0,4999.54,0.0,2.0,19450.001,15.699,-4998.737,1250.0,4998.737,0.0,3.999,19624.059
2020-01-13,55.1,-4989.16,192.308,4989.16,0.0,25.944,10596.154,8.234,-4997.449,1000.0,4997.449,0.0,4.997,8234.111,9.34,-4999.54,2500.0,4999.54,0.0,2.0,23350.0,16.044,-4998.737,1250.0,4998.737,0.0,3.999,20054.884
2020-01-14,55.67,-4989.16,192.308,4989.16,0.0,25.944,10705.769,8.262,-4997.449,1000.0,4997.449,0.0,4.997,8262.021,9.09,-4999.54,2500.0,4999.54,0.0,2.0,22725.0,20.964,-4998.737,1250.0,4998.737,0.0,3.999,26204.906
