date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2020-05-21,24.878,-4995.62,42.017,4995.62,0.0,118.896,1045.296
2020-05-22,24.013,-4995.62,42.017,4995.62,0.0,118.896,1008.931
2020-05-26,25.561,-4995.62,42.017,4995.62,0.0,118.896,1073.984
2020-05-27,26.186,-4995.62,42.017,4995.62,0.0,118.896,1100.247
2020-05-28,26.349,-4995.62,42.017,4995.62,0.0,118.896,1107.116
2020-05-29,26.301,-4995.62,42.017,4995.62,0.0,118.896,1105.096
2020-06-01,27.148,-4995.62,42.017,4995.62,0.0,118.896,1140.653
2020-06-02,28.571,-4995.62,42.017,4995.62,0.0,118.896,1200.454
2020-06-03,30.427,-4995.62,42.017,4995.62,0.0,118.896,1278.437
2020-06-04,28.927,-4995.62,42.017,4995.62,0.0,118.896,1215.404
2020-06-05,30.35,-4995.62,42.017,4995.62,0.0,118.896,1275.204
2020-06-08,30.436,-4995.62,42.017,4995.62,0.0,118.896,1278.841
2020-06-09,30.283,-4995.62,42.017,4995.62,0.0,118.896,1272.376
2020-06-10,29.609,-4995.62,42.017,4995.62,0.0,118.896,1244.092
2020-06-11,27.003,-4995.62,42.017,4995.62,0.0,118.896,1134.592
2020-06-12,27.705,-4995.62,42.017,4995.62,0.0,118.896,1164.088
2020-06-15,26.763,-4995.62,42.017,4995.62,0.0,118.896,1124.491
2020-06-16,27.725,-4995.62,42.017,4995.62,0.0,118.896,1164.897
2020-06-17,27.128,-4995.62,42.017,4995.62,0.0,118.896,1139.845
2020-06-18,27.628,-4995.62,42.017,4995.62,0.0,118.896,1160.856
2020-06-19,27.926,-4995.62,42.017,4995.62,0.0,118.896,1173.382
2020-06-22,27.359,-4995.62,42.017,4995.62,0.0,118.896,1149.542
2020-06-23,27.503,-4995.62,42.017,4995.62,0.0,118.896,1155.603
2020-06-24,27.061,-4995.62,42.017,4995.62,0.0,118.896,1137.017
2020-06-25,26.974,-4995.62,42.017,4995.62,0.0,118.896,1133.38
2020-06-26,27.08,-4995.62,42.017,4995.62,0.0,118.896,1137.825
2020-06-29,27.003,-4995.62,42.017,4995.62,0.0,118.896,1134.592
2020-06-30,26.753,-4995.62,42.017,4995.62,0.0,118.896,1124.087
2020-07-01,27.34,-4995.62,42.017,4995.62,0.0,118.896,1148.734
2020-07-02,27.667,-4995.62,42.017,4995.62,0.0,118.896,1162.472
2020-07-06,28.561,-4995.62,42.017,4995.62,0.0,118.896,1200.05
2020-07-07,28.417,-4995.62,42.017,4995.62,0.0,118.896,1193.989
2020-07-08,28.33,-4995.62,42.017,4995.62,0.0,118.896,1190.352
2020-07-09,27.638,-4995.62,42.017,4995.62,0.0,118.896,1161.26
2020-07-10,27.157,-4995.62,42.017,4995.62,0.0,118.896,1141.057
2020-07-13,27.926,-4995.62,42.017,4995.62,0.0,118.896,1173.382
2020-07-14,28.023,-4995.62,42.017,4995.62,0.0,118.896,1177.422
2020-07-15,28.398,-4995.62,42.017,4995.62,0.0,118.896,1193.181
2020-07-16,28.59,-4995.62,42.017,4995.62,0.0,118.896,1201.262
2020-07-17,28.225,-4995.62,42.017,4995.62,0.0,118.896,1185.908
2020-07-20,29.205,-4995.62,42.017,4995.62,0.0,118.896,1227.121
2020-07-21,29.59,-4995.62,42.017,4995.62,0.0,118.896,1243.284
2020-07-22,28.955,-4995.62,42.017,4995.62,0.0,118.896,1216.616
2020-07-23,28.128,-4995.62,42.017,4995.62,0.0,118.896,1181.867
2020-07-24,27.917,-4995.62,42.017,4995.62,0.0,118.896,1172.978
2020-07-27,28.292,-4995.62,42.017,4995.62,0.0,118.896,1188.736
2020-07-28,28.359,-4995.62,42.017,4995.62,0.0,118.896,1191.564
2020-07-29,29.09,-4995.62,42.017,4995.62,0.0,118.896,1222.273
2020-07-30,28.648,-4995.62,42.017,4995.62,0.0,118.896,1203.686
2020-07-31,28.138,-4995.62,42.017,4995.62,0.0,118.896,1182.271
2020-08-03,28.465,-4995.62,42.017,4995.62,0.0,118.896,1196.009
2020-08-04,28.696,-4995.62,42.017,4995.62,0.0,118.896,1205.706
2020-08-05,29.004,-4995.62,42.017,4995.62,0.0,118.896,1218.636
2020-08-06,29.532,-4995.62,42.017,4995.62,0.0,118.896,1240.859
2020-08-07,29.379,-4995.62,42.017,4995.62,0.0,118.896,1234.394
2020-08-10,30.504,-4995.62,42.017,4995.62,0.0,118.896,1281.669
2020-08-11,31.629,-4995.62,42.017,4995.62,0.0,118.896,1328.944
2020-08-12,33.148,-4995.62,42.017,4995.62,0.0,118.896,1392.785
2020-08-13,33.341,-4995.62,42.017,4995.62,0.0,118.896,1400.866
2020-08-14,32.542,-4995.62,42.017,4995.62,0.0,118.896,1367.329
2020-08-17,32.773,-4995.62,42.017,4995.62,0.0,118.896,1377.027
2020-08-18,31.35,-4995.62,42.017,4995.62,0.0,118.896,1317.226
2020-08-19,30.946,-4995.62,42.017,4995.62,0.0,118.896,1300.256
2020-08-20,29.84,-4995.62,42.017,4995.62,0.0,118.896,1253.789
2020-08-21,29.657,-4995.62,42.017,4995.62,0.0,118.896,1246.112
2020-08-24,30.081,-4995.62,42.017,4995.62,0.0,118.896,1263.891
2020-08-25,30.667,-4995.62,42.017,4995.62,0.0,118.896,1288.538
2020-08-26,30.158,-4995.62,42.017,4995.62,0.0,118.896,1267.123
2020-08-27,29.888,-4995.62,42.017,4995.62,0.0,118.896,1255.809
2020-08-28,30.985,-4995.62,42.017,4995.62,0.0,118.896,1301.872
2020-08-31,29.763,-4995.62,42.017,4995.62,0.0,118.896,1250.557
2020-09-01,30.129,-4995.62,42.017,4995.62,0.0,118.896,1265.911
2020-09-02,30.494,-4995.62,42.017,4995.62,0.0,118.896,1281.265
2020-09-03,29.629,-4995.62,42.017,4995.62,0.0,118.896,1244.9
2020-09-04,29.879,-4995.62,42.017,4995.62,0.0,118.896,1255.405
2020-09-08,29.879,-4995.62,42.017,4995.62,0.0,118.896,1255.405
2020-09-09,30.446,-4995.62,42.017,4995.62,0.0,118.896,1279.245
2020-09-10,29.888,-4995.62,42.017,4995.62,0.0,118.896,1255.809
2020-09-11,30.052,-4995.62,42.017,4995.62,0.0,118.896,1262.678
2020-09-14,30.946,-4995.62,42.017,4995.62,0.0,118.896,1300.256
2020-09-15,31.042,-4995.62,42.017,4995.62,0.0,118.896,1304.296
