date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue
2020-06-04,24.234,-486.33,118.027,4476.78,190.4,37.93,2860.262
2020-06-05,25.583,-486.33,118.027,4476.78,190.4,37.93,3019.481
2020-06-08,25.699,-486.33,118.027,4476.78,190.4,37.93,3033.129
2020-06-09,24.812,-486.33,118.027,4476.78,190.4,37.93,2928.499
2020-06-10,24.369,-486.33,118.027,4476.78,190.4,37.93,2876.184
2020-06-11,22.663,-486.33,118.027,4476.78,190.4,37.93,2674.885
2020-06-12,23.106,-486.33,118.027,4476.78,190.4,37.93,2727.2
2020-06-15,22.952,-486.33,118.027,4476.78,190.4,37.93,2709.004
2020-06-16,23.261,-486.33,118.027,4476.78,190.4,37.93,2745.397
2020-06-17,23.039,-486.33,118.027,4476.78,190.4,37.93,2719.239
2020-06-18,22.837,-486.33,118.027,4476.78,190.4,37.93,2695.356
2020-06-19,23.184,-486.33,118.027,4476.78,190.4,37.93,2736.299
2020-06-22,22.817,-486.33,118.027,4476.78,190.4,37.93,2693.082
2020-06-23,23.261,-486.33,118.027,4476.78,190.4,37.93,2745.397
2020-06-24,22.663,-486.33,118.027,4476.78,190.4,37.93,2674.885
2020-06-25,23.184,-486.33,118.027,4476.78,190.4,37.93,2736.299
2020-06-26,22.509,-486.33,118.027,4476.78,190.4,37.93,2656.689
2020-06-29,22.731,-486.33,118.027,4476.78,190.4,37.93,2682.846
2020-06-30,22.48,-486.33,118.027,4476.78,190.4,37.93,2653.277
2020-07-01,22.355,-486.33,118.027,4476.78,190.4,37.93,2638.492
2020-07-02,23.376,-486.33,118.027,4476.78,190.4,37.93,2759.044
2020-07-06,24.706,-486.33,118.027,4476.78,190.4,37.93,2915.989
2020-07-07,23.704,-486.33,118.027,4476.78,190.4,37.93,2797.712
2020-07-08,23.212,-486.33,118.027,4476.78,190.4,37.93,2739.71
2020-07-09,22.663,-486.33,118.027,4476.78,190.4,37.93,2674.885
2020-07-10,23.01,-486.33,118.027,4476.78,190.4,37.93,2715.827
2020-07-13,23.02,-486.33,118.027,4476.78,190.4,37.93,2716.965
2020-07-14,23.078,-486.33,118.027,4476.78,190.4,37.93,2723.788
2020-07-15,23.386,-486.33,118.027,4476.78,190.4,37.93,2760.182
2020-07-16,23.232,-486.33,118.027,4476.78,190.4,37.93,2741.985
2020-07-17,22.75,-486.33,118.027,4476.78,190.4,37.93,2685.121
2020-07-20,22.769,-486.33,118.027,4476.78,190.4,37.93,2687.395
2020-07-21,23.28,-486.33,118.027,4476.78,190.4,37.93,2747.671
2020-07-22,22.702,-486.33,118.027,4476.78,190.4,37.93,2679.434
2020-07-23,22.499,-486.33,118.027,4476.78,190.4,37.93,2655.552
2020-07-24,22.393,-486.33,118.027,4476.78,190.4,37.93,2643.041
2020-07-27,21.844,-486.33,118.027,4476.78,190.4,37.93,2578.216
2020-07-28,21.921,-486.33,118.027,4476.78,190.4,37.93,2587.315
2020-07-29,22.711,-486.33,118.027,4476.78,190.4,37.93,2680.572
2020-07-30,21.931,-486.33,118.027,4476.78,190.4,37.93,2588.452
2020-07-31,21.825,-486.33,118.027,4476.78,190.4,37.93,2575.942
2020-08-03,20.794,-486.33,118.027,4476.78,190.4,37.93,2454.253
2020-08-04,21.112,-486.33,118.027,4476.78,190.4,37.93,2491.783
2020-08-05,21.025,-486.33,118.027,4476.78,190.4,37.93,2481.548
2020-08-06,20.601,-486.33,118.027,4476.78,190.4,37.93,2431.507
2020-08-07,20.563,-486.33,118.027,4476.78,190.4,37.93,2426.958
2020-08-10,20.9,-486.33,118.027,4476.78,190.4,37.93,2466.763
2020-08-11,21.671,-486.33,118.027,4476.78,190.4,37.93,2557.745
2020-08-12,22.278,-486.33,118.027,4476.78,190.4,37.93,2629.394
2020-08-13,21.526,-486.33,118.027,4476.78,190.4,37.93,2540.686
2020-08-14,21.468,-486.33,118.027,4476.78,190.4,37.93,2533.862
2020-08-17,21.391,-486.33,118.027,4476.78,190.4,37.93,2524.764
2020-08-18,21.093,-486.33,118.027,4476.78,190.4,37.93,2489.508
2020-08-19,21.15,-486.33,118.027,4476.78,190.4,37.93,2496.332
2020-08-20,20.929,-486.33,118.027,4476.78,190.4,37.93,2470.175
2020-08-21,20.852,-486.33,118.027,4476.78,190.4,37.93,2461.076
2020-08-24,21.44,-486.33,118.027,4476.78,190.4,37.93,2530.451
2020-08-25,21.256,-486.33,118.027,4476.78,190.4,37.93,2508.842
2020-08-26,21.025,-486.33,118.027,4476.78,190.4,37.93,2481.548
2020-08-27,20.861,-486.33,118.027,4476.78,190.4,37.93,2462.214
2020-08-28,21.237,-486.33,118.027,4476.78,190.4,37.93,2506.568
2020-08-31,20.842,-486.33,118.027,4476.78,190.4,37.93,2459.939
2020-09-01,20.466,-486.33,118.027,4476.78,190.4,37.93,2415.585
2020-09-02,20.649,-486.33,118.027,4476.78,190.4,37.93,2437.194
2020-09-03,20.293,-486.33,118.027,4476.78,190.4,37.93,2395.114
2020-09-04,20.592,-486.33,118.027,4476.78,190.4,37.93,2430.37
2020-09-08,20.11,-486.33,118.027,4476.78,190.4,37.93,2373.506
2020-09-09,20.437,-486.33,118.027,4476.78,190.4,37.93,2412.173
2020-09-10,19.956,-486.33,118.027,4476.78,190.4,37.93,2355.309
2020-09-11,19.917,-486.33,118.027,4476.78,190.4,37.93,2350.76
2020-09-14,19.888,-486.33,118.027,4476.78,190.4,37.93,2347.348
2020-09-15,19.956,-486.33,118.027,4476.78,190.4,37.93,2355.309
2020-09-16,19.647,-486.33,118.027,4476.78,190.4,37.93,2318.916
2020-09-17,19.406,-486.33,118.027,4476.78,190.4,37.93,2290.484
2020-09-18,19.011,-486.33,118.027,4476.78,190.4,37.93,2243.856
2020-09-21,17.961,-486.33,118.027,4476.78,190.4,37.93,2119.892
2020-09-22,17.682,-486.33,118.027,4476.78,190.4,37.93,2086.911
2020-09-23,17.749,-486.33,118.027,4476.78,190.4,37.93,2094.872
2020-09-24,17.72,-486.33,118.027,4476.78,190.4,37.93,2091.46
2020-09-25,17.45,-486.33,118.027,4476.78,190.4,37.93,2059.616
2020-09-28,19.233,-486.33,118.027,4476.78,190.4,37.93,2270.013
2020-09-29,18.693,-486.33,118.027,4476.78,190.4,37.93,2206.325
2020-09-30,18.867,-486.33,118.027,4476.78,190.4,37.93,2226.797
2020-10-01,18.799,-486.33,118.027,4476.78,190.4,37.93,2218.836
2020-10-02,19.146,-486.33,118.027,4476.78,190.4,37.93,2259.778
2020-10-05,19.233,-486.33,118.027,4476.78,190.4,37.93,2270.013
2020-10-06,19.262,-486.33,118.027,4476.78,190.4,37.93,2273.425
2020-10-07,19.628,-486.33,118.027,4476.78,190.4,37.93,2316.642
2020-10-08,19.58,-486.33,118.027,4476.78,190.4,37.93,2310.955
2020-10-09,19.397,-486.33,118.027,4476.78,190.4,37.93,2289.347
2020-10-12,19.512,-486.33,118.027,4476.78,190.4,37.93,2302.994
2020-10-13,19.05,-486.33,118.027,4476.78,190.4,37.93,2248.405
2020-10-14,18.53,-486.33,118.027,4476.78,190.4,37.93,2186.992
2020-10-15,18.693,-486.33,118.027,4476.78,190.4,37.93,2206.325
2020-10-16,18.992,-486.33,118.027,4476.78,190.4,37.93,2241.581
2020-10-19,19.117,-486.33,118.027,4476.78,190.4,37.93,2256.366
2020-10-20,19.185,-486.33,118.027,4476.78,190.4,37.93,2264.327
2020-10-21,19.156,-486.33,118.027,4476.78,190.4,37.93,2260.915
2020-10-22,19.435,-486.33,118.027,4476.78,190.4,37.93,2293.896
2020-10-23,20.119,-486.33,118.027,4476.78,190.4,37.93,2374.643
2020-10-26,19.975,-486.33,118.027,4476.78,190.4,37.93,2357.584
2020-10-27,20.736,-486.33,118.027,4476.78,190.4,37.93,2447.429
2020-10-28,19.763,-486.33,118.027,4476.78,190.4,37.93,2332.564
2020-10-29,20.38,-486.33,118.027,4476.78,190.4,37.93,2405.35
2020-10-30,20.216,-486.33,118.027,4476.78,190.4,37.93,2386.016
2020-11-02,20.63,-486.33,118.027,4476.78,190.4,37.93,2434.919
2020-11-03,21.719,-486.33,118.027,4476.78,190.4,37.93,2563.432
2020-11-04,20.688,-486.33,118.027,4476.78,190.4,37.93,2441.743
2020-11-05,21.218,-486.33,118.027,4476.78,190.4,37.93,2504.293
2020-11-06,21.468,-486.33,118.027,4476.78,190.4,37.93,2533.862
2020-11-09,23.694,-486.33,118.027,4476.78,190.4,37.93,2796.574
2020-11-10,23.569,-486.33,118.027,4476.78,190.4,37.93,2781.79
2020-11-11,24.388,-486.33,118.027,4476.78,190.4,37.93,2878.459
2020-11-12,23.376,-486.33,118.027,4476.78,190.4,37.93,2759.044
2020-11-13,23.636,-486.33,118.027,4476.78,190.4,37.93,2789.751
2020-11-16,24.552,-486.33,118.027,4476.78,190.4,37.93,2897.792
2020-11-17,24.003,-486.33,118.027,4476.78,190.4,37.93,2832.967
2020-11-18,24.321,-486.33,118.027,4476.78,190.4,37.93,2870.498
2020-11-19,24.455,-486.33,118.027,4476.78,190.4,37.93,2886.419
2020-11-20,24.35,-486.33,118.027,4476.78,190.4,37.93,2873.91
