date,USO_adj_close,USO_cashflow,USO_cml_units,USO_cml_cost,USO_gain_loss,USO_avg_price,USO_mktvalue,ADAP_adj_close,ADAP_cashflow,ADAP_cml_units,ADAP_cml_cost,ADAP_gain_loss,ADAP_avg_price,ADAP_mktvalue,WINR_adj_close,WINR_cashflow,WINR_cml_units,WINR_cml_cost,WINR_gain_loss,WINR_avg_price,WINR_mktvalue,PETV_adj_close,PETV_cashflow,PETV_cml_units,PETV_cml_cost,PETV_gain_loss,PETV_avg_price,PETV_mktvalue
2021-01-15,35.34,-4919.04,49.02,4919.04,0.0,100.348,1732.353,5.72,-4999.2,5000.0,4999.2,0.0,1.0,28599.999,18.0,-4993.92,625.0,4993.92,0.0,7.99,11250.0,14.529,-4999.072,5000.0,4999.072,0.0,1.0,72645.001
2021-01-19,35.75,-4919.04,49.02,4919.04,0.0,100.348,1752.451,5.94,-4999.2,5000.0,4999.2,0.0,1.0,29700.0,18.0,-4993.92,625.0,4993.92,0.0,7.99,11250.0,14.0,-4999.072,5000.0,4999.072,0.0,1.0,70000.0
2021-01-20,35.79,-4919.04,49.02,4919.04,0.0,100.348,1754.412,5.79,-4999.2,5000.0,4999.2,0.0,1.0,28950.0,18.25,-4993.92,625.0,4993.92,0.0,7.99,11406.25,14.0,-4999.072,5000.0,4999.072,0.0,1.0,70000.0
2021-01-21,35.76,-4919.04,49.02,4919.04,0.0,100.348,1752.941,5.42,-4999.2,5000.0,4999.2,0.0,1.0,27100.0,18.0,-4993.92,625.0,4993.92,0.0,7.99,11250.0,13.5,-4999.072,5000.0,4999.072,0.0,1.0,67500.0
2021-01-22,35.23,-4919.04,49.02,4919.04,0.0,100.348,1726.961,5.6,-4999.2,5000.0,4999.2,0.0,1.0,28000.0,17.0,-4993.92,625.0,4993.92,0.0,7.99,10625.0,13.5,-4999.072,5000.0,4999.072,0.0,1.0,67500.0
2021-01-25,35.59,-4919.04,49.02,4919.04,0.0,100.348,1744.608,5.75,-4999.2,5000.0,4999.2,0.0,1.0,28750.0,15.75,-4993.92,625.0,4993.92,0.0,7.99,9843.75,13.75,-4999.072,5000.0,4999.072,0.0,1.0,68750.0
2021-01-26,35.45,-4919.04,49.02,4919.04,0.0,100.348,1737.745,5.59,-4999.2,5000.0,4999.2,0.0,1.0,27950.001,15.75,-4993.92,625.0,4993.92,0.0,7.99,9843.75,14.0,-4999.072,5000.0,4999.072,0.0,1.0,70000.0
2021-01-27,35.5,-4919.04,49.02,4919.04,0.0,100.348,1740.196,5.29,-4999.2,5000.0,4999.2,0.0,1.0,26450.0,16.0,-4993.92,625.0,4993.92,0.0,7.99,10000.0,13.575,-4999.072,5000.0,4999.072,0.0,1.0,67874.999
2021-01-28,35.25,-4919.04,49.02,4919.04,0.0,100.348,1727.941,5.48,-4999.2,5000.0,4999.2,0.0,1.0,27400.0,14.85,-4993.92,625.0,4993.92,0.0,7.99,9281.25,13.63,-4999.072,5000.0,4999.072,0.0,1.0,68150.001
2021-01-29,35.18,-4919.04,49.02,4919.04,0.0,100.348,1724.51,5.46,-4999.2,5000.0,4999.2,0.0,1.0,27300.0,13.6,-4993.92,625.0,4993.92,0.0,7.99,8500.0,12.0,-4999.072,5000.0,4999.072,0.0,1.0,60000.0
