date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,ICCT_adj_close,ICCT_cashflow,ICCT_cml_units,ICCT_cml_cost,ICCT_gain_loss,ICCT_avg_price,ICCT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2020-11-19,39.851,-4995.62,42.017,4995.62,0.0,118.896,1674.412,11.37,-4999.54,2.87,4999.54,0.0,1741.84,32.635,16.957,-4998.737,4.378,4998.737,0.0,1141.712,74.244,0.07,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.11,-4998.0,6.803,4998.0,0.0,734.706,55.17
2020-11-20,39.813,-4995.62,42.017,4995.62,0.0,118.896,1672.796,12.21,-4999.54,2.87,4999.54,0.0,1741.84,35.046,15.001,-4998.737,4.378,4998.737,0.0,1141.712,65.68,0.12,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.18,-4998.0,6.803,4998.0,0.0,734.706,55.646
2020-11-23,40.188,-4995.62,42.017,4995.62,0.0,118.896,1688.555,12.49,-4999.54,2.87,4999.54,0.0,1741.84,35.85,15.734,-4998.737,4.378,4998.737,0.0,1141.712,68.887,0.075,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.19,-4998.0,6.803,4998.0,0.0,734.706,55.714
2020-11-24,40.842,-4995.62,42.017,4995.62,0.0,118.896,1716.031,12.28,-4999.54,2.87,4999.54,0.0,1741.84,35.247,15.794,-4998.737,4.378,4998.737,0.0,1141.712,69.151,0.118,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.22,-4998.0,6.803,4998.0,0.0,734.706,55.918
2020-11-25,41.726,-4995.62,42.017,4995.62,0.0,118.896,1753.204,12.49,-4999.54,2.87,4999.54,0.0,1741.84,35.85,15.872,-4998.737,4.378,4998.737,0.0,1141.712,69.49,0.114,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.26,-4998.0,6.803,4998.0,0.0,734.706,56.19
2020-11-27,41.938,-4995.62,42.017,4995.62,0.0,118.896,1762.093,12.94,-4999.54,2.87,4999.54,0.0,1741.84,37.141,16.707,-4998.737,4.378,4998.737,0.0,1141.712,73.15,0.081,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.15,-4998.0,6.803,4998.0,0.0,734.706,55.442
2020-11-30,39.995,-4995.62,42.017,4995.62,0.0,118.896,1680.473,12.5,-4999.54,2.87,4999.54,0.0,1741.84,35.878,16.423,-4998.737,4.378,4998.737,0.0,1141.712,71.905,0.081,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.14,-4998.0,6.803,4998.0,0.0,734.706,55.374
2020-12-01,40.428,-4995.62,42.017,4995.62,0.0,118.896,1698.656,12.28,-4999.54,2.87,4999.54,0.0,1741.84,35.247,16.32,-4998.737,4.378,4998.737,0.0,1141.712,71.452,0.114,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.14,-4998.0,6.803,4998.0,0.0,734.706,55.374
2020-12-02,41.111,-4995.62,42.017,4995.62,0.0,118.896,1727.344,12.37,-4999.54,2.87,4999.54,0.0,1741.84,35.505,16.199,-4998.737,4.378,4998.737,0.0,1141.712,70.924,0.11,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.14,-4998.0,6.803,4998.0,0.0,734.706,55.374
2020-12-03,41.544,-4995.62,42.017,4995.62,0.0,118.896,1745.527,11.92,-4999.54,2.87,4999.54,0.0,1741.84,34.214,16.087,-4998.737,4.378,4998.737,0.0,1141.712,70.433,0.09,-5000.0,0.0,5000.0,0.0,16666664.125,0.0,8.08,-4998.0,6.803,4998.0,0.0,734.706,54.966
