date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-11-27,22.372,-4996.939,312.5,4996.939,0.0,15.99,6991.25,3.16,-4999.02,2500.0,4999.02,0.0,2.0,7900.0,10.18,-4998.737,1250.0,4998.737,0.0,3.999,12725.481,14.76,-4997.3,625.0,4997.3,0.0,7.996,9225.0,11.45,-4998.0,833.333,4998.0,0.0,5.998,9541.667
2019-11-29,22.228,-4996.939,312.5,4996.939,0.0,15.99,6946.308,3.09,-4999.02,2500.0,4999.02,0.0,2.0,7725.0,9.9,-4998.737,1250.0,4998.737,0.0,3.999,12375.436,14.69,-4997.3,625.0,4997.3,0.0,7.996,9181.25,11.15,-4998.0,833.333,4998.0,0.0,5.998,9291.666
2019-12-02,21.994,-4996.939,312.5,4996.939,0.0,15.99,6873.279,3.05,-4999.02,2500.0,4999.02,0.0,2.0,7625.0,9.478,-4998.737,1250.0,4998.737,0.0,3.999,11847.676,14.58,-4997.3,625.0,4997.3,0.0,7.996,9112.5,11.15,-4998.0,833.333,4998.0,0.0,5.998,9291.666
2019-12-03,22.165,-4996.939,312.5,4996.939,0.0,15.99,6926.647,3.02,-4999.02,2500.0,4999.02,0.0,2.0,7550.0,9.401,-4998.737,1250.0,4998.737,0.0,3.999,11750.74,14.31,-4997.3,625.0,4997.3,0.0,7.996,8943.75,11.27,-4998.0,833.333,4998.0,0.0,5.998,9391.667
2019-12-04,22.003,-4996.939,312.5,4996.939,0.0,15.99,6876.087,3.06,-4999.02,2500.0,4999.02,0.0,2.0,7650.0,9.762,-4998.737,1250.0,4998.737,0.0,3.999,12203.106,14.38,-4997.3,625.0,4997.3,0.0,7.996,8987.5,12.35,-4998.0,833.333,4998.0,0.0,5.998,10291.667
2019-12-05,22.201,-4996.939,312.5,4996.939,0.0,15.99,6937.882,3.1,-4999.02,2500.0,4999.02,0.0,2.0,7750.0,9.495,-4998.737,1250.0,4998.737,0.0,3.999,11869.217,14.44,-4997.3,625.0,4997.3,0.0,7.996,9025.0,12.55,-4998.0,833.333,4998.0,0.0,5.998,10458.333
2019-12-06,22.417,-4996.939,312.5,4996.939,0.0,15.99,7005.295,3.18,-4999.02,2500.0,4999.02,0.0,2.0,7950.0,9.582,-4998.737,1250.0,4998.737,0.0,3.999,11976.923,14.53,-4997.3,625.0,4997.3,0.0,7.996,9081.25,13.0,-4998.0,833.333,4998.0,0.0,5.998,10833.333
2019-12-09,22.399,-4996.939,312.5,4996.939,0.0,15.99,6999.677,3.25,-4999.02,2500.0,4999.02,0.0,2.0,8125.0,16.802,-4998.737,1250.0,4998.737,0.0,3.999,21002.698,14.52,-4997.3,625.0,4997.3,0.0,7.996,9075.0,13.56,-4998.0,833.333,4998.0,0.0,5.998,11300.0
2019-12-10,22.381,-4996.939,312.5,4996.939,0.0,15.99,6994.06,3.45,-4999.02,2500.0,4999.02,0.0,2.0,8625.0,16.281,-4998.737,1250.0,4998.737,0.0,3.999,20351.076,14.41,-4997.3,625.0,4997.3,0.0,7.996,9006.25,13.05,-4998.0,833.333,4998.0,0.0,5.998,10875.0
2019-12-11,22.192,-4996.939,312.5,4996.939,0.0,15.99,6935.073,3.62,-4999.02,2500.0,4999.02,0.0,2.0,9050.0,16.699,-4998.737,1250.0,4998.737,0.0,3.999,20873.449,14.44,-4997.3,625.0,4997.3,0.0,7.996,9025.0,12.5,-4998.0,833.333,4998.0,0.0,5.998,10416.667
2019-12-12,22.156,-4996.939,312.5,4996.939,0.0,15.99,6923.837,3.69,-4999.02,2500.0,4999.02,0.0,2.0,9225.0,17.035,-4998.737,1250.0,4998.737,0.0,3.999,21293.504,14.54,-4997.3,625.0,4997.3,0.0,7.996,9087.5,13.95,-4998.0,833.333,4998.0,0.0,5.998,11625.0
2019-12-13,21.869,-4996.939,312.5,4996.939,0.0,15.99,6833.954,3.61,-4999.02,2500.0,4999.02,0.0,2.0,9025.0,17.112,-4998.737,1250.0,4998.737,0.0,3.999,21390.44,14.84,-4997.3,625.0,4997.3,0.0,7.996,9275.0,13.45,-4998.0,833.333,4998.0,0.0,5.998,11208.333
2019-12-16,22.12,-4996.939,312.5,4996.939,0.0,15.99,6912.603,3.6,-4999.02,2500.0,4999.02,0.0,2.0,9000.0,16.785,-4998.737,1250.0,4998.737,0.0,3.999,20981.157,14.91,-4997.3,625.0,4997.3,0.0,7.996,9318.75,12.2,-4998.0,833.333,4998.0,0.0,5.998,10166.667
2019-12-17,22.336,-4996.939,312.5,4996.939,0.0,15.99,6980.016,3.65,-4999.02,2500.0,4999.02,0.0,2.0,9125.0,17.138,-4998.737,1250.0,4998.737,0.0,3.999,21422.751,14.76,-4997.3,625.0,4997.3,0.0,7.996,9225.0,12.26,-4998.0,833.333,4998.0,0.0,5.998,10216.667
2019-12-18,22.498,-4996.939,312.5,4996.939,0.0,15.99,7030.575,3.65,-4999.02,2500.0,4999.02,0.0,2.0,9125.0,16.906,-4998.737,1250.0,4998.737,0.0,3.999,21131.947,14.74,-4997.3,625.0,4997.3,0.0,7.996,9212.5,12.28,-4998.0,833.333,4998.0,0.0,5.998,10233.333
2019-12-19,22.759,-4996.939,312.5,4996.939,0.0,15.99,7112.032,3.68,-4999.02,2500.0,4999.02,0.0,2.0,9200.0,16.776,-4998.737,1250.0,4998.737,0.0,3.999,20970.385,14.87,-4997.3,625.0,4997.3,0.0,7.996,9293.75,12.45,-4998.0,833.333,4998.0,0.0,5.998,10375.0
2019-12-20,22.794,-4996.939,312.5,4996.939,0.0,15.99,7123.266,3.72,-4999.02,2500.0,4999.02,0.0,2.0,9300.0,17.121,-4998.737,1250.0,4998.737,0.0,3.999,21401.212,14.7,-4997.3,625.0,4997.3,0.0,7.996,9187.5,12.69,-4998.0,833.333,4998.0,0.0,5.998,10575.0
