date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue
2019-10-04,170.34,-4933.95,37.0,4933.95,2776.11,133.35,6302.58
2019-10-07,168.32,-4933.95,37.0,4933.95,2776.11,133.35,6227.84
2019-10-08,161.93,-4933.95,37.0,4933.95,2776.11,133.35,5991.41
2019-10-09,165.19,-4933.95,37.0,4933.95,2776.11,133.35,6112.03
2019-10-10,166.07,-4933.95,37.0,4933.95,2776.11,133.35,6144.59
2019-10-11,172.94,-4933.95,37.0,4933.95,2776.11,133.35,6398.78
2019-10-14,171.16,-4933.95,37.0,4933.95,2776.11,133.35,6332.92
2019-10-15,175.29,-4933.95,37.0,4933.95,2776.11,133.35,6485.73
2019-10-16,177.12,-4933.95,37.0,4933.95,2776.11,133.35,6553.44
2019-10-17,176.85,-4933.95,37.0,4933.95,2776.11,133.35,6543.45
2019-10-18,169.13,-4933.95,37.0,4933.95,2776.11,133.35,6257.81
2019-10-21,173.52,-4933.95,37.0,4933.95,2776.11,133.35,6420.24
2019-10-22,169.89,-4933.95,37.0,4933.95,2776.11,133.35,6285.93
2019-10-23,169.92,-4933.95,37.0,4933.95,2776.11,133.35,6287.04
2019-10-24,172.55,-4933.95,37.0,4933.95,2776.11,133.35,6384.35
2019-10-25,174.31,-4933.95,37.0,4933.95,2776.11,133.35,6449.47
2019-10-28,178.68,-4933.95,37.0,4933.95,2776.11,133.35,6611.16
2019-10-29,176.89,-4933.95,37.0,4933.95,2776.11,133.35,6544.93
2019-10-30,177.53,-4933.95,37.0,4933.95,2776.11,133.35,6568.61
2019-10-31,176.67,-4933.95,37.0,4933.95,2776.11,133.35,6536.79
2019-11-01,176.46,-4933.95,37.0,4933.95,2776.11,133.35,6529.02
2019-11-04,179.69,-4933.95,37.0,4933.95,2776.11,133.35,6648.53
2019-11-05,182.0,-4933.95,37.0,4933.95,2776.11,133.35,6734.0
2019-11-06,184.16,-4933.95,37.0,4933.95,2776.11,133.35,6813.92
2019-11-07,186.66,-4933.95,37.0,4933.95,2776.11,133.35,6906.42
2019-11-08,187.16,-4933.95,37.0,4933.95,2776.11,133.35,6924.92
2019-11-11,186.71,-4933.95,37.0,4933.95,2776.11,133.35,6908.27
2019-11-12,186.97,-4933.95,37.0,4933.95,2776.11,133.35,6917.89
2019-11-13,182.48,-4933.95,37.0,4933.95,2776.11,133.35,6751.76
2019-11-14,182.8,-4933.95,37.0,4933.95,2776.11,133.35,6763.6
2019-11-15,185.49,-4933.95,37.0,4933.95,2776.11,133.35,6863.13
2019-11-18,184.61,-4933.95,37.0,4933.95,2776.11,133.35,6830.57
2019-11-19,185.25,-4933.95,37.0,4933.95,2776.11,133.35,6854.25
2019-11-20,182.35,-4933.95,37.0,4933.95,2776.11,133.35,6746.95
2019-11-21,184.86,-4933.95,37.0,4933.95,2776.11,133.35,6839.82
2019-11-22,186.78,-4933.95,37.0,4933.95,2776.11,133.35,6910.86
2019-11-25,190.45,-4933.95,37.0,4933.95,2776.11,133.35,7046.65
2019-11-26,194.7,-4933.95,37.0,4933.95,2776.11,133.35,7203.9
2019-11-27,200.82,-4933.95,37.0,4933.95,2776.11,133.35,7430.34
2019-11-29,200.0,-4933.95,37.0,4933.95,2776.11,133.35,7400.0
2019-12-02,196.31,-4933.95,37.0,4933.95,2776.11,133.35,7263.47
2019-12-03,194.9,-4933.95,37.0,4933.95,2776.11,133.35,7211.3
2019-12-04,193.74,-4933.95,37.0,4933.95,2776.11,133.35,7168.38
2019-12-05,200.0,-4933.95,37.0,4933.95,2776.11,133.35,7400.0
2019-12-06,201.89,-4933.95,37.0,4933.95,2776.11,133.35,7469.93
2019-12-09,198.74,-4933.95,37.0,4933.95,2776.11,133.35,7353.38
2019-12-10,200.45,-4933.95,37.0,4933.95,2776.11,133.35,7416.65
2019-12-11,204.64,-4933.95,37.0,4933.95,2776.11,133.35,7571.68
2019-12-12,204.5,-4933.95,37.0,4933.95,2776.11,133.35,7566.5
2019-12-13,204.91,-4933.95,37.0,4933.95,2776.11,133.35,7581.67
2019-12-16,206.97,-4933.95,37.0,4933.95,2776.11,133.35,7657.89
2019-12-17,208.18,-4933.95,37.0,4933.95,2776.11,133.35,7702.66
2019-12-18,210.0,-4933.95,37.0,4933.95,2776.11,133.35,7770.0
2019-12-19,210.13,-4933.95,37.0,4933.95,2776.11,133.35,7774.81
2019-12-20,212.25,-4933.95,37.0,4933.95,2776.11,133.35,7853.25
2019-12-23,214.83,-4933.95,37.0,4933.95,2776.11,133.35,7948.71
2019-12-24,214.26,-4933.95,37.0,4933.95,2776.11,133.35,7927.62
2019-12-26,216.38,-4933.95,37.0,4933.95,2776.11,133.35,8006.06
2019-12-27,215.47,-4933.95,37.0,4933.95,2776.11,133.35,7972.39
2019-12-30,212.91,-4933.95,37.0,4933.95,2776.11,133.35,7877.67
2019-12-31,212.1,-4933.95,37.0,4933.95,2776.11,133.35,7847.7
2020-01-02,219.77,-4933.95,37.0,4933.95,2776.11,133.35,8131.49
2020-01-03,217.0,-4933.95,37.0,4933.95,2776.11,133.35,8029.0
2020-01-06,216.64,-4933.95,37.0,4933.95,2776.11,133.35,8015.68
2020-01-07,217.63,-4933.95,37.0,4933.95,2776.11,133.35,8052.31
