date,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-10-22,8.013,-4998.737,1250.0,4998.737,0.0,3.999,10016.671
2019-10-23,8.056,-4998.737,1250.0,4998.737,0.0,3.999,10070.525
2019-10-24,8.53,-4998.737,1250.0,4998.737,0.0,3.999,10662.907
2019-10-25,8.608,-4998.737,1250.0,4998.737,0.0,3.999,10759.844
2019-10-28,8.763,-4998.737,1250.0,4998.737,0.0,3.999,10953.715
2019-10-29,9.013,-4998.737,1250.0,4998.737,0.0,3.999,11266.062
2019-10-30,9.47,-4998.737,1250.0,4998.737,0.0,3.999,11836.905
2019-10-31,9.366,-4998.737,1250.0,4998.737,0.0,3.999,11707.658
2019-11-01,9.719,-4998.737,1250.0,4998.737,0.0,3.999,12149.253
2019-11-04,9.133,-4998.737,1250.0,4998.737,0.0,3.999,11416.851
2019-11-05,9.021,-4998.737,1250.0,4998.737,0.0,3.999,11276.834
2019-11-06,8.927,-4998.737,1250.0,4998.737,0.0,3.999,11158.357
2019-11-07,9.065,-4998.737,1250.0,4998.737,0.0,3.999,11330.687
2019-11-08,9.556,-4998.737,1250.0,4998.737,0.0,3.999,11944.611
2019-11-11,9.59,-4998.737,1250.0,4998.737,0.0,3.999,11987.695
2019-11-12,9.65,-4998.737,1250.0,4998.737,0.0,3.999,12063.088
2019-11-13,9.866,-4998.737,1250.0,4998.737,0.0,3.999,12332.354
2019-11-14,11.305,-4998.737,1250.0,4998.737,0.0,3.999,14131.047
2019-11-15,10.796,-4998.737,1250.0,4998.737,0.0,3.999,13495.58
2019-11-18,11.494,-4998.737,1250.0,4998.737,0.0,3.999,14368.0
2019-11-19,12.692,-4998.737,1250.0,4998.737,0.0,3.999,15865.115
2019-11-20,12.192,-4998.737,1250.0,4998.737,0.0,3.999,15240.419
2019-11-21,11.649,-4998.737,1250.0,4998.737,0.0,3.999,14561.871
2019-11-22,11.072,-4998.737,1250.0,4998.737,0.0,3.999,13840.24
2019-11-25,10.848,-4998.737,1250.0,4998.737,0.0,3.999,13560.203
2019-11-26,9.943,-4998.737,1250.0,4998.737,0.0,3.999,12429.289
2019-11-27,10.18,-4998.737,1250.0,4998.737,0.0,3.999,12725.481
2019-11-29,9.9,-4998.737,1250.0,4998.737,0.0,3.999,12375.436
2019-12-02,9.478,-4998.737,1250.0,4998.737,0.0,3.999,11847.676
2019-12-03,9.401,-4998.737,1250.0,4998.737,0.0,3.999,11750.74
2019-12-04,9.762,-4998.737,1250.0,4998.737,0.0,3.999,12203.106
2019-12-05,9.495,-4998.737,1250.0,4998.737,0.0,3.999,11869.217
2019-12-06,9.582,-4998.737,1250.0,4998.737,0.0,3.999,11976.923
2019-12-09,16.802,-4998.737,1250.0,4998.737,0.0,3.999,21002.698
2019-12-10,16.281,-4998.737,1250.0,4998.737,0.0,3.999,20351.076
2019-12-11,16.699,-4998.737,1250.0,4998.737,0.0,3.999,20873.449
2019-12-12,17.035,-4998.737,1250.0,4998.737,0.0,3.999,21293.504
2019-12-13,17.112,-4998.737,1250.0,4998.737,0.0,3.999,21390.44
