date,MAA_adj_close,MAA_cashflow,MAA_cml_units,MAA_cml_cost,MAA_gain_loss,MAA_avg_price,MAA_mktvalue
2019-07-30,111.519,-4920.96,24.0,4920.96,867.84,205.04,2676.464
2019-07-31,110.228,-4920.96,24.0,4920.96,867.84,205.04,2645.483
2019-08-01,112.941,-4920.96,24.0,4920.96,867.84,205.04,2710.587
2019-08-02,113.736,-4920.96,24.0,4920.96,867.84,205.04,2729.669
2019-08-05,109.938,-4920.96,24.0,4920.96,867.84,205.04,2638.523
2019-08-06,112.735,-4920.96,24.0,4920.96,867.84,205.04,2705.648
2019-08-07,113.699,-4920.96,24.0,4920.96,867.84,205.04,2728.771
2019-08-08,115.13,-4920.96,24.0,4920.96,867.84,205.04,2763.119
2019-08-09,115.785,-4920.96,24.0,4920.96,867.84,205.04,2778.834
2019-08-12,116.215,-4920.96,24.0,4920.96,867.84,205.04,2789.162
2019-08-13,116.243,-4920.96,24.0,4920.96,867.84,205.04,2789.835
2019-08-14,114.718,-4920.96,24.0,4920.96,867.84,205.04,2753.241
2019-08-15,115.551,-4920.96,24.0,4920.96,867.84,205.04,2773.222
2019-08-16,116.187,-4920.96,24.0,4920.96,867.84,205.04,2788.488
2019-08-19,118.17,-4920.96,24.0,4920.96,867.84,205.04,2836.081
2019-08-20,117.235,-4920.96,24.0,4920.96,867.84,205.04,2813.632
2019-08-21,117.665,-4920.96,24.0,4920.96,867.84,205.04,2823.958
2019-08-22,118.741,-4920.96,24.0,4920.96,867.84,205.04,2849.776
2019-08-23,116.758,-4920.96,24.0,4920.96,867.84,205.04,2802.182
2019-08-26,117.917,-4920.96,24.0,4920.96,867.84,205.04,2830.02
2019-08-27,117.066,-4920.96,24.0,4920.96,867.84,205.04,2809.591
2019-08-28,118.273,-4920.96,24.0,4920.96,867.84,205.04,2838.551
2019-08-29,118.703,-4920.96,24.0,4920.96,867.84,205.04,2848.878
2019-08-30,118.497,-4920.96,24.0,4920.96,867.84,205.04,2843.939
2019-09-03,119.62,-4920.96,24.0,4920.96,867.84,205.04,2870.879
2019-09-04,120.247,-4920.96,24.0,4920.96,867.84,205.04,2885.92
2019-09-05,120.06,-4920.96,24.0,4920.96,867.84,205.04,2881.43
2019-09-06,120.499,-4920.96,24.0,4920.96,867.84,205.04,2891.982
2019-09-09,120.181,-4920.96,24.0,4920.96,867.84,205.04,2884.348
2019-09-10,119.676,-4920.96,24.0,4920.96,867.84,205.04,2872.226
2019-09-11,120.247,-4920.96,24.0,4920.96,867.84,205.04,2885.92
2019-09-12,120.35,-4920.96,24.0,4920.96,867.84,205.04,2888.39
2019-09-13,118.759,-4920.96,24.0,4920.96,867.84,205.04,2850.225
2019-09-16,119.788,-4920.96,24.0,4920.96,867.84,205.04,2874.919
2019-09-17,121.294,-4920.96,24.0,4920.96,867.84,205.04,2911.064
2019-09-18,121.294,-4920.96,24.0,4920.96,867.84,205.04,2911.064
2019-09-19,121.435,-4920.96,24.0,4920.96,867.84,205.04,2914.431
2019-09-20,120.714,-4920.96,24.0,4920.96,867.84,205.04,2897.145
2019-09-23,120.799,-4920.96,24.0,4920.96,867.84,205.04,2899.165
2019-09-24,120.892,-4920.96,24.0,4920.96,867.84,205.04,2901.41
2019-09-25,121.5,-4920.96,24.0,4920.96,867.84,205.04,2916.003
2019-09-26,122.033,-4920.96,24.0,4920.96,867.84,205.04,2928.799
2019-09-27,121.912,-4920.96,24.0,4920.96,867.84,205.04,2925.881
2019-09-30,121.612,-4920.96,24.0,4920.96,867.84,205.04,2918.696
2019-10-01,121.584,-4920.96,24.0,4920.96,867.84,205.04,2918.023
2019-10-02,122.099,-4920.96,24.0,4920.96,867.84,205.04,2930.371
2019-10-03,122.576,-4920.96,24.0,4920.96,867.84,205.04,2941.82
2019-10-04,123.885,-4920.96,24.0,4920.96,867.84,205.04,2973.25
2019-10-07,124.11,-4920.96,24.0,4920.96,867.84,205.04,2978.638
2019-10-08,124.082,-4920.96,24.0,4920.96,867.84,205.04,2977.964
2019-10-09,124.381,-4920.96,24.0,4920.96,867.84,205.04,2985.148
2019-10-10,124.849,-4920.96,24.0,4920.96,867.84,205.04,2996.373
2019-10-11,124.171,-4920.96,24.0,4920.96,867.84,205.04,2980.092
2019-10-14,124.953,-4920.96,24.0,4920.96,867.84,205.04,2998.86
2019-10-15,125.49,-4920.96,24.0,4920.96,867.84,205.04,3011.75
2019-10-16,125.706,-4920.96,24.0,4920.96,867.84,205.04,3016.95
2019-10-17,126.328,-4920.96,24.0,4920.96,867.84,205.04,3031.874
2019-10-18,127.336,-4920.96,24.0,4920.96,867.84,205.04,3056.07
2019-10-21,128.947,-4920.96,24.0,4920.96,867.84,205.04,3094.737
2019-10-22,128.495,-4920.96,24.0,4920.96,867.84,205.04,3083.883
2019-10-23,128.09,-4920.96,24.0,4920.96,867.84,205.04,3074.16
2019-10-24,128.288,-4920.96,24.0,4920.96,867.84,205.04,3078.909
2019-10-25,127.647,-4920.96,24.0,4920.96,867.84,205.04,3063.532
2019-10-28,127.148,-4920.96,24.0,4920.96,867.84,205.04,3051.548
2019-10-29,127.591,-4920.96,24.0,4920.96,867.84,205.04,3062.175
2019-10-30,128.853,-4920.96,24.0,4920.96,867.84,205.04,3092.475
2019-10-31,130.954,-4920.96,24.0,4920.96,867.84,205.04,3142.902
2019-11-01,131.105,-4920.96,24.0,4920.96,867.84,205.04,3146.519
2019-11-04,131.105,-4920.96,24.0,4920.96,867.84,205.04,3146.519
2019-11-05,127.817,-4920.96,24.0,4920.96,867.84,205.04,3067.602
2019-11-06,128.523,-4920.96,24.0,4920.96,867.84,205.04,3084.561
2019-11-07,127.44,-4920.96,24.0,4920.96,867.84,205.04,3058.557
2019-11-08,126.243,-4920.96,24.0,4920.96,867.84,205.04,3029.839
2019-11-11,125.216,-4920.96,24.0,4920.96,867.84,205.04,3005.192
2019-11-12,123.982,-4920.96,24.0,4920.96,867.84,205.04,2975.569
2019-11-13,126.865,-4920.96,24.0,4920.96,867.84,205.04,3044.763
2019-11-14,128.815,-4920.96,24.0,4920.96,867.84,205.04,3091.571
2019-11-15,130.332,-4920.96,24.0,4920.96,867.84,205.04,3127.977
2019-11-18,129.711,-4920.96,24.0,4920.96,867.84,205.04,3113.053
2019-11-19,129.447,-4920.96,24.0,4920.96,867.84,205.04,3106.721
2019-11-20,129.494,-4920.96,24.0,4920.96,867.84,205.04,3107.852
2019-11-21,127.553,-4920.96,24.0,4920.96,867.84,205.04,3061.271
2019-11-22,126.63,-4920.96,24.0,4920.96,867.84,205.04,3039.11
2019-11-25,126.403,-4920.96,24.0,4920.96,867.84,205.04,3033.683
2019-11-26,129.145,-4920.96,24.0,4920.96,867.84,205.04,3099.486
2019-11-27,129.183,-4920.96,24.0,4920.96,867.84,205.04,3100.39
2019-11-29,128.241,-4920.96,24.0,4920.96,867.84,205.04,3077.778
2019-12-02,125.932,-4920.96,24.0,4920.96,867.84,205.04,3022.377
2019-12-03,126.366,-4920.96,24.0,4920.96,867.84,205.04,3032.779
2019-12-04,126.959,-4920.96,24.0,4920.96,867.84,205.04,3047.025
2019-12-05,127.195,-4920.96,24.0,4920.96,867.84,205.04,3052.678
2019-12-06,126.997,-4920.96,24.0,4920.96,867.84,205.04,3047.929
2019-12-09,127.195,-4920.96,24.0,4920.96,867.84,205.04,3052.678
2019-12-10,125.716,-4920.96,24.0,4920.96,867.84,205.04,3017.177
2019-12-11,124.029,-4920.96,24.0,4920.96,867.84,205.04,2976.7
2019-12-12,123.219,-4920.96,24.0,4920.96,867.84,205.04,2957.253
2019-12-13,122.955,-4920.96,24.0,4920.96,867.84,205.04,2950.922
2019-12-16,122.993,-4920.96,24.0,4920.96,867.84,205.04,2951.826
2019-12-17,120.675,-4920.96,24.0,4920.96,867.84,205.04,2896.2
2019-12-18,121.419,-4920.96,24.0,4920.96,867.84,205.04,2914.063
2019-12-19,121.843,-4920.96,24.0,4920.96,867.84,205.04,2924.239
2019-12-20,122.541,-4920.96,24.0,4920.96,867.84,205.04,2940.972
2019-12-23,121.579,-4920.96,24.0,4920.96,867.84,205.04,2917.907
2019-12-24,121.881,-4920.96,24.0,4920.96,867.84,205.04,2925.144
2019-12-26,121.947,-4920.96,24.0,4920.96,867.84,205.04,2926.727
2019-12-27,122.484,-4920.96,24.0,4920.96,867.84,205.04,2939.616
2019-12-30,123.002,-4920.96,24.0,4920.96,867.84,205.04,2952.053
2019-12-31,124.236,-4920.96,24.0,4920.96,867.84,205.04,2981.675
2020-01-02,122.117,-4920.96,24.0,4920.96,867.84,205.04,2930.797
2020-01-03,123.492,-4920.96,24.0,4920.96,867.84,205.04,2963.811
2020-01-06,123.671,-4920.96,24.0,4920.96,867.84,205.04,2968.107
2020-01-07,121.824,-4920.96,24.0,4920.96,867.84,205.04,2923.787
2020-01-08,122.691,-4920.96,24.0,4920.96,867.84,205.04,2944.59
2020-01-09,122.767,-4920.96,24.0,4920.96,867.84,205.04,2946.399
2020-01-10,124.698,-4920.96,24.0,4920.96,867.84,205.04,2992.755
2020-01-13,125.81,-4920.96,24.0,4920.96,867.84,205.04,3019.438
2020-01-14,125.107,-4920.96,24.0,4920.96,867.84,205.04,3002.578
2020-01-15,125.364,-4920.96,24.0,4920.96,867.84,205.04,3008.729
2020-01-16,126.911,-4920.96,24.0,4920.96,867.84,205.04,3045.866
2020-01-17,127.196,-4920.96,24.0,4920.96,867.84,205.04,3052.701
2020-01-21,128.677,-4920.96,24.0,4920.96,867.84,205.04,3088.242
2020-01-22,128.088,-4920.96,24.0,4920.96,867.84,205.04,3074.117
2020-01-23,129.493,-4920.96,24.0,4920.96,867.84,205.04,3107.836
2020-01-24,130.015,-4920.96,24.0,4920.96,867.84,205.04,3120.366
2020-01-27,129.711,-4920.96,24.0,4920.96,867.84,205.04,3113.076
2020-01-28,130.471,-4920.96,24.0,4920.96,867.84,205.04,3131.302
2020-01-29,129.655,-4920.96,24.0,4920.96,867.84,205.04,3111.709
2020-01-30,130.518,-4920.96,24.0,4920.96,867.84,205.04,3132.442
2020-01-31,130.253,-4920.96,24.0,4920.96,867.84,205.04,3126.062
2020-02-03,130.196,-4920.96,24.0,4920.96,867.84,205.04,3124.696
2020-02-04,132.284,-4920.96,24.0,4920.96,867.84,205.04,3174.818
2020-02-05,132.085,-4920.96,24.0,4920.96,867.84,205.04,3170.034
2020-02-06,133.233,-4920.96,24.0,4920.96,867.84,205.04,3197.601
2020-02-07,134.031,-4920.96,24.0,4920.96,867.84,205.04,3216.739
