date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2021-04-28,30.769,-4996.939,312.5,4996.939,0.0,15.99,9615.38,32.314,-4996.558,263.158,4996.558,0.0,18.987,8503.728,31.351,-4968.993,142.857,4968.993,0.0,34.783,4478.733,6.02,-4999.02,2500.0,4999.02,0.0,2.0,15050.0,6.008,-4997.449,1000.0,4997.449,0.0,4.997,6007.596,15.372,-4998.737,1250.0,4998.737,0.0,3.999,19214.777,51.22,-4997.3,625.0,4997.3,0.0,7.996,32012.501,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2021-04-29,31.053,-4996.939,312.5,4996.939,0.0,15.99,9703.987,32.811,-4996.558,263.158,4996.558,0.0,18.987,8634.441,30.714,-4968.993,142.857,4968.993,0.0,34.783,4387.707,5.87,-4999.02,2500.0,4999.02,0.0,2.0,14675.0,5.954,-4997.449,1000.0,4997.449,0.0,4.997,5953.562,15.355,-4998.737,1250.0,4998.737,0.0,3.999,19193.234,50.03,-4997.3,625.0,4997.3,0.0,7.996,31268.749,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2021-04-30,30.994,-4996.939,312.5,4996.939,0.0,15.99,9685.655,32.895,-4996.558,263.158,4996.558,0.0,18.987,8656.637,29.798,-4968.993,142.857,4968.993,0.0,34.783,4256.859,6.03,-4999.02,2500.0,4999.02,0.0,2.0,15075.001,5.816,-4997.449,1000.0,4997.449,0.0,4.997,5816.021,14.717,-4998.737,1250.0,4998.737,0.0,3.999,18396.209,50.28,-4997.3,625.0,4997.3,0.0,7.996,31424.999,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2021-05-03,31.336,-4996.939,312.5,4996.939,0.0,15.99,9792.593,33.42,-4996.558,263.158,4996.558,0.0,18.987,8794.749,28.872,-4968.993,142.857,4968.993,0.0,34.783,4124.587,6.16,-4999.02,2500.0,4999.02,0.0,2.0,15400.0,5.502,-4997.449,1000.0,4997.449,0.0,4.997,5501.641,14.82,-4998.737,1250.0,4998.737,0.0,3.999,18525.457,49.25,-4997.3,625.0,4997.3,0.0,7.996,30781.25,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2021-05-04,30.984,-4996.939,312.5,4996.939,0.0,15.99,9682.599,33.889,-4996.558,263.158,4996.558,0.0,18.987,8918.064,28.593,-4968.993,142.857,4968.993,0.0,34.783,4084.764,6.25,-4999.02,2500.0,4999.02,0.0,2.0,15625.0,5.286,-4997.449,1000.0,4997.449,0.0,4.997,5285.505,14.622,-4998.737,1250.0,4998.737,0.0,3.999,18277.732,47.95,-4997.3,625.0,4997.3,0.0,7.996,29968.75,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2021-05-05,30.515,-4996.939,312.5,4996.939,0.0,15.99,9535.939,34.338,-4996.558,263.158,4996.558,0.0,18.987,9036.444,29.021,-4968.993,142.857,4968.993,0.0,34.783,4145.921,6.4,-4999.02,2500.0,4999.02,0.0,2.0,16000.0,5.364,-4997.449,1000.0,4997.449,0.0,4.997,5364.101,14.355,-4998.737,1250.0,4998.737,0.0,3.999,17943.844,49.05,-4997.3,625.0,4997.3,0.0,7.996,30656.25,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2021-05-06,30.183,-4996.939,312.5,4996.939,0.0,15.99,9432.055,33.673,-4996.558,263.158,4996.558,0.0,18.987,8861.339,29.967,-4968.993,142.857,4968.993,0.0,34.783,4281.037,6.37,-4999.02,2500.0,4999.02,0.0,2.0,15925.0,5.462,-4997.449,1000.0,4997.449,0.0,4.997,5462.344,14.691,-4998.737,1250.0,4998.737,0.0,3.999,18363.897,47.79,-4997.3,625.0,4997.3,0.0,7.996,29868.751,7.57,-4998.0,833.333,4998.0,0.0,5.998,6308.333
2021-05-07,30.701,-4996.939,312.5,4996.939,0.0,15.99,9593.992,33.823,-4996.558,263.158,4996.558,0.0,18.987,8900.799,30.575,-4968.993,142.857,4968.993,0.0,34.783,4367.795,5.8,-4999.02,2500.0,4999.02,0.0,2.0,14500.0,5.62,-4997.449,1000.0,4997.449,0.0,4.997,5619.534,14.683,-4998.737,1250.0,4998.737,0.0,3.999,18353.128,47.62,-4997.3,625.0,4997.3,0.0,7.996,29762.499,7.93,-4998.0,833.333,4998.0,0.0,5.998,6608.333
2021-05-10,30.583,-4996.939,312.5,4996.939,0.0,15.99,9557.327,34.059,-4996.558,263.158,4996.558,0.0,18.987,8962.89,31.809,-4968.993,142.857,4968.993,0.0,34.783,4544.157,5.59,-4999.02,2500.0,4999.02,0.0,2.0,13975.0,5.865,-4997.449,1000.0,4997.449,0.0,4.997,5865.142,14.639,-4998.737,1250.0,4998.737,0.0,3.999,18299.273,46.46,-4997.3,625.0,4997.3,0.0,7.996,29037.499,8.22,-4998.0,833.333,4998.0,0.0,5.998,6850.0
2021-05-11,29.977,-4996.939,312.5,4996.939,0.0,15.99,9367.891,33.407,-4996.558,263.158,4996.558,0.0,18.987,8791.256,30.744,-4968.993,142.857,4968.993,0.0,34.783,4391.974,5.63,-4999.02,2500.0,4999.02,0.0,2.0,14075.0,5.767,-4997.449,1000.0,4997.449,0.0,4.997,5766.899,15.096,-4998.737,1250.0,4998.737,0.0,3.999,18870.116,45.74,-4997.3,625.0,4997.3,0.0,7.996,28587.501,8.47,-4998.0,833.333,4998.0,0.0,5.998,7058.334
