date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue
2020-12-04,267.25,-4878.3,23.585,4878.3,0.0,206.84,6303.066,43.83,-4964.4,121.951,4964.4,0.0,40.708,5345.122,34.711,-4954.851,96.154,4954.851,0.0,51.53,3337.606,6.125,-4998.686,625.0,4998.686,0.0,7.998,3828.339,12.0,-4997.2,416.667,4997.2,0.0,11.993,5000.0
2020-12-07,264.0,-4878.3,23.585,4878.3,0.0,206.84,6226.415,43.25,-4964.4,121.951,4964.4,0.0,40.708,5274.39,34.869,-4954.851,96.154,4954.851,0.0,51.53,3352.768,6.145,-4998.686,625.0,4998.686,0.0,7.998,3840.321,11.98,-4997.2,416.667,4997.2,0.0,11.993,4991.666
2020-12-08,266.09,-4878.3,23.585,4878.3,0.0,206.84,6275.707,42.01,-4964.4,121.951,4964.4,0.0,40.708,5123.171,35.529,-4954.851,96.154,4954.851,0.0,51.53,3416.26,6.145,-4998.686,625.0,4998.686,0.0,7.998,3840.321,11.82,-4997.2,416.667,4997.2,0.0,11.993,4925.0
2020-12-09,263.8,-4878.3,23.585,4878.3,0.0,206.84,6221.698,42.35,-4964.4,121.951,4964.4,0.0,40.708,5164.634,36.8,-4954.851,96.154,4954.851,0.0,51.53,3538.507,6.279,-4998.686,625.0,4998.686,0.0,7.998,3924.197,11.72,-4997.2,416.667,4997.2,0.0,11.993,4883.333
2020-12-10,264.87,-4878.3,23.585,4878.3,0.0,206.84,6246.934,43.33,-4964.4,121.951,4964.4,0.0,40.708,5284.147,37.549,-4954.851,96.154,4954.851,0.0,51.53,3610.527,6.394,-4998.686,625.0,4998.686,0.0,7.998,3996.091,11.45,-4997.2,416.667,4997.2,0.0,11.993,4770.833
2020-12-11,264.54,-4878.3,23.585,4878.3,0.0,206.84,6239.151,43.01,-4964.4,121.951,4964.4,0.0,40.708,5245.122,37.343,-4954.851,96.154,4954.851,0.0,51.53,3590.627,6.317,-4998.686,625.0,4998.686,0.0,7.998,3948.162,11.49,-4997.2,416.667,4997.2,0.0,11.993,4787.5
2020-12-14,256.03,-4878.3,23.585,4878.3,0.0,206.84,6038.443,42.46,-4964.4,121.951,4964.4,0.0,40.708,5178.049,37.993,-4954.851,96.154,4954.851,0.0,51.53,3653.172,6.403,-4998.686,625.0,4998.686,0.0,7.998,4002.082,13.95,-4997.2,416.667,4997.2,0.0,11.993,5812.5
2020-12-15,255.11,-4878.3,23.585,4878.3,0.0,206.84,6016.745,42.89,-4964.4,121.951,4964.4,0.0,40.708,5230.488,40.072,-4954.851,96.154,4954.851,0.0,51.53,3853.124,6.538,-4998.686,625.0,4998.686,0.0,7.998,4085.958,13.62,-4997.2,416.667,4997.2,0.0,11.993,5675.0
2020-12-16,261.89,-4878.3,23.585,4878.3,0.0,206.84,6176.651,42.61,-4964.4,121.951,4964.4,0.0,40.708,5196.342,40.23,-4954.851,96.154,4954.851,0.0,51.53,3868.287,6.633,-4998.686,625.0,4998.686,0.0,7.998,4145.87,13.51,-4997.2,416.667,4997.2,0.0,11.993,5629.167
2020-12-17,264.43,-4878.3,23.585,4878.3,0.0,206.84,6236.556,41.88,-4964.4,121.951,4964.4,0.0,40.708,5107.317,40.684,-4954.851,96.154,4954.851,0.0,51.53,3911.878,6.71,-4998.686,625.0,4998.686,0.0,7.998,4193.799,14.3,-4997.2,416.667,4997.2,0.0,11.993,5958.333
2020-12-18,260.0,-4878.3,23.585,4878.3,0.0,206.84,6132.075,40.89,-4964.4,121.951,4964.4,0.0,40.708,4986.585,41.373,-4954.851,96.154,4954.851,0.0,51.53,3978.214,6.7,-4998.686,625.0,4998.686,0.0,7.998,4187.807,15.49,-4997.2,416.667,4997.2,0.0,11.993,6454.167
2020-12-21,260.43,-4878.3,23.585,4878.3,0.0,206.84,6142.217,40.74,-4964.4,121.951,4964.4,0.0,40.708,4968.293,39.136,-4954.851,96.154,4954.851,0.0,51.53,3763.098,6.576,-4998.686,625.0,4998.686,0.0,7.998,4109.923,17.25,-4997.2,416.667,4997.2,0.0,11.993,7187.5
