date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2020-07-24,75.74,-4989.16,192.308,4989.16,0.0,25.944,14565.384,21.067,-4996.558,263.158,4996.558,0.0,18.987,5543.995,2.88,-4999.02,2500.0,4999.02,0.0,2.0,7200.0,4.481,-4997.448,1000.0,4997.448,0.0,4.997,4480.732,13.29,-4999.54,2500.0,4999.54,0.0,2.0,33225.0,13.132,-4998.737,1250.0,4998.737,0.0,3.999,16414.416,12.5,-4998.0,833.333,4998.0,0.0,5.998,10416.667
2020-07-27,78.5,-4989.16,192.308,4989.16,0.0,25.944,15096.154,21.11,-4996.558,263.158,4996.558,0.0,18.987,5555.291,2.8,-4999.02,2500.0,4999.02,0.0,2.0,7000.0,4.528,-4997.448,1000.0,4997.448,0.0,4.997,4528.098,13.26,-4999.54,2500.0,4999.54,0.0,2.0,33150.001,13.381,-4998.737,1250.0,4998.737,0.0,3.999,16726.764,12.5,-4998.0,833.333,4998.0,0.0,5.998,10416.667
2020-07-28,78.69,-4989.16,192.308,4989.16,0.0,25.944,15132.693,21.067,-4996.558,263.158,4996.558,0.0,18.987,5543.995,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,4.481,-4997.448,1000.0,4997.448,0.0,4.997,4480.732,12.84,-4999.54,2500.0,4999.54,0.0,2.0,32100.0,13.528,-4998.737,1250.0,4998.737,0.0,3.999,16909.864,12.55,-4998.0,833.333,4998.0,0.0,5.998,10458.333
2020-07-29,78.47,-4989.16,192.308,4989.16,0.0,25.944,15090.385,21.883,-4996.558,263.158,4996.558,0.0,18.987,5758.615,2.69,-4999.02,2500.0,4999.02,0.0,2.0,6725.0,4.5,-4997.448,1000.0,4997.448,0.0,4.997,4499.678,12.19,-4999.54,2500.0,4999.54,0.0,2.0,30474.999,12.752,-4998.737,1250.0,4998.737,0.0,3.999,15940.51,12.6,-4998.0,833.333,4998.0,0.0,5.998,10500.0
2020-07-30,78.0,-4989.16,192.308,4989.16,0.0,25.944,15000.0,21.763,-4996.558,263.158,4996.558,0.0,18.987,5726.988,2.6,-4999.02,2500.0,4999.02,0.0,2.0,6500.0,4.433,-4997.448,1000.0,4997.448,0.0,4.997,4433.367,12.5,-4999.54,2500.0,4999.54,0.0,2.0,31250.0,12.64,-4998.737,1250.0,4998.737,0.0,3.999,15800.492,12.75,-4998.0,833.333,4998.0,0.0,5.998,10625.0
2020-07-31,78.17,-4989.16,192.308,4989.16,0.0,25.944,15032.692,21.308,-4996.558,263.158,4996.558,0.0,18.987,5607.251,2.61,-4999.02,2500.0,4999.02,0.0,2.0,6525.0,4.329,-4997.448,1000.0,4997.448,0.0,4.997,4329.164,12.51,-4999.54,2500.0,4999.54,0.0,2.0,31275.001,12.528,-4998.737,1250.0,4998.737,0.0,3.999,15660.473,12.9,-4998.0,833.333,4998.0,0.0,5.998,10750.0
2020-08-03,80.97,-4989.16,192.308,4989.16,0.0,25.944,15571.154,22.218,-4996.558,263.158,4996.558,0.0,18.987,5846.723,2.62,-4999.02,2500.0,4999.02,0.0,2.0,6550.0,4.282,-4997.448,1000.0,4997.448,0.0,4.997,4281.798,12.71,-4999.54,2500.0,4999.54,0.0,2.0,31775.0,13.373,-4998.737,1250.0,4998.737,0.0,3.999,16715.994,12.95,-4998.0,833.333,4998.0,0.0,5.998,10791.667
2020-08-04,78.84,-4989.16,192.308,4989.16,0.0,25.944,15161.538,22.552,-4996.558,263.158,4996.558,0.0,18.987,5934.831,2.66,-4999.02,2500.0,4999.02,0.0,2.0,6650.0,4.263,-4997.448,1000.0,4997.448,0.0,4.997,4262.854,12.04,-4999.54,2500.0,4999.54,0.0,2.0,30100.0,13.717,-4998.737,1250.0,4998.737,0.0,3.999,17146.819,13.1,-4998.0,833.333,4998.0,0.0,5.998,10916.667
2020-08-05,82.02,-4989.16,192.308,4989.16,0.0,25.944,15773.076,23.565,-4996.558,263.158,4996.558,0.0,18.987,6201.413,2.73,-4999.02,2500.0,4999.02,0.0,2.0,6825.0,4.272,-4997.448,1000.0,4997.448,0.0,4.997,4272.326,12.27,-4999.54,2500.0,4999.54,0.0,2.0,30675.001,13.804,-4998.737,1250.0,4998.737,0.0,3.999,17254.525,13.15,-4998.0,833.333,4998.0,0.0,5.998,10958.333
2020-08-06,81.3,-4989.16,192.308,4989.16,0.0,25.944,15634.616,23.243,-4996.558,263.158,4996.558,0.0,18.987,6116.628,2.51,-4999.02,2500.0,4999.02,0.0,2.0,6275.0,4.272,-4997.448,1000.0,4997.448,0.0,4.997,4272.326,12.21,-4999.54,2500.0,4999.54,0.0,2.0,30525.0,13.373,-4998.737,1250.0,4998.737,0.0,3.999,16715.994,13.3,-4998.0,833.333,4998.0,0.0,5.998,11083.333
