date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue
2019-04-04,37.2,-4997.58,978.0,4997.58,21046.56,5.11,36381.601
2019-04-05,36.97,-4997.58,978.0,4997.58,21046.56,5.11,36156.661
2019-04-08,36.66,-4997.58,978.0,4997.58,21046.56,5.11,35853.48
2019-04-09,36.92,-4997.58,978.0,4997.58,21046.56,5.11,36107.758
2019-04-10,36.84,-4997.58,978.0,4997.58,21046.56,5.11,36029.52
2019-04-11,36.86,-4997.58,978.0,4997.58,21046.56,5.11,36049.081
2019-04-12,37.14,-4997.58,978.0,4997.58,21046.56,5.11,36322.919
2019-04-15,35.3,-4997.58,978.0,4997.58,21046.56,5.11,34523.399
2019-04-16,34.86,-4997.58,978.0,4997.58,21046.56,5.11,34093.081
2019-04-17,34.64,-4997.58,978.0,4997.58,21046.56,5.11,33877.919
2019-04-18,34.08,-4997.58,978.0,4997.58,21046.56,5.11,33330.242
2019-04-22,34.24,-4997.58,978.0,4997.58,21046.56,5.11,33486.722
2019-04-23,34.98,-4997.58,978.0,4997.58,21046.56,5.11,34210.44
2019-04-24,34.42,-4997.58,978.0,4997.58,21046.56,5.11,33662.758
2019-04-25,36.17,-4997.58,978.0,4997.58,21046.56,5.11,35374.258
2019-04-26,38.6,-4997.58,978.0,4997.58,21046.56,5.11,37750.799
2019-04-29,38.67,-4997.58,978.0,4997.58,21046.56,5.11,37819.258
2019-04-30,38.47,-4997.58,978.0,4997.58,21046.56,5.11,37623.661
2019-05-01,38.18,-4997.58,978.0,4997.58,21046.56,5.11,37340.04
2019-05-02,39.05,-4997.58,978.0,4997.58,21046.56,5.11,38190.899
2019-05-03,38.97,-4997.58,978.0,4997.58,21046.56,5.11,38112.661
2019-05-06,37.58,-4997.58,978.0,4997.58,21046.56,5.11,36753.242
2019-05-07,36.51,-4997.58,978.0,4997.58,21046.56,5.11,35706.778
2019-05-08,36.65,-4997.58,978.0,4997.58,21046.56,5.11,35843.701
2019-05-09,36.2,-4997.58,978.0,4997.58,21046.56,5.11,35403.601
2019-05-10,35.58,-4997.58,978.0,4997.58,21046.56,5.11,34797.242
2019-05-13,33.56,-4997.58,978.0,4997.58,21046.56,5.11,32821.681
2019-05-14,34.98,-4997.58,978.0,4997.58,21046.56,5.11,34210.44
2019-05-15,35.54,-4997.58,978.0,4997.58,21046.56,5.11,34758.121
2019-05-16,35.9,-4997.58,978.0,4997.58,21046.56,5.11,35110.201
2019-05-17,35.25,-4997.58,978.0,4997.58,21046.56,5.11,34474.5
2019-05-20,34.56,-4997.58,978.0,4997.58,21046.56,5.11,33799.681
2019-05-21,34.87,-4997.58,978.0,4997.58,21046.56,5.11,34102.859
2019-05-22,34.1,-4997.58,978.0,4997.58,21046.56,5.11,33349.799
2019-05-23,33.75,-4997.58,978.0,4997.58,21046.56,5.11,33007.5
2019-05-24,33.98,-4997.58,978.0,4997.58,21046.56,5.11,33232.44
2019-05-28,34.37,-4997.58,978.0,4997.58,21046.56,5.11,33613.859
2019-05-29,34.0,-4997.58,978.0,4997.58,21046.56,5.11,33252.0
2019-05-30,34.32,-4997.58,978.0,4997.58,21046.56,5.11,33564.96
2019-05-31,34.41,-4997.58,978.0,4997.58,21046.56,5.11,33652.98
2019-06-03,35.52,-4997.58,978.0,4997.58,21046.56,5.11,34738.56
2019-06-04,36.46,-4997.58,978.0,4997.58,21046.56,5.11,35657.879
2019-06-05,35.3,-4997.58,978.0,4997.58,21046.56,5.11,34523.399
2019-06-06,34.37,-4997.58,978.0,4997.58,21046.56,5.11,33613.859
2019-06-07,35.26,-4997.58,978.0,4997.58,21046.56,5.11,34484.278
2019-06-10,35.67,-4997.58,978.0,4997.58,21046.56,5.11,34885.258
2019-06-11,37.0,-4997.58,978.0,4997.58,21046.56,5.11,36186.0
2019-06-12,36.42,-4997.58,978.0,4997.58,21046.56,5.11,35618.758
2019-06-13,36.33,-4997.58,978.0,4997.58,21046.56,5.11,35530.742
2019-06-14,36.72,-4997.58,978.0,4997.58,21046.56,5.11,35912.161
2019-06-17,36.73,-4997.58,978.0,4997.58,21046.56,5.11,35921.94
2019-06-18,37.3,-4997.58,978.0,4997.58,21046.56,5.11,36479.399
2019-06-19,38.11,-4997.58,978.0,4997.58,21046.56,5.11,37271.581
2019-06-20,37.98,-4997.58,978.0,4997.58,21046.56,5.11,37144.44
2019-06-21,37.68,-4997.58,978.0,4997.58,21046.56,5.11,36851.04
2019-06-24,36.42,-4997.58,978.0,4997.58,21046.56,5.11,35618.758
2019-06-25,36.35,-4997.58,978.0,4997.58,21046.56,5.11,35550.299
2019-06-26,37.5,-4997.58,978.0,4997.58,21046.56,5.11,36675.0
2019-06-27,38.09,-4997.58,978.0,4997.58,21046.56,5.11,37252.02
2019-06-28,38.1,-4997.58,978.0,4997.58,21046.56,5.11,37261.799
2019-07-01,39.3,-4997.58,978.0,4997.58,21046.56,5.11,38435.399
2019-07-02,39.56,-4997.58,978.0,4997.58,21046.56,5.11,38689.681
2019-07-03,38.5,-4997.58,978.0,4997.58,21046.56,5.11,37653.0
2019-07-05,38.25,-4997.58,978.0,4997.58,21046.56,5.11,37408.5
2019-07-08,36.8,-4997.58,978.0,4997.58,21046.56,5.11,35990.399
2019-07-09,37.0,-4997.58,978.0,4997.58,21046.56,5.11,36186.0
2019-07-10,36.49,-4997.58,978.0,4997.58,21046.56,5.11,35687.222
2019-07-11,35.99,-4997.58,978.0,4997.58,21046.56,5.11,35198.222
2019-07-12,35.9,-4997.58,978.0,4997.58,21046.56,5.11,35110.201
2019-07-15,37.2,-4997.58,978.0,4997.58,21046.56,5.11,36381.601
2019-07-16,37.3,-4997.58,978.0,4997.58,21046.56,5.11,36479.399
2019-07-17,36.99,-4997.58,978.0,4997.58,21046.56,5.11,36176.222
2019-07-18,36.42,-4997.58,978.0,4997.58,21046.56,5.11,35618.758
2019-07-19,36.18,-4997.58,978.0,4997.58,21046.56,5.11,35384.04
2019-07-22,36.26,-4997.58,978.0,4997.58,21046.56,5.11,35462.278
2019-07-23,37.23,-4997.58,978.0,4997.58,21046.56,5.11,36410.94
2019-07-24,37.51,-4997.58,978.0,4997.58,21046.56,5.11,36684.778
2019-07-25,33.24,-4997.58,978.0,4997.58,21046.56,5.11,32508.722
2019-07-26,32.77,-4997.58,978.0,4997.58,21046.56,5.11,32049.06
2019-07-29,32.06,-4997.58,978.0,4997.58,21046.56,5.11,31354.681
2019-07-30,32.16,-4997.58,978.0,4997.58,21046.56,5.11,31452.48
2019-07-31,32.2,-4997.58,978.0,4997.58,21046.56,5.11,31491.601
2019-08-01,32.39,-4997.58,978.0,4997.58,21046.56,5.11,31677.419
2019-08-02,32.55,-4997.58,978.0,4997.58,21046.56,5.11,31833.899
2019-08-05,30.98,-4997.58,978.0,4997.58,21046.56,5.11,30298.44
2019-08-06,31.39,-4997.58,978.0,4997.58,21046.56,5.11,30699.419
2019-08-07,31.73,-4997.58,978.0,4997.58,21046.56,5.11,31031.94
2019-08-08,32.2,-4997.58,978.0,4997.58,21046.56,5.11,31491.601
2019-08-09,32.2,-4997.58,978.0,4997.58,21046.56,5.11,31491.601
2019-08-12,32.28,-4997.58,978.0,4997.58,21046.56,5.11,31569.839
2019-08-13,32.35,-4997.58,978.0,4997.58,21046.56,5.11,31638.299
