date,GWRE_adj_close,GWRE_cashflow,GWRE_cml_units,GWRE_cml_cost,GWRE_gain_loss,GWRE_avg_price,GWRE_mktvalue,VIV_adj_close,VIV_cashflow,VIV_cml_units,VIV_cml_cost,VIV_gain_loss,VIV_avg_price,VIV_mktvalue,PAM_adj_close,PAM_cashflow,PAM_cml_units,PAM_cml_cost,PAM_gain_loss,PAM_avg_price,PAM_mktvalue,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2019-11-13,116.28,-4915.56,39.0,4915.56,1152.06,126.04,4534.92,12.047,-4992.225,555.0,4992.225,1326.45,8.995,6686.273,13.17,-4987.71,261.0,4987.71,-4014.18,19.11,3437.37,1.84,-4999.54,2747.0,4999.54,2444.83,1.82,5054.48
2019-11-14,117.34,-4915.56,39.0,4915.56,1152.06,126.04,4576.26,12.215,-4992.225,555.0,4992.225,1326.45,8.995,6779.426,12.68,-4987.71,261.0,4987.71,-4014.18,19.11,3309.48,1.82,-4999.54,2747.0,4999.54,2444.83,1.82,4999.54
2019-11-15,119.3,-4915.56,39.0,4915.56,1152.06,126.04,4652.7,12.411,-4992.225,555.0,4992.225,1326.45,8.995,6888.104,13.11,-4987.71,261.0,4987.71,-4014.18,19.11,3421.71,1.81,-4999.54,2747.0,4999.54,2444.83,1.82,4972.07
2019-11-18,118.55,-4915.56,39.0,4915.56,1152.06,126.04,4623.45,12.411,-4992.225,555.0,4992.225,1326.45,8.995,6888.104,12.97,-4987.71,261.0,4987.71,-4014.18,19.11,3385.17,1.79,-4999.54,2747.0,4999.54,2444.83,1.82,4917.13
2019-11-19,118.75,-4915.56,39.0,4915.56,1152.06,126.04,4631.25,12.318,-4992.225,555.0,4992.225,1326.45,8.995,6836.352,13.33,-4987.71,261.0,4987.71,-4014.18,19.11,3479.13,1.74,-4999.54,2747.0,4999.54,2444.83,1.82,4779.78
2019-11-20,119.11,-4915.56,39.0,4915.56,1152.06,126.04,4645.29,12.262,-4992.225,555.0,4992.225,1326.45,8.995,6805.302,13.48,-4987.71,261.0,4987.71,-4014.18,19.11,3518.28,1.9,-4999.54,2747.0,4999.54,2444.83,1.82,5219.3
2019-11-21,118.58,-4915.56,39.0,4915.56,1152.06,126.04,4624.62,12.206,-4992.225,555.0,4992.225,1326.45,8.995,6774.251,13.27,-4987.71,261.0,4987.71,-4014.18,19.11,3463.47,1.91,-4999.54,2747.0,4999.54,2444.83,1.82,5246.77
2019-11-22,119.42,-4915.56,39.0,4915.56,1152.06,126.04,4657.38,12.243,-4992.225,555.0,4992.225,1326.45,8.995,6794.952,13.57,-4987.71,261.0,4987.71,-4014.18,19.11,3541.77,1.85,-4999.54,2747.0,4999.54,2444.83,1.82,5081.95
2019-11-25,121.01,-4915.56,39.0,4915.56,1152.06,126.04,4719.39,12.187,-4992.225,555.0,4992.225,1326.45,8.995,6763.901,13.44,-4987.71,261.0,4987.71,-4014.18,19.11,3507.84,1.92,-4999.54,2747.0,4999.54,2444.83,1.82,5274.24
2019-11-26,122.51,-4915.56,39.0,4915.56,1152.06,126.04,4777.89,11.973,-4992.225,555.0,4992.225,1326.45,8.995,6644.873,12.86,-4987.71,261.0,4987.71,-4014.18,19.11,3356.46,1.87,-4999.54,2747.0,4999.54,2444.83,1.82,5136.89
2019-11-27,121.25,-4915.56,39.0,4915.56,1152.06,126.04,4728.75,12.01,-4992.225,555.0,4992.225,1326.45,8.995,6665.573,13.89,-4987.71,261.0,4987.71,-4014.18,19.11,3625.29,1.93,-4999.54,2747.0,4999.54,2444.83,1.82,5301.71
2019-11-29,121.83,-4915.56,39.0,4915.56,1152.06,126.04,4751.37,12.262,-4992.225,555.0,4992.225,1326.45,8.995,6805.302,13.64,-4987.71,261.0,4987.71,-4014.18,19.11,3560.04,1.87,-4999.54,2747.0,4999.54,2444.83,1.82,5136.89
2019-12-02,119.21,-4915.56,39.0,4915.56,1152.06,126.04,4649.19,12.383,-4992.225,555.0,4992.225,1326.45,8.995,6872.579,13.39,-4987.71,261.0,4987.71,-4014.18,19.11,3494.79,1.89,-4999.54,2747.0,4999.54,2444.83,1.82,5191.83
