date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue
2020-11-24,12.301,-4995.9,390.0,4995.9,1591.2,12.81,4797.21
2020-11-25,12.44,-4995.9,390.0,4995.9,1591.2,12.81,4851.415
2020-11-27,11.963,-4995.9,390.0,4995.9,1591.2,12.81,4665.567
2020-11-30,11.437,-4995.9,390.0,4995.9,1591.2,12.81,4460.36
2020-12-01,11.923,-4995.9,390.0,4995.9,1591.2,12.81,4650.08
2020-12-02,12.042,-4995.9,390.0,4995.9,1591.2,12.81,4696.542
2020-12-03,12.171,-4995.9,390.0,4995.9,1591.2,12.81,4746.876
2020-12-04,12.767,-4995.9,390.0,4995.9,1591.2,12.81,4979.186
2020-12-07,12.608,-4995.9,390.0,4995.9,1591.2,12.81,4917.237
2020-12-08,12.579,-4995.9,390.0,4995.9,1591.2,12.81,4905.621
2020-12-09,12.797,-4995.9,390.0,4995.9,1591.2,12.81,4990.802
2020-12-10,13.422,-4995.9,390.0,4995.9,1591.2,12.81,5234.728
2020-12-11,13.303,-4995.9,390.0,4995.9,1591.2,12.81,5188.265
2020-12-14,13.194,-4995.9,390.0,4995.9,1591.2,12.81,5145.675
2020-12-15,13.383,-4995.9,390.0,4995.9,1591.2,12.81,5219.24
2020-12-16,13.651,-4995.9,390.0,4995.9,1591.2,12.81,5323.78
2020-12-17,13.78,-4995.9,390.0,4995.9,1591.2,12.81,5374.114
2020-12-18,13.542,-4995.9,390.0,4995.9,1591.2,12.81,5281.19
2020-12-21,12.936,-4995.9,390.0,4995.9,1591.2,12.81,5045.008
2020-12-22,12.916,-4995.9,390.0,4995.9,1591.2,12.81,5037.264
2020-12-23,13.085,-4995.9,390.0,4995.9,1591.2,12.81,5103.085
2020-12-24,12.886,-4995.9,390.0,4995.9,1591.2,12.81,5025.648
2020-12-28,12.876,-4995.9,390.0,4995.9,1591.2,12.81,5021.777
2020-12-29,12.995,-4995.9,390.0,4995.9,1591.2,12.81,5068.239
2020-12-30,13.025,-4995.9,390.0,4995.9,1591.2,12.81,5079.854
2020-12-31,12.817,-4995.9,390.0,4995.9,1591.2,12.81,4998.545
2021-01-04,12.856,-4995.9,390.0,4995.9,1591.2,12.81,5014.033
2021-01-05,13.194,-4995.9,390.0,4995.9,1591.2,12.81,5145.675
2021-01-06,13.442,-4995.9,390.0,4995.9,1591.2,12.81,5242.471
2021-01-07,13.581,-4995.9,390.0,4995.9,1591.2,12.81,5296.677
2021-01-08,13.71,-4995.9,390.0,4995.9,1591.2,12.81,5347.011
2021-01-11,13.561,-4995.9,390.0,4995.9,1591.2,12.81,5288.934
2021-01-12,14.028,-4995.9,390.0,4995.9,1591.2,12.81,5470.91
2021-01-13,13.869,-4995.9,390.0,4995.9,1591.2,12.81,5408.961
2021-01-14,14.326,-4995.9,390.0,4995.9,1591.2,12.81,5587.065
2021-01-15,13.77,-4995.9,390.0,4995.9,1591.2,12.81,5370.242
2021-01-19,13.949,-4995.9,390.0,4995.9,1591.2,12.81,5439.935
2021-01-20,13.968,-4995.9,390.0,4995.9,1591.2,12.81,5447.679
2021-01-21,13.77,-4995.9,390.0,4995.9,1591.2,12.81,5370.242
2021-01-22,13.323,-4995.9,390.0,4995.9,1591.2,12.81,5196.009
2021-01-25,12.896,-4995.9,390.0,4995.9,1591.2,12.81,5029.52
2021-01-26,13.005,-4995.9,390.0,4995.9,1591.2,12.81,5072.111
2021-01-27,12.231,-4995.9,390.0,4995.9,1591.2,12.81,4770.107
2021-01-28,12.032,-4995.9,390.0,4995.9,1591.2,12.81,4692.67
2021-01-29,11.298,-4995.9,390.0,4995.9,1591.2,12.81,4406.154
2021-02-01,11.596,-4995.9,390.0,4995.9,1591.2,12.81,4522.309
2021-02-02,11.854,-4995.9,390.0,4995.9,1591.2,12.81,4622.977
2021-02-03,11.804,-4995.9,390.0,4995.9,1591.2,12.81,4603.618
2021-02-04,11.893,-4995.9,390.0,4995.9,1591.2,12.81,4638.464
2021-02-05,12.042,-4995.9,390.0,4995.9,1591.2,12.81,4696.542
2021-02-08,12.281,-4995.9,390.0,4995.9,1591.2,12.81,4789.466
2021-02-09,12.191,-4995.9,390.0,4995.9,1591.2,12.81,4754.619
2021-02-10,12.231,-4995.9,390.0,4995.9,1591.2,12.81,4770.107
2021-02-11,12.122,-4995.9,390.0,4995.9,1591.2,12.81,4727.517
2021-02-12,12.201,-4995.9,390.0,4995.9,1591.2,12.81,4758.491
2021-02-16,12.489,-4995.9,390.0,4995.9,1591.2,12.81,4870.775
2021-02-17,12.459,-4995.9,390.0,4995.9,1591.2,12.81,4859.159
2021-02-18,12.132,-4995.9,390.0,4995.9,1591.2,12.81,4731.388
2021-02-19,12.023,-4995.9,390.0,4995.9,1591.2,12.81,4688.798
2021-02-22,12.36,-4995.9,390.0,4995.9,1591.2,12.81,4820.441
2021-02-23,12.787,-4995.9,390.0,4995.9,1591.2,12.81,4986.93
2021-02-24,12.817,-4995.9,390.0,4995.9,1591.2,12.81,4998.545
2021-02-25,12.569,-4995.9,390.0,4995.9,1591.2,12.81,4901.749
2021-02-26,12.162,-4995.9,390.0,4995.9,1591.2,12.81,4743.004
2021-03-01,12.34,-4995.9,390.0,4995.9,1591.2,12.81,4812.697
2021-03-02,12.251,-4995.9,390.0,4995.9,1591.2,12.81,4777.851
2021-03-03,12.251,-4995.9,390.0,4995.9,1591.2,12.81,4777.851
2021-03-04,12.43,-4995.9,390.0,4995.9,1591.2,12.81,4847.544
2021-03-05,13.224,-4995.9,390.0,4995.9,1591.2,12.81,5157.291
2021-03-08,12.936,-4995.9,390.0,4995.9,1591.2,12.81,5045.008
2021-03-09,12.876,-4995.9,390.0,4995.9,1591.2,12.81,5021.777
2021-03-10,13.273,-4995.9,390.0,4995.9,1591.2,12.81,5176.65
2021-03-11,13.323,-4995.9,390.0,4995.9,1591.2,12.81,5196.009
2021-03-12,13.174,-4995.9,390.0,4995.9,1591.2,12.81,5137.932
2021-03-15,13.929,-4995.9,390.0,4995.9,1591.2,12.81,5432.191
2021-03-16,13.72,-4995.9,390.0,4995.9,1591.2,12.81,5350.883
2021-03-17,13.77,-4995.9,390.0,4995.9,1591.2,12.81,5370.242
2021-03-18,12.995,-4995.9,390.0,4995.9,1591.2,12.81,5068.239
2021-03-19,13.273,-4995.9,390.0,4995.9,1591.2,12.81,5176.65
2021-03-22,13.264,-4995.9,390.0,4995.9,1591.2,12.81,5172.778
2021-03-23,12.569,-4995.9,390.0,4995.9,1591.2,12.81,4901.749
2021-03-24,12.797,-4995.9,390.0,4995.9,1591.2,12.81,4990.802
2021-03-25,12.608,-4995.9,390.0,4995.9,1591.2,12.81,4917.237
2021-03-26,12.787,-4995.9,390.0,4995.9,1591.2,12.81,4986.93
2021-03-29,12.757,-4995.9,390.0,4995.9,1591.2,12.81,4975.314
2021-03-30,12.618,-4995.9,390.0,4995.9,1591.2,12.81,4921.109
2021-03-31,12.727,-4995.9,390.0,4995.9,1591.2,12.81,4963.699
2021-04-01,12.737,-4995.9,390.0,4995.9,1591.2,12.81,4967.571
2021-04-05,12.529,-4995.9,390.0,4995.9,1591.2,12.81,4886.262
2021-04-06,12.509,-4995.9,390.0,4995.9,1591.2,12.81,4878.518
2021-04-07,12.648,-4995.9,390.0,4995.9,1591.2,12.81,4932.724
2021-04-08,12.499,-4995.9,390.0,4995.9,1591.2,12.81,4874.647
2021-04-09,12.31,-4995.9,390.0,4995.9,1591.2,12.81,4801.082
2021-04-12,12.36,-4995.9,390.0,4995.9,1591.2,12.81,4820.441
2021-04-13,12.32,-4995.9,390.0,4995.9,1591.2,12.81,4804.953
2021-04-14,12.668,-4995.9,390.0,4995.9,1591.2,12.81,4940.468
2021-04-15,12.708,-4995.9,390.0,4995.9,1591.2,12.81,4955.955
2021-04-16,12.757,-4995.9,390.0,4995.9,1591.2,12.81,4975.314
2021-04-19,12.787,-4995.9,390.0,4995.9,1591.2,12.81,4986.93
2021-04-20,12.44,-4995.9,390.0,4995.9,1591.2,12.81,4851.6
2021-04-21,12.51,-4995.9,390.0,4995.9,1591.2,12.81,4878.9
2021-04-22,12.4,-4995.9,390.0,4995.9,1591.2,12.81,4836.0
2021-04-23,12.32,-4995.9,390.0,4995.9,1591.2,12.81,4804.8
2021-04-26,12.34,-4995.9,390.0,4995.9,1591.2,12.81,4812.6
2021-04-27,12.31,-4995.9,390.0,4995.9,1591.2,12.81,4800.9
2021-04-28,12.66,-4995.9,390.0,4995.9,1591.2,12.81,4937.4
2021-04-29,12.51,-4995.9,390.0,4995.9,1591.2,12.81,4878.9
2021-04-30,11.83,-4995.9,390.0,4995.9,1591.2,12.81,4613.7
2021-05-03,11.73,-4995.9,390.0,4995.9,1591.2,12.81,4574.7
2021-05-04,11.62,-4995.9,390.0,4995.9,1591.2,12.81,4531.8
2021-05-05,11.88,-4995.9,390.0,4995.9,1591.2,12.81,4633.2
2021-05-06,12.07,-4995.9,390.0,4995.9,1591.2,12.81,4707.3
2021-05-07,12.24,-4995.9,390.0,4995.9,1591.2,12.81,4773.6
