date,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue
2020-10-01,25.289,-4954.851,96.154,4954.851,0.0,51.53,2431.657,4.391,-4998.685,625.0,4998.685,0.0,7.998,2744.368
2020-10-02,25.476,-4954.851,96.154,4954.851,0.0,51.53,2449.662,4.363,-4998.685,625.0,4998.685,0.0,7.998,2726.586
2020-10-05,25.703,-4954.851,96.154,4954.851,0.0,51.53,2471.458,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.514
2020-10-06,25.506,-4954.851,96.154,4954.851,0.0,51.53,2452.505,4.344,-4998.685,625.0,4998.685,0.0,7.998,2714.731
2020-10-07,25.299,-4954.851,96.154,4954.851,0.0,51.53,2432.605,4.372,-4998.685,625.0,4998.685,0.0,7.998,2732.514
2020-10-08,25.654,-4954.851,96.154,4954.851,0.0,51.53,2466.72,4.4,-4998.685,625.0,4998.685,0.0,7.998,2750.295
2020-10-09,25.95,-4954.851,96.154,4954.851,0.0,51.53,2495.149,4.4,-4998.685,625.0,4998.685,0.0,7.998,2750.295
2020-10-12,25.427,-4954.851,96.154,4954.851,0.0,51.53,2444.924,4.334,-4998.685,625.0,4998.685,0.0,7.998,2708.804
2020-10-13,24.905,-4954.851,96.154,4954.851,0.0,51.53,2394.699,4.306,-4998.685,625.0,4998.685,0.0,7.998,2691.022
2020-10-14,25.299,-4954.851,96.154,4954.851,0.0,51.53,2432.605,4.239,-4998.685,625.0,4998.685,0.0,7.998,2649.53
2020-10-15,24.905,-4954.851,96.154,4954.851,0.0,51.53,2394.699,4.344,-4998.685,625.0,4998.685,0.0,7.998,2714.731
2020-10-16,25.161,-4954.851,96.154,4954.851,0.0,51.53,2419.338,4.391,-4998.685,625.0,4998.685,0.0,7.998,2744.368
2020-10-19,25.821,-4954.851,96.154,4954.851,0.0,51.53,2482.83,4.353,-4998.685,625.0,4998.685,0.0,7.998,2720.658
2020-10-20,26.541,-4954.851,96.154,4954.851,0.0,51.53,2552.008,4.429,-4998.685,625.0,4998.685,0.0,7.998,2768.077
2020-10-21,26.6,-4954.851,96.154,4954.851,0.0,51.53,2557.694,4.514,-4998.685,625.0,4998.685,0.0,7.998,2821.423
2020-10-22,25.851,-4954.851,96.154,4954.851,0.0,51.53,2485.673,4.514,-4998.685,625.0,4998.685,0.0,7.998,2821.423
2020-10-23,26.294,-4954.851,96.154,4954.851,0.0,51.53,2528.317,4.467,-4998.685,625.0,4998.685,0.0,7.998,2791.787
2020-10-26,26.551,-4954.851,96.154,4954.851,0.0,51.53,2552.955,4.429,-4998.685,625.0,4998.685,0.0,7.998,2768.077
2020-10-27,25.959,-4954.851,96.154,4954.851,0.0,51.53,2496.097,4.363,-4998.685,625.0,4998.685,0.0,7.998,2726.586
2020-10-28,24.688,-4954.851,96.154,4954.851,0.0,51.53,2373.851,4.249,-4998.685,625.0,4998.685,0.0,7.998,2655.458
2020-10-29,24.412,-4954.851,96.154,4954.851,0.0,51.53,2347.317,4.277,-4998.685,625.0,4998.685,0.0,7.998,2673.24
2020-10-30,25.122,-4954.851,96.154,4954.851,0.0,51.53,2415.547,4.331,-4998.685,625.0,4998.685,0.0,7.998,2706.625
2020-11-02,25.358,-4954.851,96.154,4954.851,0.0,51.53,2438.29,4.397,-4998.685,625.0,4998.685,0.0,7.998,2748.358
2020-11-03,25.89,-4954.851,96.154,4954.851,0.0,51.53,2489.464,4.431,-4998.685,625.0,4998.685,0.0,7.998,2769.223
2020-11-04,25.92,-4954.851,96.154,4954.851,0.0,51.53,2492.306,4.464,-4998.685,625.0,4998.685,0.0,7.998,2790.089
2020-11-05,26.61,-4954.851,96.154,4954.851,0.0,51.53,2558.642,4.598,-4998.685,625.0,4998.685,0.0,7.998,2873.554
2020-11-06,26.846,-4954.851,96.154,4954.851,0.0,51.53,2581.385,4.598,-4998.685,625.0,4998.685,0.0,7.998,2873.554
2020-11-09,28.739,-4954.851,96.154,4954.851,0.0,51.53,2763.333,4.779,-4998.685,625.0,4998.685,0.0,7.998,2986.827
2020-11-10,28.857,-4954.851,96.154,4954.851,0.0,51.53,2774.705,4.855,-4998.685,625.0,4998.685,0.0,7.998,3034.52
2020-11-11,28.926,-4954.851,96.154,4954.851,0.0,51.53,2781.338,4.884,-4998.685,625.0,4998.685,0.0,7.998,3052.405
2020-11-12,28.423,-4954.851,96.154,4954.851,0.0,51.53,2733.008,4.76,-4998.685,625.0,4998.685,0.0,7.998,2974.903
2020-11-13,28.798,-4954.851,96.154,4954.851,0.0,51.53,2769.019,4.76,-4998.685,625.0,4998.685,0.0,7.998,2974.903
2020-11-16,30.68,-4954.851,96.154,4954.851,0.0,51.53,2950.019,4.846,-4998.685,625.0,4998.685,0.0,7.998,3028.559
2020-11-17,29.182,-4954.851,96.154,4954.851,0.0,51.53,2805.977,4.779,-4998.685,625.0,4998.685,0.0,7.998,2986.827
2020-11-18,29.803,-4954.851,96.154,4954.851,0.0,51.53,2865.678,4.827,-4998.685,625.0,4998.685,0.0,7.998,3016.635
2020-11-19,29.438,-4954.851,96.154,4954.851,0.0,51.53,2830.616,4.827,-4998.685,625.0,4998.685,0.0,7.998,3016.635
2020-11-20,29.744,-4954.851,96.154,4954.851,0.0,51.53,2859.993,4.922,-4998.685,625.0,4998.685,0.0,7.998,3076.252
2020-11-23,29.951,-4954.851,96.154,4954.851,0.0,51.53,2879.893,5.141,-4998.685,625.0,4998.685,0.0,7.998,3213.372
2020-11-24,30.887,-4954.851,96.154,4954.851,0.0,51.53,2969.92,5.342,-4998.685,625.0,4998.685,0.0,7.998,3338.569
2020-11-25,30.404,-4954.851,96.154,4954.851,0.0,51.53,2923.485,5.246,-4998.685,625.0,4998.685,0.0,7.998,3278.952
2020-11-27,30.345,-4954.851,96.154,4954.851,0.0,51.53,2917.799,5.349,-4998.685,625.0,4998.685,0.0,7.998,3343.056
2020-11-30,30.01,-4954.851,96.154,4954.851,0.0,51.53,2885.579,5.435,-4998.685,625.0,4998.685,0.0,7.998,3396.976
2020-12-01,31.833,-4954.851,96.154,4954.851,0.0,51.53,3060.893,5.627,-4998.685,625.0,4998.685,0.0,7.998,3516.8
2020-12-02,32.464,-4954.851,96.154,4954.851,0.0,51.53,3121.543,5.79,-4998.685,625.0,4998.685,0.0,7.998,3618.649
2020-12-03,32.927,-4954.851,96.154,4954.851,0.0,51.53,3166.082,5.876,-4998.685,625.0,4998.685,0.0,7.998,3672.57
2020-12-04,34.711,-4954.851,96.154,4954.851,0.0,51.53,3337.606,6.125,-4998.685,625.0,4998.685,0.0,7.998,3828.339
2020-12-07,34.869,-4954.851,96.154,4954.851,0.0,51.53,3352.768,6.145,-4998.685,625.0,4998.685,0.0,7.998,3840.321
2020-12-08,35.529,-4954.851,96.154,4954.851,0.0,51.53,3416.26,6.145,-4998.685,625.0,4998.685,0.0,7.998,3840.321
2020-12-09,36.8,-4954.851,96.154,4954.851,0.0,51.53,3538.506,6.279,-4998.685,625.0,4998.685,0.0,7.998,3924.197
