,0
1501,BHE
1502,PZZA
1503,BGI
1504,BCE
1505,GOVT
1506,POOL
1507,MGRC
1508,FANH
1509,INFN
1510,MMSI
1511,SDOW
1512,PTN
1513,ENIC
1514,SPXC
1515,HEWG
1516,ARCH
1517,AM
1518,TGI
1519,AWK
1520,REDU
1521,R
1522,SREV
1523,EXG
1524,BKH
1525,AVD
1526,CMCM
1527,UPLD
1528,HYS
1529,GPN
1530,COLM
1531,HE
1532,SJI
1533,CCOI
1534,SEDG
1535,LLNW
1536,PBYI
1537,IRWD
1538,CSGS
1539,CNSL
1540,SUPN
1541,DPW
1542,UGI
1543,COLL
1544,DRNA
1545,BKCC
1546,CBD
1547,SMG
1548,PACB
1549,AVDL
1550,PGX
1551,JNCE
1552,SLVO
1553,WAT
1554,MUB
1555,FLOW
1556,MKSI
1557,CWT
1558,NEAR
1559,MTB
1560,CRL
1561,CDK
1562,FDS
1563,JLL
1564,HSC
1565,LNTH
1566,SAIL
1567,OEF
1568,PNM
1569,PACW
1570,MXL
1571,OLLI
1572,LOCO
1573,RUSHA
1574,APPN
1575,RHE
1576,AVY
1577,WMS
1578,MCFT
1579,DHT
1580,AVA
1581,WLK
1582,PSA
1583,AAWW
1584,WIX
1585,INO
1586,NTB
1587,AAOI
1588,FOSL
1589,STE
1590,OSTK
1591,SCHE
1592,FOXF
1593,MDGS
1594,AZPN
1595,DCI
1596,FTAI
1597,DSS
1598,ONVO
1599,AIZ
1600,IRBT
1601,SBLK
1602,CWST
1603,BURL
1604,LEG
1605,COR
1606,SOI
1607,PRA
1608,GPMT
1609,EDZ
1610,INT
1611,UMBF
1612,LPG
1613,SOHU
1614,FGEN
1615,BAP
1616,BC
1617,OCSL
1618,MBUU
1619,HTLF
1620,BLKB
1621,SNN
1622,CUBI
1623,ENPH
1624,CADE
1625,AJRD
1626,APAM
1627,DXGE
1628,PEI
1629,HLIT
1630,ST
1631,IPAR
1632,CRTO
1633,AKR
1634,CALI
1635,MRTX
1636,ZUMZ
1637,MLI
1638,ROG
1639,UMC
1640,EWD
1641,BAND
1642,ABMD
1643,KEYS
1644,HRC
1645,SSP
1646,FRT
1647,NDSN
1648,ASC
1649,BATRK
1650,STC
1651,IRT
1652,FFBC
1653,DLTH
1654,LII
1655,SCHV
1656,OSG
1657,GOOS
1658,AXTI
1659,EGRX
1660,BMO
1661,EVV
1662,DBVT
1663,EPAM
1664,GDEN
1665,PVH
1666,CRBP
1667,MTD
1668,BCRX
1669,TOWN
1670,FIVN
1671,EEV
1672,EGHT
1673,ESS
1674,JKHY
1675,INGR
1676,HT
1677,EPAY
1678,CPHI
1679,EFAV
1680,WPC
1681,VRSK
1682,ICLR
1683,AQMS
1684,AWR
1685,DRRX
1686,VRA
1687,WLKP
1688,BFAM
1689,IOVA
1690,TEN
1691,SUP
1692,LL
1693,LEA
1694,APD
1695,OSUR
1696,AVT
1697,SXC
1698,SPLV
1699,ATTO
1700,DVY
1701,NVCR
1702,DAR
1703,PCH
1704,SAFM
1705,CRIS
1706,RMBS
1707,PRTK
1708,AJG
1709,RGA
1710,TAST
1711,KB
1712,OTEX
1713,FHB
1714,SANM
1715,SNV
1716,EUFN
1717,MOD
1718,MGI
1719,SNA
1720,KOPN
1721,CLDT
1722,OSBC
1723,BRKL
1724,DEO
1725,UNFI
1726,PFF
1727,SAH
1728,NVTA
1729,HZO
1730,TNK
1731,GSG
1732,SATS
1733,SLGN
1734,IBKR
1735,HMC
1736,GPI
1737,CPA
1738,ROCK
1739,RNWK
1740,HOV
1741,ASTE
1742,CTLT
1743,ROBO
1744,DMRC
1745,CUTR
1746,UEPS
1747,AMCX
1748,DXD
1749,NMM
1750,SAIC
1751,QLD
1752,DIOD
1753,RARE
1754,INOV
1755,TPX
1756,BNFT
1757,VVR
1758,IYE
1759,PLYA
1760,CFFN
1761,HSII
1762,GDS
1763,UL
1764,LOPE
1765,TCMD
1766,HVT
1767,EWQ
1768,GOLD
1769,RLI
1770,KEX
1771,SPYG
1772,SMTC
1773,OR
1774,XNCR
1775,B
1776,DIN
1777,SCHN
1778,NM
1779,HSON
1780,UBSI
1781,HEZU
1782,GVA
1783,EVTC
1784,IVW
1785,SMCI
1786,FLXN
1787,HDGE
1788,DESP
1789,ODFL
1790,CFMS
1791,TGP
1792,VRP
1793,NFJ
1794,ENZ
1795,KRA
1796,WLTW
1797,GGN
1798,CDXS
1799,TFI
1800,FCFS
1801,URG
1802,VREX
1803,KDMN
1804,CNS
1805,LXU
1806,SON
1807,GDOT
1808,ROP
1809,NLS
1810,SITE
1811,LSXMK
1812,MSTR
1813,COHU
1814,RBA
1815,OTIC
1816,CPRX
1817,ZIOP
1818,EFR
1819,GRMN
1820,SPDW
1821,MEDP
1822,TEF
1823,CSLT
1824,KEP
1825,CEIX
1826,GIL
1827,KYN
1828,NVGS
1829,MCY
1830,TWOU
1831,MDGL
1832,AZUL
1833,TCS
1834,ACTG
1835,GATX
1836,EPC
1837,SRG
1838,AMWD
1839,CATY
1840,MSM
