,0
1469,ACM
1470,HLI
1471,CMP
1472,GGAL
1473,FTNT
1474,CLDX
1475,MCF
1476,VXUS
1477,SPB
1478,IFF
1479,VCEL
1480,SRCL
1481,RING
1482,RBBN
1483,DBO
1484,RYI
1485,MAC
1486,SENS
1487,IQV
1488,WNS
1489,WTFC
1490,SGRY
1491,VIV
1492,XPER
1493,FCF
1494,ERX
1495,VG
1496,VYM
1497,SNP
1498,AGEN
1499,RPAI
1500,IVR
1501,RPD
1502,GLNG
1503,PETS
1504,TTI
1505,THS
1506,AMBA
1507,RRD
1508,AMKR
1509,TBI
1510,COUP
1511,MNKD
1512,ICPT
1513,MITK
1514,BHE
1515,PZZA
1516,BGI
1517,BCE
1518,GOVT
1519,POOL
1520,FANH
1521,INFN
1522,MMSI
1523,SDOW
1524,PTN
1525,ENIC
1526,SPXC
1527,HEWG
1528,ARCH
1529,AM
1530,TGI
1531,AWK
1532,REDU
1533,R
1534,SREV
1535,EXG
1536,BKH
1537,AVD
1538,CMCM
1539,UPLD
1540,HYS
1541,GPN
1542,COLM
1543,HE
1544,SJI
1545,CCOI
1546,SEDG
1547,LLNW
1548,PBYI
1549,IRWD
1550,CSGS
1551,CNSL
1552,DPW
1553,UGI
1554,COLL
1555,DRNA
1556,BKCC
1557,CBD
1558,SMG
1559,AVDL
1560,PGX
1561,JNCE
1562,SLVO
1563,WAT
1564,MUB
1565,FLOW
1566,MKSI
1567,CWT
1568,NEAR
1569,MTB
1570,CRL
1571,CDK
1572,FDS
1573,JLL
1574,HSC
1575,LNTH
1576,SAIL
1577,OEF
1578,PNM
1579,PACW
1580,MXL
1581,OLLI
1582,LOCO
1583,RUSHA
1584,APPN
1585,RHE
1586,AVY
1587,WMS
1588,MCFT
1589,DHT
1590,AVA
1591,WLK
1592,PSA
1593,AAWW
1594,WIX
1595,INO
1596,NTB
1597,AAOI
1598,FOSL
1599,STE
1600,OSTK
1601,SCHE
1602,FOXF
1603,AZPN
1604,DCI
1605,FTAI
1606,ONVO
1607,AIZ
1608,IRBT
1609,SBLK
1610,CWST
1611,BURL
1612,LEG
1613,COR
1614,SOI
1615,PRA
1616,GPMT
1617,EDZ
1618,INT
1619,UMBF
1620,LPG
1621,SOHU
1622,FGEN
1623,BAP
1624,BC
1625,OCSL
1626,MBUU
1627,HTLF
1628,BLKB
1629,SNN
1630,CUBI
1631,ENPH
1632,CADE
1633,AJRD
1634,APAM
1635,DXGE
1636,PEI
1637,HLIT
1638,ST
1639,IPAR
1640,CRTO
1641,AKR
1642,CALI
1643,MRTX
1644,ZUMZ
1645,ROG
1646,UMC
1647,EWD
1648,BAND
1649,ABMD
1650,KEYS
1651,HRC
1652,SSP
1653,FRT
1654,NDSN
1655,ASC
1656,BATRK
1657,STC
1658,IRT
1659,FFBC
1660,DLTH
1661,LII
1662,SCHV
1663,OSG
1664,GOOS
1665,AXTI
1666,EGRX
1667,BMO
1668,EVV
1669,DBVT
1670,EPAM
1671,GDEN
1672,PVH
1673,CRBP
1674,MTD
1675,BCRX
1676,TOWN
1677,FIVN
1678,EEV
1679,EGHT
1680,ESS
1681,JKHY
1682,INGR
1683,HT
1684,EFAV
1685,WPC
1686,VRSK
1687,ICLR
1688,AQMS
1689,AWR
1690,DRRX
1691,VRA
1692,WLKP
1693,BFAM
1694,IOVA
1695,TEN
1696,SUP
1697,LL
1698,LEA
1699,APD
1700,OSUR
1701,AVT
1702,SXC
1703,SPLV
1704,ATTO
1705,DVY
1706,NVCR
1707,DAR
1708,SAFM
1709,CRIS
1710,RMBS
1711,PRTK
1712,AJG
1713,RGA
1714,TAST
1715,KB
1716,OTEX
1717,FHB
1718,SANM
1719,SNV
1720,EUFN
1721,MOD
1722,MGI
1723,KOPN
1724,CLDT
1725,OSBC
1726,BRKL
1727,DEO
1728,UNFI
1729,PFF
1730,SAH
1731,NVTA
1732,HZO
1733,GSG
1734,SATS
1735,SLGN
1736,IBKR
1737,HMC
1738,GPI
1739,CPA
1740,ROCK
1741,RNWK
1742,HOV
1743,ASTE
1744,ACET
1745,CTLT
1746,ROBO
1747,DMRC
1748,CUTR
1749,UEPS
1750,AMCX
1751,DXD
1752,NMM
1753,SAIC
1754,QLD
1755,DIOD
1756,RARE
1757,INOV
1758,TPX
1759,BNFT
1760,VVR
1761,IYE
1762,PLYA
1763,CFFN
1764,HSII
1765,GDS
1766,UL
1767,LOPE
1768,TCMD
1769,HVT
1770,EWQ
1771,GOLD
1772,KEX
1773,SPYG
1774,SMTC
1775,OR
1776,XNCR
1777,B
1778,SCHN
1779,NM
1780,HSON
1781,UBSI
1782,HEZU
1783,GVA
1784,EVTC
1785,SMCI
1786,FLXN
1787,HDGE
1788,DESP
1789,ODFL
1790,CFMS
1791,TGP
1792,VRP
1793,ENZ
1794,KRA
1795,WLTW
1796,GGN
1797,CDXS
1798,TFI
1799,FCFS
1800,URG
1801,VREX
1802,KDMN
1803,CNS
1804,LXU
1805,SON
1806,GDOT
1807,ROP
1808,NLS
1809,SITE
1810,LSXMK
1811,MSTR
1812,COHU
1813,RBA
1814,OTIC
1815,CPRX
1816,ZIOP
1817,EFR
1818,SPDW
1819,MEDP
1820,TEF
1821,CSLT
1822,KEP
1823,CEIX
1824,GIL
1825,KYN
1826,NVGS
1827,MCY
1828,TWOU
1829,MDGL
1830,AZUL
1831,TCS
1832,ACTG
1833,GATX
1834,EPC
1835,SRG
